ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected
GO:0002275	myeloid cell activation involved in immune response	0.014358108108108109	94/16075	4.5923737906874724e-4	0.026242549887546856	0.024279458670012764	VAMP8/RAC2/PLCG2/PTPN6/C12orf4/BTK/HAVCR2/ADGRE2/SYK/ITGB2/CD84/ITGAM/MILR1/PYCARD/PRAM1/SUCNR1/TREM2	17	NA	NA
GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	0.005067567567567568	10/16075	2.5575085170171434e-5	0.003891451117208717	0.0036003485549809208	APBB1IP/HAVCR2/CD81/LILRB1/HLA-DMB/FGL2	6	2	1.630829102415418
GO:0002532	production of molecular mediator involved in inflammatory response	0.015202702702702704	78/16075	1.090619208139032e-5	0.002101986753819961	0.001944746251144758	BAP1/VAMP8/ADCY7/ABCD1/CHID1/BTK/SYK/PLD3/IL17RC/SLAMF8/IL17RA/P2RX1/TLR4/PYCARD/CARD9/CD36/PLD4/TREM2	18	2	2.729441391083528
GO:0002534	cytokine production involved in inflammatory response	0.010135135135135136	55/16075	5.448001975646053e-4	0.02787641364883671	0.025791100177208422	BAP1/ADCY7/ABCD1/CHID1/PLD3/IL17RC/IL17RA/TLR4/PYCARD/CARD9/PLD4/TREM2	12	NA	NA
GO:0002695	negative regulation of leukocyte activation	0.02364864864864865	189/16075	3.015271535147181e-4	0.021031032369279598	0.01945779214998979	ITCH/PTPN22/PRKAR1A/NCKAP1L/TNFAIP8L2/PTPN6/DUSP3/BTK/NR1H3/HAVCR2/CRTAM/SPN/VSIR/LOXL3/LILRB1/CD84/LST1/MILR1/CD33/GPNMB/FGL2/TSPAN32/TNFRSF21/MERTK/BPI/CR1/MNDA/FN1	28	2	3.171274143362567
GO:0006099	tricarboxylic acid cycle	0.009290540540540541	32/16075	1.0055316813509042e-5	0.002004822131576182	0.0018548500924229746	PDHA1/IDH3G/FH/PDHB/SDHC/NNT/ACO2/SDHB/SDHD/MDH1/IDH1	11	11	0.5322168137473082
GO:0006119	oxidative phosphorylation	0.0472972972972973	143/16075	5.346867628828012e-27	1.5457794314941782e-23	1.4301463836686291e-23	ATP5PO/COX4I1/GHITM/ATP5MG/ATP5F1C/COX6C/UQCRH/NDUFC2/RHOA/NDUFA10/NDUFA13/UQCRC2/COX7C/COX6A1/CYCS/ATP5F1B/COX15/NDUFA11/COQ9/COX7B/ANTKMT/NDUFA3/UQCRB/NDUFS1/UQCRFS1/NDUFA8/COX8A/NIPSNAP2/ATP5PD/NDUFS4/NDUFV3/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/UQCR10/SDHC/NDUFB7/NDUFB2/ATP5PB/UQCRQ/UQCRC1/SDHB/NDUFB5/ABCD1/UQCR11/NDUFS3/SDHD/CHCHD10/AFG1L/PINK1/NDUFB6/COX5B/MLXIPL	56	8	2.4781269628026217
GO:0006120	mitochondrial electron transport, NADH to ubiquinone	0.014358108108108109	50/16075	4.7140482615873684e-8	1.2389375931135528e-5	1.146258050975455e-5	NDUFC2/NDUFA10/COQ9/NDUFA3/NDUFS1/NDUFA8/NDUFS4/NDUFV3/NDUFS8/NDUFA1/NDUFS7/NDUFB7/NDUFB2/NDUFB5/NDUFS3/PINK1/NDUFB6	17	15	0.6573799567013143
GO:0006122	mitochondrial electron transport, ubiquinol to cytochrome c	0.007601351351351352	13/16075	3.378221237593304e-8	1.0280460629349728e-5	9.511424005234998e-6	UQCRH/UQCRC2/CYCS/UQCRB/UQCRFS1/UQCR10/UQCRQ/UQCRC1/UQCR11	9	1	2.729441391083528
GO:0006123	mitochondrial electron transport, cytochrome c to oxygen	0.008445945945945946	23/16075	2.1298667261133825e-6	4.925955764155031e-4	4.557466400887667e-4	COX4I1/COX6C/COX7C/COX6A1/CYCS/COX15/COX7B/COX8A/AFG1L/COX5B	10	3	1.7361896180732443
GO:0006577	amino-acid betaine metabolic process	0.005067567567567568	16/16075	6.631320540650104e-4	0.0322348060441526	0.02982346016064074	CPT2/CROT/TMLHE/ALDH9A1/CRAT/ACADM	6	2	1.630829102415418
GO:0006635	fatty acid beta-oxidation	0.01266891891891892	75/16075	3.192219269329791e-4	0.021973109303886726	0.020329396399416038	AKT1/ECHDC1/CPT2/IVD/ACAD10/ACADS/CROT/CRAT/DECR1/ECHS1/HADHB/ABCD1/MTLN/ACADM/ACOX2	15	29	-0.1270288151369557
GO:0006637	acyl-CoA metabolic process	0.013513513513513514	92/16075	0.0010365593095509865	0.041050588546738376	0.037979772250455034	HACD2/PDHA1/PDHB/DGAT1/ACSS2/MCEE/ABCD1/PDK2/FAR1/ACOT2/ACOT1/ACSF2/PPT1/ACOT4/NUDT7/ACSM5	16	13	0.7398561785255529
GO:0006656	phosphatidylcholine biosynthetic process	0.006756756756756757	28/16075	6.938440681115384e-4	0.0322348060441526	0.02982346016064074	CEPT1/PCYT1A/CHPT1/SLC44A2/CDS1/SLC27A1/FABP5/FABP3	8	19	-0.3327806237392962
GO:0006657	CDP-choline pathway	0.0033783783783783786	7/16075	8.553974332449377e-4	0.03736961611522343	0.03457415738454468	CEPT1/PCYT1A/CHPT1/CDS1	4	2	1.2253639943072536
GO:0006662	glycerol ether metabolic process	0.0059121621621621625	20/16075	3.812333723371566e-4	0.023949276260834797	0.022157734886410173	AGPS/CHPT1/FAR1/PLA2G7/NCEH1/PLA2G4A/LPCAT2	7	NA	NA
GO:0006739	NADP metabolic process	0.010135135135135136	43/16075	4.3350491757797165e-5	0.006113476666916664	0.005656154020876128	PGLS/RPE/DERA/KCNAB2/NNT/TP53I3/NUDT13/MDH1/TIGAR/NUDT12/IDH1/ME1	12	8	0.9376819218554727
GO:0006754	ATP biosynthetic process	0.030405405405405407	104/16075	8.295106280167349e-16	4.796230451192761e-13	4.43744527534847e-13	ATP5MK/ATP5PO/ATP5MG/ATP5F1C/NDUFC2/NDUFA10/NDUFA13/ATP5F1B/NDUFA11/ANTKMT/ATP5MC2/NDUFA3/NDUFS1/NDUFA8/ATP5PD/NDUFS4/NDUFV3/ATP5MJ/ATP5F1E/NDUFS8/ATP5PF/NDUFA1/ATP5F1A/NDUFS7/SDHC/NDUFB7/NDUFB2/ATP5PB/SDHB/NDUFB5/ATP5MC3/NDUFS3/SDHD/PINK1/NDUFB6/TREM2	36	7	2.1698256031481047
GO:0006839	mitochondrial transport	0.02364864864864865	182/16075	1.5833249515076432e-4	0.012894063196643933	0.011929514312174712	BAK1/BAP1/RHOT1/OXA1L/SLC25A16/NDUFA13/PARL/MUL1/MFN2/TIMM10B/CPT2/TMEM14C/MTX1/SREBF1/COX18/SH3GLB1/RAC2/ALKBH7/TOMM40/CHCHD10/PINK1/MIPEP/BCAP31/FZD5/TSPO/MICALL2/GCLC/BOK	28	6	2.072661854694457
GO:0006885	regulation of pH	0.016047297297297296	100/16075	1.1088424644419923e-4	0.010977180592045867	0.010156025372531284	SNAPIN/ATP5F1B/TMEM106B/GPR89A/SLC9A6/TCIRG1/ATP6V0B/ATP6V1F/ATP6AP1/PDK2/TPCN2/ATP6AP2/SLC9A7/RAB20/ATP6V0A1/PPT1/CA2/SLAMF8/HVCN1	19	7	1.5307456438584353
GO:0007006	mitochondrial membrane organization	0.017736486486486486	114/16075	7.888002721829202e-5	0.00912168634752329	0.008439332596281263	BAK1/RHOT1/GHITM/OXA1L/NDUFA13/MUL1/MFN2/TIMM10B/MTX1/MICOS10/COX18/MICOS13/ALKBH7/CLN8/TOMM40/CHCHD10/ADCK1/PINK1/CIBAR1/GCLC/BOK	21	2	2.883592070910786
GO:0007007	inner mitochondrial membrane organization	0.008445945945945946	40/16075	4.980325617258557e-4	0.026663187702767575	0.02466863039659648	GHITM/NDUFA13/TIMM10B/MTX1/MICOS10/MICOS13/CHCHD10/ADCK1/PINK1/CIBAR1	10	18	-0.055569851154810654
GO:0007035	vacuolar acidification	0.007601351351351352	33/16075	4.732638748042295e-4	0.026311651193442837	0.0243433908072378	SNAPIN/TMEM106B/TCIRG1/ATP6V0B/ATP6V1F/ATP6AP1/ATP6AP2/ATP6V0A1/PPT1	9	1	2.729441391083528
GO:0007039	protein catabolic process in the vacuole	0.006756756756756757	22/16075	1.0622452132965461e-4	0.010775266356632684	0.009969215464400827	TMEM106B/DPP7/TCIRG1/GBA1/CD81/LRP1/MARCHF2/RNF128	8	1	2.6116583554271444
GO:0007040	lysosome organization	0.021114864864864864	100/16075	4.208724049649034e-8	1.158802021670034e-5	1.0721170737000699e-5	SNAPIN/TMEM106B/VPS18/LAMTOR1/HPS1/TCIRG1/GBA1/ATP6V0B/ATP6V1F/ATP6AP1/ACP2/CLN8/CHMP3/TPCN2/HEXA/ATP6AP2/NAGLU/RAB20/ATP6V0A1/HEXB/LYSET/PPT1/GAA/NAGPA/SCARB2	25	27	0.45525577261117983
