ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0097250	mitochondrial respirasome assembly	69/3517	81/9189	0.8518518518518519	2.225665813666951	8.724321024188487	2.8829358983863808e-18	1.8476736172758315e-14	1.8384027023604943e-14	NDUFAF7/COX19/DMAC2/UQCC1/BCS1L/RAB5IF/HIGD2A/NDUFA5/TMEM70/NDUFAF5/TAFAZZIN/NDUFA12/FOXRED1/TACO1/TTC19/TMEM242/COA4/NDUFS2/NDUFAB1/NDUFB6/NDUFA11/TMEM126A/PET117/NDUFB1/NDUFA2/NDUFB8/OXA1L/SDHAF4/COA5/COX14/PET100/SURF1/NDUFS8/NDUFB11/NDUFA10/NDUFA8/NDUFB5/UQCC3/COX16/SDHAF1/NDUFAF2/NDUFA1/TMEM223/NUBPL/NDUFB2/NDUFAF6/NDUFA3/NDUFC2/NDUFB10/FMC1/NDUFA13/UQCC2/NDUFB7/NDUFAF8/NDUFAF4/COA3/ECSIT/COX18/NDUFS7/ATPAF2/NDUFS3/ATPAF1/COX7A1/TIMM21/DMAC1/ATP5F1D/AIFM1/UQCC5/SDHAF3	69
GO:0033108	mitochondrial respiratory chain complex assembly	63/3517	74/9189	0.8513513513513513	2.224358136925666	8.32673151393171	9.288323859112361e-17	2.9764433806525563e-13	2.961508733605405e-13	NDUFAF7/COX19/DMAC2/UQCC1/BCS1L/NDUFA5/NDUFAF5/TAFAZZIN/NDUFA12/FOXRED1/TACO1/TTC19/COA4/NDUFS2/NDUFAB1/NDUFB6/NDUFA11/TMEM126A/PET117/NDUFB1/NDUFA2/NDUFB8/OXA1L/SDHAF4/COA5/SAMM50/COX14/CHCHD4/PET100/SURF1/NDUFS8/NDUFB11/NDUFA10/NDUFA8/NDUFB5/UQCC3/COX16/SDHAF1/NDUFAF2/NDUFA1/TMEM223/NUBPL/NDUFB2/NDUFAF6/NDUFA3/NDUFC2/NDUFB10/NDUFA13/UQCC2/NDUFB7/NDUFAF8/NDUFAF4/COA3/ECSIT/COX18/NDUFS7/NDUFS3/TIMM21/DMAC1/AIFM1/CHCHD7/UQCC5/SDHAF3	63
GO:0009060	aerobic respiration	94/3517	127/9189	0.7401574803149606	1.933837670348073	8.34429764088313	1.8998096560755225e-16	4.058626695262675e-13	4.0382620689493036e-13	ADSL/MFN2/CCNB1/PARK7/NDUFA5/PDHA1/PDHB/SDHC/SUCLG1/TAFAZZIN/NDUFA12/ATP5ME/ATP5F1A/MTFR1/IDH3B/SDHB/SIRT3/NDUFS2/NDUFAB1/NDUFB6/COX6C/COQ9/NDUFA11/ATP5MG/ATP5MF/NDUFB1/NDUFA2/COX7B/NDUFB8/NDUFA4/OXA1L/IDH3A/SDHAF4/ATP5PO/ATP5PF/UQCR11/UQCRC1/CAT/MACROH2A1/MTFR2/SURF1/NDUFS8/MDH2/MDH1/NDUFB11/NDUFA10/NDUFA8/NDUFB5/SLC25A14/ATP5PD/UQCC3/UQCRB/PANK2/DGUOK/NDUFA1/ATPSCKMT/NDUFB2/COX6B1/AFG1L/IDH1/NDUFA3/NDUFC2/ATP5PB/ANTKMT/NDUFB10/NDUFA13/UQCC2/NDUFV3/COX7C/COX8A/SHMT2/UQCRQ/NDUFB7/NDUFC2-KCTD14/UQCRH/ARL2/UQCR10/NDUFS6/FH/NDUFV1/UQCRHL/NDUFS7/COX5B/ATP5IF1/PINK1/NDUFS3/COX7A1/BLOC1S1/ATP5F1D/SLC25A23/CHCHD10/UCN/IDH2/ME3	94
GO:0045333	cellular respiration	106/3517	156/9189	0.6794871794871795	1.7753220620721333	7.6905429606994655	3.728231130302166e-14	5.973558328526646e-11	5.943585312465928e-11	SLC35A4/MYBBP1A/ADSL/MFN2/CCNB1/TRAP1/PARK7/NDUFA5/PDHA1/PDHB/SDHC/SUCLG1/TAFAZZIN/NDUFA12/ATP5ME/ATP5F1A/MTFR1/IDH3B/SDHB/SIRT3/NDUFS2/NDUFAB1/NDUFB6/SLC25A12/COX6C/COQ9/NDUFA11/HCCS/ATP5MG/ATP5MF/NDUFB1/PRELID1/NDUFA2/COX7B/NDUFB8/NDUFA4/OXA1L/IDH3A/SDHAF4/ATP5PO/ATP5PF/UQCR11/CHCHD4/UQCRC1/CAT/MACROH2A1/MTFR2/SURF1/NDUFS8/MDH2/MDH1/NDUFB11/NDUFA10/NDUFA8/NDUFB5/SLC25A14/ATP5PD/UQCC3/UQCRB/PANK2/DGUOK/NDUFA1/CHCHD5/ETFRF1/ATPSCKMT/NDUFB2/COX6B1/AFG1L/IDH1/NDUFA3/NDUFC2/ATP5PB/ANTKMT/NDUFB10/NDUFA13/UQCC2/NDUFV3/COX7C/COX8A/SHMT2/UQCRQ/NDUFB7/NDUFC2-KCTD14/UQCRH/ARL2/UQCR10/NDUFS6/FH/NDUFV1/UQCRHL/NDUFS7/COX5B/ATP5IF1/PINK1/NDUFS3/COX7A1/BLOC1S1/MTLN/ATP5F1D/SLC25A23/CHCHD10/CISD1/UCN/IDH2/ETFB/ME3	106
GO:0010257	NADH dehydrogenase complex assembly	40/3517	45/9189	0.8888888888888888	2.322433892522036	7.00229955477516	2.178110966539562e-12	2.3265855307586757e-9	2.3149116202274854e-9	NDUFAF7/DMAC2/BCS1L/NDUFA5/NDUFAF5/TAFAZZIN/NDUFA12/FOXRED1/NDUFS2/NDUFAB1/NDUFB6/NDUFA11/TMEM126A/NDUFB1/NDUFA2/NDUFB8/OXA1L/NDUFS8/NDUFB11/NDUFA10/NDUFA8/NDUFB5/NDUFAF2/NDUFA1/NUBPL/NDUFB2/NDUFAF6/NDUFA3/NDUFC2/NDUFB10/NDUFA13/NDUFB7/NDUFAF8/NDUFAF4/ECSIT/NDUFS7/NDUFS3/TIMM21/DMAC1/AIFM1	40
GO:0032981	mitochondrial respiratory chain complex I assembly	40/3517	45/9189	0.8888888888888888	2.322433892522036	7.00229955477516	2.178110966539562e-12	2.3265855307586757e-9	2.3149116202274854e-9	NDUFAF7/DMAC2/BCS1L/NDUFA5/NDUFAF5/TAFAZZIN/NDUFA12/FOXRED1/NDUFS2/NDUFAB1/NDUFB6/NDUFA11/TMEM126A/NDUFB1/NDUFA2/NDUFB8/OXA1L/NDUFS8/NDUFB11/NDUFA10/NDUFA8/NDUFB5/NDUFAF2/NDUFA1/NUBPL/NDUFB2/NDUFAF6/NDUFA3/NDUFC2/NDUFB10/NDUFA13/NDUFB7/NDUFAF8/NDUFAF4/ECSIT/NDUFS7/NDUFS3/TIMM21/DMAC1/AIFM1	40
GO:0006754	ATP biosynthetic process	53/3517	67/9189	0.7910447761194029	2.0667928483824833	6.900825240988651	8.945119192502607e-12	6.8037847762113685e-9	6.769646003447205e-9	NDUFA5/SDHC/COX11/NUDT2/TAFAZZIN/NDUFA12/ATP5ME/ATP5F1A/ATP5MC2/SDHB/NDUFS2/NDUFAB1/NDUFB6/NDUFA11/ATP5MG/ATP5MF/NDUFB1/NDUFA2/NDUFB8/ATP5PO/ATP5PF/ATP5MC3/NDUFS8/NDUFB11/NDUFA10/ATP5MJ/NDUFA8/NDUFB5/ATP5PD/UQCC3/NDUFA1/ATPSCKMT/NDUFB2/NDUFA3/NDUFC2/ATP5PB/ANTKMT/NDUFB10/NDUFA13/NDUFV3/NDUFB7/NDUFS6/NDUFV1/NDUFS7/ATP5IF1/PINK1/ATP5MC1/NDUFS3/ATP5F1D/LIPA/VPS9D1/TGFB1/TREM2	53
GO:0006119	oxidative phosphorylation	69/3517	95/9189	0.7263157894736842	1.897672956916032	6.925179519377563	8.970081273973928e-12	6.8037847762113685e-9	6.769646003447205e-9	CCNB1/PARK7/NDUFA5/SDHC/TAFAZZIN/NDUFA12/ATP5ME/ATP5F1A/SDHB/NDUFS2/NDUFAB1/NDUFB6/COX6C/COQ9/NDUFA11/ATP5MG/ATP5MF/NDUFB1/NDUFA2/COX7B/NDUFB8/NDUFA4/ATP5PO/ATP5PF/UQCR11/UQCRC1/MACROH2A1/NDUFS8/NDUFB11/NDUFA10/NDUFA8/NDUFB5/ATP5PD/UQCC3/UQCRB/DGUOK/NDUFA1/ATPSCKMT/NDUFB2/COX6B1/AFG1L/NDUFA3/NDUFC2/ATP5PB/ANTKMT/NDUFB10/NDUFA13/UQCC2/NDUFV3/COX7C/COX8A/SHMT2/UQCRQ/NDUFB7/NDUFC2-KCTD14/UQCRH/UQCR10/NDUFS6/NDUFV1/UQCRHL/NDUFS7/COX5B/ATP5IF1/PINK1/NDUFS3/COX7A1/ATP5F1D/SLC25A23/CHCHD10	69
GO:0002181	cytoplasmic translation	82/3517	119/9189	0.6890756302521008	1.8003741729845195	6.919766972774124	9.55438648555193e-12	6.8037847762113685e-9	6.769646003447205e-9	NCBP2/YTHDF2/EIF2B5/RPS2/DRG2/EIF3H/RPS27/MCTS1/RPS12/EIF3B/EIF3M/RPLP0/EIF3L/RPL6/RPL41/EIF3C/EIF2D/RPL29/EIF4A1/RPL22L1/RPS16/RPL23/RPL19/RPL7A/RPL31/FAU/RPS13/RPL35/EIF3F/RPL7/RPL30/RPL27/RPL13/RPS29/RPS6/RPLP1/EIF2B1/RPL10A/RPS4X/RPL39/RPL37A/RPL18/RPL3/RPL24/ALKBH3/RPS18/RPS5/RPL37/RPL38/RPL22/RPS15/EIF3G/EIF2B3/RPS10/RPL26/RPL11/RPL32/RPS15A/RPS28/RPL34/RPL13A/RPSA/EEF1D/RPS14/RPS23/RPL23A/RPLP0P6/RPS3/RPS11/RPS3A/RPL26L1/RPS21/RPL27A/RPS24/RPLP2/RWDD1/RPS8/RPL36A/PARP16/EIF3K/MIF4GD/EIF3CL	82
GO:0042773	ATP synthesis coupled electron transport	49/3517	61/9189	0.8032786885245902	2.0987568577914297	6.779649888789563	1.961216235341126e-11	1.1426758956637524e-8	1.136942387913545e-8	CCNB1/PARK7/NDUFA5/SDHC/TAFAZZIN/NDUFA12/SDHB/NDUFS2/NDUFAB1/NDUFB6/COX6C/COQ9/NDUFB1/NDUFA2/COX7B/NDUFB8/NDUFA4/UQCR11/UQCRC1/NDUFS8/NDUFA10/NDUFA8/NDUFB5/UQCC3/UQCRB/DGUOK/NDUFA1/NDUFB2/COX6B1/AFG1L/NDUFA3/NDUFC2/NDUFB10/NDUFV3/COX7C/COX8A/UQCRQ/NDUFB7/NDUFC2-KCTD14/UQCRH/UQCR10/NDUFS6/NDUFV1/UQCRHL/NDUFS7/COX5B/PINK1/NDUFS3/COX7A1	49
