ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0000302	response to reactive oxygen species	40/951	194/16218	2.1087158285330745e-12	4.809044841172484e-9	3.557818401355621e-9	HDAC6/TRAP1/NET1/STK25/COL1A1/CRK/EDN1/EGFR/AKT1/EZH2/PTK2B/FOS/ABL1/FYN/SESN1/HDAC2/HIF1A/HMOX1/APOE/JUN/MMP2/NFE2L2/NOS3/PCNA/PRKCD/MAPK9/MAPK13/PTPRK/PXN/BCL2/SRC/STAT1/BTK/TPM1/FOSL1/CASP3/CAT/BECN1/SQSTM1/CDK1	40
GO:0044839	cell cycle G2/M phase transition	35/951	153/16218	2.200847502009952e-12	4.809044841172484e-9	3.557818401355621e-9	CDK2/CDK4/CDK6/CDKN1A/AKAP8/ARPP19/TOPBP1/CHEK1/CHEK2/ATF5/AKAP8L/APP/FOXO4/ORC1/PLK1/RAD51C/CCND1/INTS3/BRCA1/AURKA/TP53/UBE2A/CALM3/DYRK3/MBTPS1/IER3/CCNA2/CCNB1/CCNB2/AURKB/CDK1/MELK/KIF14/CDC25A/CDC25B	35
GO:1902893	regulation of miRNA transcription	23/951	68/16218	2.2914762585002305e-12	4.809044841172484e-9	3.557818401355621e-9	EGFR/EGR1/ETS1/FOXO3/FOS/GATA2/GATA3/NR3C1/HIF1A/JUN/SMAD3/MYC/NFATC3/NFATC4/PPARD/PPARG/BMP4/SMARCA4/STAT3/TERT/TP53/NR1H2/FOSL1	23
GO:0061614	miRNA transcription	23/951	69/16218	3.248913099683981e-12	5.113789218902586e-9	3.783273806868847e-9	EGFR/EGR1/ETS1/FOXO3/FOS/GATA2/GATA3/NR3C1/HIF1A/JUN/SMAD3/MYC/NFATC3/NFATC4/PPARD/PPARG/BMP4/SMARCA4/STAT3/TERT/TP53/NR1H2/FOSL1	23
GO:1902806	regulation of cell cycle G1/S phase transition	37/951	175/16218	6.474260677311256e-12	8.152389044870334e-9	6.031284946758381e-9	CDK2/CDK7/CDKN1A/CDKN1B/CDKN2A/CHEK2/ECD/EGFR/EIF4G1/AKT1/EZH2/FBXO7/ID2/MNAT1/MUC1/PAF1/PSME1/PSME2/PTPN6/RB1/CCND1/BCL2/RPA2/CCL2/BID/SMARCA4/SMARCC1/SMARCD2/SOX2/TBX2/TERT/TFDP1/TP53/CASP2/CCNH/BCL7B/KIF14	37
GO:0033673	negative regulation of kinase activity	37/951	178/16218	1.1039056087786652e-11	1.1583649521450792e-8	8.569793541834374e-9	TRIB1/CDKN1A/CDKN1B/CDKN2A/CEBPA/NPRL2/PKIG/CHP1/GADD45A/DUSP3/EPHB2/AKT1/ABL1/SFN/HSPB1/APOE/IL1B/LYN/PRKAG2/PLK1/PPARG/PPP2R5A/PRKCD/DUSP22/PTPN1/TRIB3/PTPRC/SNX6/RB1/RGS2/SNCA/TESK1/CHMP6/CBLB/ITGB1BP1/SH3BP5/MVP	37
GO:2000045	regulation of G1/S transition of mitotic cell cycle	34/951	154/16218	1.3089299953046186e-11	1.1772890357768398e-8	8.70979733717735e-9	CDK2/CDK7/CDKN1A/CDKN1B/CDKN2A/CHEK2/ECD/EGFR/EIF4G1/AKT1/EZH2/FBXO7/ID2/MNAT1/MUC1/PSME1/PSME2/PTPN6/RB1/CCND1/BCL2/RPA2/CCL2/BID/SMARCA4/SMARCC1/SMARCD2/TERT/TFDP1/TP53/CASP2/CCNH/BCL7B/KIF14	34
GO:1902895	positive regulation of miRNA transcription	19/951	50/16218	1.7732837234068884e-11	1.2740829179851898e-8	9.425895994256112e-9	EGFR/EGR1/ETS1/FOXO3/FOS/GATA2/GATA3/NR3C1/HIF1A/JUN/SMAD3/MYC/PPARG/SMARCA4/STAT3/TERT/TP53/NR1H2/FOSL1	19
GO:0006469	negative regulation of protein kinase activity	35/951	164/16218	1.821274819229147e-11	1.2740829179851898e-8	9.425895994256112e-9	TRIB1/CDKN1A/CDKN1B/CDKN2A/CEBPA/PKIG/CHP1/GADD45A/DUSP3/EPHB2/AKT1/ABL1/SFN/HSPB1/APOE/IL1B/LYN/PRKAG2/PLK1/PPARG/PRKCD/DUSP22/PTPN1/TRIB3/PTPRC/SNX6/RB1/RGS2/SNCA/TESK1/CHMP6/CBLB/ITGB1BP1/SH3BP5/MVP	35
GO:2001242	regulation of intrinsic apoptotic signaling pathway	36/951	176/16218	3.418257535529104e-11	2.0063466630639364e-8	1.4843315695943823e-8	DNM1L/TRAP1/HYOU1/PARP1/AKT1/FYN/FBXO7/HIF1A/HSPA1A/HSPB1/MIF/MUC1/MYC/NCK1/NFE2L2/FIS1/PMAIP1/BAD/PTGS2/PTPN1/BAX/PYCR1/RAD9A/BCL2/BID/SRC/TP53/WFS1/XBP1/FZD1/NCK2/BECN1/NOL3/ARHGEF2/CD44/HERPUD1	36
