GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	11	0.001968503937007874	30/16323	0.03333333333333333	1.0710629921259842	0.0698212360678564	0.6130059851490097	0.8634291857140625	0.8613391365059574	POLG2	1	21	-1.9400220064300908	0.14321075924536025
GO:0000012	single strand break repair	12	0.001968503937007874	13/16323	0.07692307692307693	2.471683827983041	0.9513562112097376	0.3371227606238407	0.8098182475844153	0.8078579710324094	XRCC1	1	11	-1.2933948415050383	0.2710082741629672
GO:0000027	ribosomal large subunit assembly	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000028	ribosomal small subunit assembly	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	19	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000045	autophagosome assembly	74	0.001968503937007874	116/16323	0.008620689655172414	0.2769990496877545	-1.4005560421529384	0.9747941614112973	0.9848889495937297	0.9825048903063807	ATG14	1	52	-2.846743287288095	0.058000485343461895
GO:0000050	urea cycle	12	0.001968503937007874	12/16323	0.08333333333333333	2.6776574803149606	1.0419276700270244	0.31581404470894625	0.8092070303821821	0.8072482333655575	CEBPA	1	6	-0.6872590379347228	0.4838512893467002
GO:0000054	ribosomal subunit export from nucleus	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000055	ribosomal large subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000056	ribosomal small subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	35	0.007874015748031496	192/16323	0.020833333333333332	0.6694143700787402	-0.8258247318716434	0.8523782692556988	0.9398981208536993	0.9376229680609834	TTN/SMC2/CCSAP/USP44	4	110	-2.2096855733791934	0.10951609684323609
GO:0000076	DNA replication checkpoint signaling	13	0	0	0	0	0	1	1	1		0	0	0	0
