GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.0014847809948032665	30/16075	0.7292039444801942	0.9999990727778187	0.9999990727778187	LIG3/TWNK	2		21	2	2.5111161653494056	-0.22758016112981327	0.7299004776417638
GO:0000003	reproduction	1410	0	0	1	1	1		0		0	0	0	0	0
GO:0000012	single strand break repair	11	0	0	1	1	1		0		0	0	0	0	0
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.005196733481811433	131/16075	0.9299855018620036	0.9999990727778187	0.9999990727778187	TRRAP/KMT5C/MBTD1/MMS19/PAXIP1/WRAP53/PRDM9	7		89	4	10.642349462671293	-0.978546912578585	0.3675267896084606
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0		0	0	0	0	0
GO:0000022	mitotic spindle elongation	12	0	0	1	1	1		0		0	0	0	0	0
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0.0014847809948032665	25/16075	0.631617340678585	0.9999990727778187	0.9999990727778187	MDN1/NLE1	2		15	2	1.793654403821004	0.10889207549139972	0.9604275096383631
GO:0000028	ribosomal small subunit assembly	17	7.423904974016332e-4	17/16075	0.7742949835392013	0.9999990727778187	0.9999990727778187	PRKDC	1		8	2	0.956615682037869	0.7375007349137738	1.483478842779612
GO:0000038	very long-chain fatty acid metabolic process	35	0.0022271714922048997	35/16075	0.5711829674844165	0.9999990727778187	0.9999990727778187	ACSBG1/ABCD4/CYP4F2	3		24	2	2.8698470461136067	-0.3611115537543359	0.6501261251685897
GO:0000041	transition metal ion transport	93	0.007423904974016332	91/16075	0.23034735332761447	0.9999990727778187	0.9999990727778187	SLC30A7/SLC46A1/HAMP/ABCC5/SLC39A6/ATP13A1/TCN2/NECTIN1/TTYH1/SLC22A17	10		55	3	6.576732814010349	-0.7849258005306969	0.44165474503107505
GO:0000045	autophagosome assembly	106	0.004454342984409799	106/16075	0.8883980316435489	0.9999990727778187	0.9999990727778187	ATG4B/RAB19/FEZ1/EHMT2/LRRK2/TP53INP1	6		52	3	6.218001933246147	-0.7288363338796532	0.46547789647415155
GO:0000050	urea cycle	10	0.0014847809948032665	10/16075	0.20197211577335125	0.9999990727778187	0.9999990727778187	CPS1/CEBPA	2		6	1	0.7174617615284017	0.3320356268056094	1.1343745379292065
GO:0000052	citrulline metabolic process	8	0.0014847809948032665	8/16075	0.1401456069762522	0.9999990727778187	0.9999990727778187	CPS1/CAD	2		5	0	0.597884801273668	-Inf	0
GO:0000053	argininosuccinate metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	7.423904974016332e-4	15/16075	0.7310743050776447	0.9999990727778187	0.9999990727778187	MDN1	1		4	0	0.4783078410189345	-Inf	0
GO:0000055	ribosomal large subunit export from nucleus	8	7.423904974016332e-4	8/16075	0.5035527113110336	0.9999990727778187	0.9999990727778187	MDN1	1		3	0	0.35873088076420084	-Inf	0
GO:0000056	ribosomal small subunit export from nucleus	8	0	0	1	1	1		0		0	0	0	0	0
GO:0000070	mitotic sister chromatid segregation	197	0.004454342984409799	197/16075	0.9993706759594723	0.9999990727778187	0.9999990727778187	TENT4A/NCAPD3/EML3/DIS3L2/VPS4A/PRAP1	6		110	4	13.153465628020697	-1.1903909086388613	0.29960017431351904
GO:0000075	cell cycle checkpoint signaling	187	0.007423904974016332	186/16075	0.954954709460351	0.9999990727778187	0.9999990727778187	ATRIP/TAOK2/CDK5RAP3/VPS4A/DOT1L/TELO2/EME2/PRKDC/PRAP1/HORMAD1	10		106	6	12.675157787001762	-0.7478845288503477	0.4572644957365028
GO:0000076	DNA replication checkpoint signaling	18	0	0	1	1	1		0		0	0	0	0	0
GO:0000077	DNA damage checkpoint signaling	122	0.005939123979213066	121/16075	0.8048608148476852	0.9999990727778187	0.9999990727778187	ATRIP/TAOK2/CDK5RAP3/DOT1L/TELO2/EME2/PRKDC/PRAP1	8		72	5	8.60954113834082	-0.5434331105482905	0.552249131720986
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	102	0.0066815144766146995	101/16075	0.4747802585913671	0.9999990727778187	0.9999990727778187	CCNJL/TFAP4/SPDYE5/SPDYE21/CDK5RAP3/SPDYE6/SPDYA/CEBPA/CDK5R1	9		32	2	3.826462728151476	-0.6487936262061168	0.5014012815983132
GO:0000080	mitotic G1 phase	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000082	G1/S transition of mitotic cell cycle	223	0	0	1	1	1		0		0	0	0	0	0
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	22	0	0	1	1	1		0		0	0	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	134	0.007423904974016332	134/16075	0.6949146783095572	0.9999990727778187	0.9999990727778187	CTC1/TAOK2/CDK5RAP3/VPS4A/CDK3/MECP2/KDM8/APP/WNT10B/USH1C	10		33	3	3.9460396884062092	-0.27410017676470616	0.7013317222295911
GO:0000096	sulfur amino acid metabolic process	32	0.003711952487008166	32/16075	0.12539431017203106	0.9999990727778187	0.9999990727778187	MPST/CSAD/MRI1/CPS1/GNMT	5		25	2	2.98942400636834	-0.4019335482745911	0.6271064691491705
GO:0000097	sulfur amino acid biosynthetic process	16	7.423904974016332e-4	16/16075	0.753629903524744	0.9999990727778187	0.9999990727778187	MRI1	1		11	0	1.3153465628020697	-Inf	0
GO:0000098	sulfur amino acid catabolic process	9	0.0014847809948032665	9/16075	0.1705897448012733	0.9999990727778187	0.9999990727778187	MPST/CSAD	2		7	1	0.8370387217831352	0.17788494697835106	1.0125679382611783
GO:0000101	sulfur amino acid transport	13	7.423904974016332e-4	13/16075	0.6795845233940435	0.9999990727778187	0.9999990727778187	SLC7A9	1		10	1	1.195769602547336	-0.17878999696038134	0.7607493420961396
GO:0000103	sulfate assimilation	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000105	histidine biosynthetic process	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000122	negative regulation of transcription by RNA polymerase II	929	0	0	1	1	1		0		0	0	0	0	0
GO:0000132	establishment of mitotic spindle orientation	34	0	0	1	1	1		0		0	0	0	0	0
GO:0000154	rRNA modification	34	0.0014847809948032665	34/16075	0.7906358460128069	0.9999990727778187	0.9999990727778187	FDXACB1/NSUN5P1	2		18	0	2.152385284585205	-Inf	0
GO:0000160	phosphorelay signal transduction system	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000165	MAPK cascade	756	0	0	1	1	1		0		0	0	0	0	0
