GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.0020313406848520023	30/16075	0.4706442565557528	0.9999999999999434	0.9999999999999434	TP53/MPV17/DNAJA3/RRM1/POLG2/PRIMPOL/MGME1	7	21	0.5313335659803797	1.3014284169990304
GO:0000003	reproduction	1410	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	11	8.705745792222867e-4	11/16075	0.43024936286177284	0.9999999999999434	0.9999999999999434	ERCC8/TERF2/ERCC6	3	11	0.3306628705182283	1.1332594184372609
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.005803830528148578	131/16075	0.97074917081702	0.9999999999999434	0.9999999999999434	ALYREF/HELQ/RUVBL2/SHLD1/DMAP1/ZCWPW1/THOC1/KMT5C/MRGBP/RMI2/SPIDR/BCL6/TERF2/RUVBL1/ERCC6/RTEL1/WAS/ERCC2/IL27RA/TGFB1	20	89	0.13704175847034045	0.9815146908576261
GO:0000019	regulation of mitotic recombination	7	5.803830528148578e-4	7/16075	0.4624650787816953	0.9999999999999434	0.9999999999999434	TERF2/ERCC2	2	3	1.2244807465403247	1.9385559514559032
GO:0000022	mitotic spindle elongation	12	2.901915264074289e-4	12/16075	0.9447758588598352	0.9999999999999434	0.9999999999999434	RACGAP1	1	8	-0.4494956870313468	0.6010931017461038
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0.004062681369704005	25/16075	1.6616386391173906e-4	0.0329740490101378	0.032974049010137806	NOP2/RPLP0/RPL6/RPF2/DDX28/RPL38/RPL11/RPL23A/RPLP0P6/BOP1/NLE1/PPAN/MRM2/RRS1	14	15	1.5609529831615379	2.2649406656907782
GO:0000028	ribosomal small subunit assembly	17	0.002901915264074289	17/16075	8.776146491379596e-4	0.1121833622191178	0.11218336221911782	RPS27/ABT1/MRPS7/RPS5/RPL38/RPS15/RPS28/RPSA/RPS14/PWP2	10	8	1.853089405962699	2.552323554629683
GO:0000038	very long-chain fatty acid metabolic process	35	0.0023215322112594312	35/16075	0.4845996165302776	0.9999999999999434	0.9999999999999434	ABCD4/ABCD3/HACD2/SLC27A5/PEX5/HACD3/HACD4/TECR	8	24	0.5313335659803794	1.3014284169990302
GO:0000041	transition metal ion transport	93	0.00522344747533372	91/16075	0.6900155185628474	0.9999999999999434	0.9999999999999434	ATP13A1/PGRMC2/FTL/SLC39A10/REP15/SLC39A4/FLVCR2/ABCC5/ATP7B/SLC39A3/MCOLN1/SLC39A11/TRPM2/NECTIN1/ASIC3/TCN1/LTF/SLC40A1	18	55	0.5129844273121831	1.2856473499736276
