GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	11	0.0018165304268846503	30/16323	0.06666666666666667	0.9883742052679383	-0.017140648014926978	0.6101256830099485	0.9742070666186309	0.9729611549741605	POLG2/PRIMPOL	2	21	-1.3922373349068682	0.24602910321916527
GO:0000012	single strand break repair	12	9.082652134423251e-4	13/16323	0.07692307692307693	1.1404317753091597	0.13622429507387332	0.596742552811875	0.9742070666186309	0.9729611549741605	ERCC6	1	11	-1.438757350541761	0.23505195864307477
GO:0000027	ribosomal large subunit assembly	11	9.082652134423251e-4	16/16323	0.0625	0.926600817438692	-0.07899664851000011	0.673023372854558	0.9758241787775961	0.9745761990113287	MDN1	1	15	-1.7489122788456006	0.17309735739546328
GO:0000028	ribosomal small subunit assembly	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	19	9.082652134423251e-4	35/16323	0.02857142857142857	0.4235889451148307	-0.9180723986691149	0.9134306633476028	0.9945849760419921	0.9933130031262475	HACD4	1	24	-2.2189159080913363	0.10851382658983998
GO:0000045	autophagosome assembly	74	0.009082652134423252	116/16323	0.08620689655172414	1.2780700930188857	0.8083072015958542	0.256172748776656	0.9742070666186309	0.9729611549741605	EPM2A/ATG16L2/MTM1/ATG4C/LRRK2/TP53INP1/LRBA/ATM/SNX18/ATG9B	10	52	-0.689520703330772	0.48283598869843786
GO:0000050	urea cycle	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	5	9.082652134423251e-4	15/16323	0.06666666666666667	0.9883742052679383	-0.01211469308805462	0.6493499812265491	0.9742070666186309	0.9729611549741605	MDN1	1	4	-0.4271564388632811	0.6132032212055952
GO:0000055	ribosomal large subunit export from nucleus	7	9.082652134423251e-4	8/16323	0.125	1.853201634877384	0.6491538256138004	0.4281001337725667	0.9742070666186309	0.9729611549741605	MDN1	1	3	-0.13947436641150024	0.7862618399346607
GO:0000056	ribosomal small subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	35	0.009990917347865577	192/16323	0.057291666666666664	0.8493840826521344	-0.5645927895843171	0.7545163681841096	0.9809629574204098	0.9797084056794886	NIPBL/NUSAP1/KIF11/CENPC/SMC2/CENPF/KIF23/SPAG5/ATM/CENPE/PSRC1	11	110	-1.343447170737436	0.258070444353039
GO:0000076	DNA replication checkpoint signaling	13	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000077	DNA damage checkpoint signaling	40	0.007266121707538601	129/16323	0.06201550387596899	0.9194178653655238	-0.2471161008958308	0.6482387307396842	0.9742070666186309	0.9729611549741605	CASP2/EIF2AK4/ETAA1/BRCA1/MRE11/CDK5RAP3/ERCC6/ATM	8	72	-1.2380866550796097	0.28602258987993767
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	31	0.0036330608537693005	76/16323	0.05263157894736842	0.7802954252115302	-0.5163019834304686	0.7627666598901678	0.9817082262516336	0.9804527213877604	TFAP4/CDK5RAP3/HHEX/PSRC1	4	32	-1.1203036194232263	0.32065736546833185
GO:0000082	G1/S transition of mitotic cell cycle	82	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	50	0.007266121707538601	139/16323	0.05755395683453238	0.8532726951953424	-0.467218351621535	0.7282110708371954	0.978443454724002	0.9771921251704937	ETAA1/BRCA1/MRE11/SKP2/CDK5RAP3/CENPF/SMARCD3/ATM	8	33	-0.4579280975300349	0.5965715093567903
GO:0000132	establishment of mitotic spindle orientation	36	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000165	MAPK cascade	126	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000183	rDNA heterochromatin formation	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	35	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000209	protein polyubiquitination	137	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000212	meiotic spindle organization	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000226	microtubule cytoskeleton organization	134	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000244	spliceosomal tri-snRNP complex assembly	27	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000245	spliceosomal complex assembly	28	0.0036330608537693005	87/16323	0.04597701149425287	0.6816373829434057	-0.8007310297816391	0.846779600583536	0.9894039551084117	0.9881386081909096	CELF1/LUC7L3/ZRSR2/CELF6	4	39	-1.3181293627531463	0.2645392157386802
GO:0000255	allantoin metabolic process	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000266	mitochondrial fission	17	0.0027247956403269754	41/16323	0.07317073170731707	1.0848009570013954	0.1462120930032507	0.5289395194873474	0.9742070666186309	0.9729611549741605	MTFR2/LRRK2/C11orf65	3	9	-0.1394743664115001	0.7862618399346608
GO:0000278	mitotic cell cycle	127	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000281	mitotic cytokinesis	63	0.008174386920980926	93/16323	0.0967741935483871	1.434736749582491	1.1307147454046416	0.17470932192478236	0.9742070666186309	0.9729611549741605	NUSAP1/EXOC6B/EFHC1/CKAP2/IQGAP2/KIF23/SNX18/KLHDC8B/KIF20B	9	63	-0.9867722267987038	0.3646433162201353
