ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0009620	response to fungus	31/2291	44/9627	0.7045454545454546	2.960567040990437	7.283885388189619	7.249187533262587e-11	4.7315447029604907e-7	4.261759197186479e-7	ARG1/LTF/S100A12/CLEC4D/S100A8/S100A9/DEFA1/TLR4/ELANE/DEFA4/DEFA3/CAMP/CLEC4E/CTSG/PTX3/MPO/GAPDH/CLEC7A/SPI1/BCL10/USP15/CRK/IL17RA/MYD88/SYK/COTL1/APP/PLCG2/TGFB1/ATG5/BAK1	31
GO:0007033	vacuole organization	84/2291	196/9627	0.42857142857142855	1.8008979235517861	6.330414432829555	2.229645606345839e-9	4.859873782838501e-6	4.377346742221062e-6	ABCA1/STBD1/BAG3/SMURF1/LRRK2/RAB39A/SNX18/RALB/RAB33B/SH3GLB1/UBXN2B/FNIP1/RAB5A/VMP1/LAMP2/CHMP2B/WIPI1/MAP1LC3B2/MAP1LC3A/MTMR3/RAB20/RAB1A/MAP1LC3B/LAPTM5/ATG3/TFE3/ATP6V1A/C9orf72/STX12/GBA1/CHMP5/GABARAPL2/RAB7A/RB1CC1/GABARAPL1/TOM1/PSEN1/TP53INP2/FHIP1B/VPS4B/ATG2A/TMEM165/UBQLN1/PINK1/CTSD/CHMP2A/ATP6V0C/CREG1/ATP6AP1/ATP6V0B/CHMP4B/MYO7A/MFN2/RAB1B/WASHC5/AP3B1/CHMP1B/PPT1/HEXB/WDR45B/GABARAP/TMEM39A/ATP6V1H/SCARB2/PIKFYVE/ATP6V1D/ATP6V0A1/ARL8B/ATP6AP2/SEC22B/TFEB/TRAF6/ATP2A2/RAB14/ATG12/ATF2/ATG4D/PIK3C3/CHMP1A/ATP6V1F/ATG5/RAB34/AP5Z1/TP53INP1	84
GO:0002274	myeloid leukocyte activation	82/2291	190/9627	0.43157894736842106	1.8135358037170621	6.329105075688141	2.3221461881506294e-9	4.859873782838501e-6	4.377346742221062e-6	ANXA3/S100A12/CXCR2/BPI/CLEC4D/TLR4/FCAR/DYSF/TLR1/IL18RAP/CAMP/TLR2/VSIG4/CTSG/ITGAM/IL1RL1/BATF2/SUCNR1/RABGEF1/CST7/ADGRE2/IFNGR1/ADAM9/PLSCR1/FCER1G/ANXA1/LRRK2/LYN/TLR6/IFNGR2/GAB2/SBNO2/CD93/F2RL1/PTAFR/SPI1/LAT2/C5AR1/FGR/LDLR/NMI/ZC3H12A/MILR1/JMJD6/PRKCD/C1QA/AZU1/PJA2/PLA2G4A/TYROBP/ITGB2/IL4R/NECTIN2/PREX1/STXBP3/IL10/PIK3CG/RBPJ/LCP2/RAC2/HYAL2/CEBPA/MYD88/SYK/CTSC/PSEN1/PTPRC/HAVCR2/LTBR/AIF1/IL18/TICAM1/VAMP7/APP/NDRG1/PLCG2/PRKCE/DOCK2/TRAF6/TGFB1/PDPK1/KMT2E	82
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	63/2291	134/9627	0.4701492537313433	1.9756119012097957	6.355263475694072	2.978320075280221e-9	4.859873782838501e-6	4.377346742221062e-6	HSPA1B/TLR4/MAP2K6/TLR8/FLOT1/ITCH/TREML4/TRIM25/PIK3AP1/PELI1/CGAS/SLC15A4/TLR6/TIFA/F2RL1/NLRP6/ZDHHC18/LAMP2/MEFV/SEC14L1/GBP2/TBK1/LACC1/NOD2/RIOK3/USP15/RTN4/IFIH1/ZDHHC3/DDX3X/NLRP3/RIPK2/SLC19A1/PTPN22/TAX1BP1/MYD88/PPP2CA/WASHC4/HAVCR2/BIRC2/EPG5/CSNK1A1/TICAM1/UBQLN1/IFI16/ZC3HAV1/PPT1/PLCG2/PPP6C/ZDHHC9/SLC15A3/ZDHHC5/UFD1/TRAF6/OTULIN/ERBIN/HCFC2/SIRT2/RELA/CYLD/IRAK1/GPATCH3/PCBP2	63
GO:0007032	endosome organization	43/2291	79/9627	0.5443037974683544	2.287216350164927	6.419699504325399	3.9380502145801185e-9	5.140730750112887e-6	4.63031798914315e-6	UBAP1/SNX3/CHMP2B/ATP6V1A/SYNJ1/CHMP5/RAB7A/PLEKHF2/SNX10/TOM1/VPS37A/WASHC4/TSG101/FHIP1B/VPS4B/CHMP2A/ATP6V0C/CORO1C/ATP6AP1/STAM2/ATP6V0B/TMEM127/PI4K2A/CHMP4B/WASHC5/CHMP1B/EXOC8/VPS37B/ATP6V1H/SCARB2/ATP6V1D/ATP6V0A1/ATP6AP2/IST1/STAM/VTI1A/RAB22A/USP8/STX6/ARFGEF2/CHMP1A/ATP6V1F/HGS	43
GO:0006909	phagocytosis	80/2291	187/9627	0.42780748663101603	1.7976877668253126	6.1556447741465705	5.93332087270231e-9	5.8748633380829974e-6	5.291560036962825e-6	ANXA3/FPR2/ABCA1/MERTK/FCGR1A/TLR4/FCGR2A/ELANE/C4BPA/DYSF/MSR1/TLR2/NCF4/ITGAM/CEBPE/PTX3/PLSCR1/SIRPA/FCER1G/ANXA1/SIRPB1/NCF2/SNX3/RAB39A/HCK/LYN/APOA2/CD93/F2RL1/RAB5A/CLEC7A/RAB31/FGR/CD302/PIP4P2/LDLR/RAB20/JMJD6/NOD2/PRKCD/AZU1/ATG3/TYROBP/ITGB2/CNN2/ADORA2A/ICAM5/GSN/ELMO2/RAB7A/VAV3/ICAM3/PTPRJ/MYD88/SYK/PTPRC/VAV1/PIP5K1A/AIF1/YES1/CORO1C/MYO7A/PECAM1/VAMP7/RAB11FIP2/RARA/CDC42/PIK3CA/PLCG2/PRKCE/CDC42SE1/PIKFYVE/ARL8B/BLTP1/DOCK2/LYST/TGFB1/RAB14/ATG5/RAB34	80
GO:0042742	defense response to bacterium	77/2291	178/9627	0.43258426966292135	1.8177602636599495	6.153878142775836	6.300604162184921e-9	5.8748633380829974e-6	5.291560036962825e-6	ANXA3/PGLYRP1/ADM/LTF/SLPI/S100A12/LCN2/BPI/CLEC4D/S100A8/FPR2/S100A9/NAIP/DEFA1/RNASE3/FCGR1A/TLR4/ELANE/DEFA4/DEFA3/CAMP/NLRC4/CLEC4E/TLR2/H2BC4/CTSG/TREM1/MPO/GBP7/FCER1G/EMILIN2/RASGRP4/TLR6/TNFRSF1A/F2RL1/PLAC8/NLRP6/GBP3/C5AR1/FGR/AKIRIN2/GBP2/TBK1/H2BC12/NOD2/CASP4/RAB1A/NCR3LG1/PRKCD/SERPINE1/AZU1/CASP1/IL10/BCL3/RIPK2/RBPJ/ADAM17/NFKBIZ/MYD88/SYK/MR1/IL6R/HAVCR2/SLC30A1/H2BC7/IL18/TMF1/TNFSF8/ZNFX1/APP/NFKB1/TAB3/TFEB/LYST/RAB14/DHX15/SHC1	77
GO:0050832	defense response to fungus	24/2291	34/9627	0.7058823529411765	2.9661848152617662	6.417891725637062	1.0014644492960799e-8	8.170698075694392e-6	7.359445985945535e-6	ARG1/LTF/S100A12/CLEC4D/S100A8/S100A9/DEFA1/ELANE/DEFA4/DEFA3/CAMP/CLEC4E/CTSG/MPO/GAPDH/CLEC7A/SPI1/BCL10/USP15/IL17RA/COTL1/APP/PLCG2/TGFB1	24
GO:0002446	neutrophil mediated immunity	21/2291	29/9627	0.7241379310344828	3.042896491518536	6.156881581419714	4.1994765885036365e-8	3.02109715365243e-5	2.721138526307536e-5	ARG1/ANXA3/FCAR/ELANE/CTSG/ITGAM/TREM1/F2RL1/PTAFR/NLRP6/SPI1/AZU1/ITGB2/STXBP3/ADAM17/MYD88/SYK/IL6R/VAMP7/WDR1/KMT2E	21
GO:1901223	negative regulation of non-canonical NF-kappaB signal transduction	16/2291	19/9627	0.8421052631578947	3.5386064462771945	6.189584463585418	4.6286152193234715e-8	3.02109715365243e-5	2.721138526307536e-5	ADGRG3/CCN3/RASSF2/NLRP12/ADIPOR1/LITAF/SPI1/NMI/ZC3H12A/DDX3X/NLRP3/PPM1A/PPM1B/MKRN2/RELA/CYLD	16
