ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0048525	negative regulation of viral process	31/258	76/9627	0.40789473684210525	15.220165238678089	20.652526054297592	2.023845135162048e-29	6.763690441711564e-26	5.739198730659534e-26	IFITM1/ISG20/IFIT1/APOBEC3A/MX1/ISG15/IFITM3/APOBEC3B/OAS2/RSAD2/OAS3/TNF/IFIH1/EIF2AK2/LY6E/STAT1/OASL/IFIT5/IFITM2/TRIM5/OAS1/SHFL/PLSCR1/APOBEC3G/ZC3HAV1/BST2/TRIM21/ZNFX1/IFI16/SP100/TRIM25	31
GO:0050792	regulation of viral process	37/258	128/9627	0.2890625	10.786064680232558	18.4952533639628	1.2849270349299268e-28	2.147113075367908e-25	1.8218912800532755e-25	IFITM1/ISG20/IFIT1/APOBEC3A/MX1/ISG15/IFITM3/APOBEC3B/OAS2/RSAD2/OAS3/TNF/IFIH1/TRIM22/EIF2AK2/LY6E/STAT1/OASL/IFIT5/IFITM2/TRIM5/AXL/OAS1/SHFL/PLSCR1/APOBEC3G/ZC3HAV1/BST2/TRIM21/ZNFX1/DYNLT1/IFI16/TRIM34/ADAR/SP100/TRIM25/FMR1	37
GO:1903900	regulation of viral life cycle	34/258	108/9627	0.3148148148148148	11.746985357450473	18.637559102263427	9.691545646018732e-28	1.0796381849664867e-24	9.161061042236654e-25	IFITM1/ISG20/IFIT1/APOBEC3A/MX1/ISG15/IFITM3/APOBEC3B/OAS2/RSAD2/OAS3/TNF/IFIH1/TRIM22/EIF2AK2/LY6E/OASL/IFIT5/IFITM2/TRIM5/AXL/OAS1/SHFL/PLSCR1/APOBEC3G/ZC3HAV1/BST2/TRIM21/ZNFX1/IFI16/TRIM34/ADAR/TRIM25/FMR1	34
GO:0045071	negative regulation of viral genome replication	25/258	48/9627	0.5208333333333334	19.4343507751938	21.24587105670347	2.8167932781701596e-27	2.3534307839111683e-24	1.9969581819448448e-24	IFITM1/ISG20/IFIT1/APOBEC3A/MX1/ISG15/IFITM3/APOBEC3B/OAS2/RSAD2/OAS3/TNF/IFIH1/EIF2AK2/OASL/IFIT5/IFITM2/OAS1/SHFL/PLSCR1/APOBEC3G/ZC3HAV1/BST2/ZNFX1/IFI16	25
GO:0045069	regulation of viral genome replication	26/258	70/9627	0.37142857142857144	13.859468438538206	17.918324858153966	1.50522539045344e-23	1.0060926509790793e-20	8.537004635540143e-21	IFITM1/ISG20/IFIT1/APOBEC3A/MX1/ISG15/IFITM3/APOBEC3B/OAS2/RSAD2/OAS3/TNF/IFIH1/EIF2AK2/OASL/IFIT5/IFITM2/OAS1/SHFL/PLSCR1/APOBEC3G/ZC3HAV1/BST2/ZNFX1/IFI16/ADAR	26
GO:0019079	viral genome replication	30/258	104/9627	0.28846153846153844	10.763640429338103	16.612221635640516	2.6401725296635162e-23	1.4705760990225785e-20	1.2478289113883357e-20	IFITM1/ISG20/CCL8/IFIT1/APOBEC3A/MX1/ISG15/IFITM3/APOBEC3B/OAS2/RSAD2/OAS3/TNF/IFIH1/CCL2/EIF2AK2/OASL/IFIT5/IFITM2/OAS1/SHFL/PLSCR1/APOBEC3G/ZC3HAV1/BST2/ZNFX1/IFI16/ADAR/ZC3H12A/FMR1	30
GO:0034340	response to type I interferon	22/258	62/9627	0.3548387096774194	13.240435108777195	16.044876389721765	1.415937469852176e-19	6.760090034637104e-17	5.736143674859794e-17	IFITM1/IFIT1/USP18/ZBP1/MX1/ISG15/IFITM3/OAS2/OAS3/IRF7/IFIH1/STAT1/OASL/STAT2/NLRC5/IFITM2/OAS1/SHFL/ADAR/TRIM56/SP100/MYD88	22
GO:0035456	response to interferon-beta	16/258	29/9627	0.5517241379310345	20.58700882117081	17.529232737433464	2.215787874129422e-18	9.25645384417566e-16	7.854384911716663e-16	IFITM1/ACOD1/IFITM3/XAF1/AIM2/TLR3/STAT1/PNPT1/IFITM2/OAS1/IRF1/SHFL/PLSCR1/BST2/IFI16/MNDA	16
GO:0140888	interferon-mediated signaling pathway	23/258	79/9627	0.2911392405063291	10.86355607889314	14.607537864973693	3.3792935646081025e-18	1.2548443436578087e-15	1.0647739021116057e-15	IFITM1/USP18/ZBP1/ISG15/IFITM3/OAS2/OAS3/IRF7/IFIH1/PARP9/STAT1/OASL/STAT2/NLRC5/IFITM2/PARP14/JAK2/OAS1/IRF1/ADAR/TRIM56/SP100/MYD88	23
GO:0071357	cellular response to type I interferon	20/258	59/9627	0.3389830508474576	12.648797792668505	14.893017205820929	1.9253776478468416e-17	6.4346120991041446e-15	5.4599656666309394e-15	IFITM1/IFIT1/USP18/ZBP1/ISG15/IFITM3/OAS2/OAS3/IRF7/IFIH1/STAT1/OASL/STAT2/NLRC5/IFITM2/OAS1/ADAR/TRIM56/SP100/MYD88	20
GO:0060337	type I interferon-mediated signaling pathway	19/258	58/9627	0.3275862068965517	12.223536487570168	14.226452051002523	2.6201584793320817e-16	7.960517852661652e-14	6.754743486431224e-14	IFITM1/USP18/ZBP1/ISG15/IFITM3/OAS2/OAS3/IRF7/IFIH1/STAT1/OASL/STAT2/NLRC5/IFITM2/OAS1/ADAR/TRIM56/SP100/MYD88	19
GO:0140374	antiviral innate immune response	17/258	44/9627	0.38636363636363635	14.416754756871034	14.801619568816067	4.034162130916566e-16	1.1235141534602636e-13	9.533362088323886e-14	CXCL10/IFIT1/IFIT2/USP18/ZBP1/MX1/IFIT3/OAS2/OAS3/TNF/RIGI/IFIH1/DHX58/EIF2AK2/OASL/OAS1/TRIM25	17
GO:0034341	response to type II interferon	23/258	107/9627	0.21495327102803738	8.020756357313628	12.11834964173664	5.101300221576687e-15	1.3114265646545608e-12	1.112785651573085e-12	IFITM1/GBP5/ACOD1/IFITM3/GBP4/GBP1/TNF/GCH1/CCL2/PARP9/TLR3/STAT1/GBP2/NLRC5/IFITM2/PARP14/JAK2/IRF1/SHFL/CD40/BST2/TRIM21/SP100	23
GO:0032479	regulation of type I interferon production	21/258	101/9627	0.2079207920792079	7.758346764909049	11.3300553569055	1.6543371002550856e-13	3.685863059368331e-11	3.127567823219089e-11	ACOD1/ISG15/SIGLEC1/XAF1/OAS2/OAS3/IRF7/RIGI/IFIH1/DHX58/TLR3/STAT1/OAS1/IRF1/ZC3HAV1/TRIM21/CGAS/NMI/TRIM56/MYD88/IRF5	21
GO:0032606	type I interferon production	21/258	101/9627	0.2079207920792079	7.758346764909049	11.3300553569055	1.6543371002550856e-13	3.685863059368331e-11	3.127567823219089e-11	ACOD1/ISG15/SIGLEC1/XAF1/OAS2/OAS3/IRF7/RIGI/IFIH1/DHX58/TLR3/STAT1/OAS1/IRF1/ZC3HAV1/TRIM21/CGAS/NMI/TRIM56/MYD88/IRF5	21
GO:0002753	cytoplasmic pattern recognition receptor signaling pathway	23/258	134/9627	0.17164179104477612	6.4046338077056575	10.454495848123669	8.18334489954285e-13	1.7092961658920128e-10	1.4503902078531868e-10	GBP5/RSAD2/OAS3/IRF7/TNF/RIGI/IFIH1/DHX58/DDX60/EIF2AK2/TLR3/OASL/GBP2/OAS1/SCIMP/ZC3HAV1/IFI16/UNC93B1/CGAS/NAGK/MYD88/TRIM25/BTK	23
GO:0050691	regulation of defense response to virus by host	13/258	36/9627	0.3611111111111111	13.474483204134366	12.443083906474365	3.633733899635433e-12	7.143493348577422e-10	6.061473142797435e-10	IL27/RIGI/AIM2/TRIM22/PARP9/PML/STAT1/APOBEC3G/DTX3L/CGAS/IL15/ZC3H12A/NT5C2	13
GO:0032481	positive regulation of type I interferon production	16/258	63/9627	0.25396825396825395	9.4765596160945	11.200986504232079	5.2916363705258986e-12	9.824804861276419e-10	8.336648176723259e-10	ISG15/OAS2/OAS3/IRF7/RIGI/IFIH1/DHX58/TLR3/STAT1/OAS1/IRF1/ZC3HAV1/CGAS/TRIM56/MYD88/IRF5	16
