ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0002181	cytoplasmic translation	109/5545	163/16283	0.6687116564417178	1.9636847433436415	8.885650304956053	9.470648198298335e-18	7.475182622916876e-14	6.72116948978183e-14	RPS17/GTPBP1/CPEB1/EIF2S3B/RPL18A/RPL28/RPS29/METTL3/RPL38/RPL35/RPL18/RPS26/UNK/RPS27/RPS21/RPS19/PKM/RPS2/RPS15/RPL11/RPS16/RPL36/RPS9/RPLP1/YBX3/RPS8/RPL8/EIF3K/RPS3/RPSA/EIF3I/AKT2/RPLP2/RPL27/RPS10/RPS28/EIF2D/RPL22L1/RPL35A/RPL26L1/RPL23A/RPL37/EIF3G/RPS5/RPS25/RPLP0/RPL37A/RPL29/RPL41/UBA52/RPL32/ZNF385A/EEF1D/EIF4A1/RPL31/RPL36A/RPS14/RPS6/EIF2S2/RPL13/RPL13A/RACK1/RPL7A/RPL23/DRG2/FAU/RPL19/RPL14/RPL6/RPL10/YBX1/RPS7/RPS20/RPL12/SARS1/EIF2B5/RPL4/EIF3F/RPL15/RPL27A/RPL3/ALKBH3/EIF3B/RPS11/RPS15A/RPL34/NCK1/RPS4X/EIF3D/RPL10A/RPL26/FMR1/RPL30/RPS27A/EIF3C/RPS12/RPL24/HNRNPD/EIF3L/EIF2B3/RWDD1/FTSJ1/RBM4/EIF2B2/CPEB3/EIF4A2/ZC3H15/DRG1/EIF2B1	109
GO:0032543	mitochondrial translation	91/5545	130/16283	0.7	2.05556357078449	8.683052439196793	5.272508822200485e-17	2.0807956066814215e-13	1.8709081304881932e-13	MRPL58/SARS2/MPV17L2/MRPL52/MRPL46/MRPL27/MRPL14/C1QBP/MRPS2/MTG1/MRPS12/PTCD1/MRPL40/MRPL53/AARS2/AURKAIP1/TSFM/MRPL4/MRPL41/MRPS14/MRPL38/MRPL16/TARS2/TRUB2/CDK5RAP1/MRPL2/MRPL55/MRPS18A/MRPS24/MRPL11/MRPS18B/RCC1L/MTG2/MRPS31/MALSU1/MRPL54/MRPL21/MRPS21/TUFM/GADD45GIP1/MRPL23/MRPL28/DAP3/MRPL10/MRPS9/MRPL17/MRPL43/HARS1/MRPS26/MRPL33/RPUSD4/NGRN/MTRF1L/MRPL49/MRPS7/MRPS5/MRPS18C/MRPL20/COA3/RPUSD3/MRPL24/MRPL34/MRPS17/MRPS25/MRPL57/MRPS22/MRPL32/MRPL51/LARS2/CHCHD1/MRPS23/MTRF1/MRPL18/MRPS33/MRPL15/MRPS34/SHMT2/MRPL12/MRPS16/MRPS15/MRPL36/TACO1/MRPL37/MRPL30/NSUN3/UQCC2/OXA1L/MRPS11/EARS2/MRPS35/GATB	91
GO:0140053	mitochondrial gene expression	105/5545	168/16283	0.625	1.8353246167718666	7.820557557792	3.7870723972383087e-14	9.96378747713399e-11	8.958751614800238e-11	PNPT1/MRPL58/SARS2/MPV17L2/MRPL52/MRPL46/MRPL27/MRPL14/C1QBP/MRPS2/MTG1/MRPS12/CHCHD10/PTCD1/MRPL40/MRPL53/PUS1/AARS2/AURKAIP1/TSFM/MRPL4/MRPL41/MRPS14/MRPL38/MRPL16/TARS2/TRUB2/PPARGC1B/CDK5RAP1/MRPL2/MRPL55/MRPS18A/MRPS24/FASTK/MRPL11/MRPS18B/RCC1L/MTG2/MRPS31/MALSU1/MRPL54/TWNK/TBRG4/MRPL21/MRPS21/TUFM/GADD45GIP1/MRPL23/MRPL28/DAP3/MRPL10/MRPS9/MRPL17/MRPL43/HARS1/MRPS26/MRPL33/RPUSD4/NGRN/MTRF1L/MRPL49/MRPS7/MRPS5/HSD17B10/MRPS18C/MRPL20/COA3/RPUSD3/MRPL24/MRPL34/MRPS17/MRPS25/MRPL57/MRPS22/MRPL32/MRPL51/KANSL1/LARS2/CHCHD1/MRPS23/POLRMT/TFB1M/MTRF1/MRPL18/MRPS33/MRPL15/MRPS34/SHMT2/MRPL12/MRPS16/MRPS15/MRPL36/KANSL3/TACO1/MRPL37/MRPL30/NSUN3/UQCC2/ELAC2/OXA1L/MRPS11/MTRES1/EARS2/MRPS35/GATB	105
GO:0009060	aerobic respiration	112/5545	192/16283	0.5833333333333334	1.712969642320409	7.141231070932974	4.000934893292067e-12	7.894844778188571e-9	7.098500802782926e-9	TNF/BID/SLC25A14/PPIF/COL6A1/CHCHD10/ISCU/SDHAF4/CYC1/NDUFA7/NDUFS7/COX6B1/NDUFC1/UQCR10/UQCRHL/ACO1/FXN/NDUFA8/SNCA/NDUFB6/NDUFS6/ATP5F1D/NDUFS3/ATP5MF/UQCR11/COX5B/COX8A/COX6A1/ABCD1/COX4I1/UQCRFS1/ADSL/NDUFC2/NDUFA13/PDHA1/COA6/NDUFB4/NDUFA6/ANTKMT/ATP5MG/COX5A/NDUFV1/MTFR1L/NDUFB10/IDH3G/STOML2/UQCRQ/NDUFS5/NDUFA3/COX10/NDUFA11/PANK2/COQ9/PINK1/NDUFB2/MDH2/NDUFB1/NDUFA2/NDUFA10/SUCLG1/NDUFB11/OGDH/NDUFB7/NDUFB8/NDUFS2/CHCHD2/NDUFS8/ATP5F1B/NDUFA1/ACO2/PARK7/ATP5PD/UQCRC1/SDHD/NDUFAB1/ATP5F1A/TAFAZZIN/COX7C/NUPR1/COX6C/GHITM/VCP/ARL2/IDH3B/ATP5ME/UQCRH/SHMT2/SURF1/NOP53/CBFA2T3/NDUFV2/DNAJC15/NDUFS4/SDHAF2/CS/ATP5F1E/NDUFB3/COX7B/DLST/NDUFAF1/HIF1A/SIRT3/ATP5IF1/UQCC2/COX7A2/OXA1L/COX7A2L/NDUFA9/NDUFA4/NDUFA5/TRPV4/CSKMT	112
GO:0097250	mitochondrial respirasome assembly	73/5545	111/16283	0.6576576576576577	1.9312244616121985	7.074193734923224	8.184553485570204e-12	1.0845561494865696e-8	9.751582094512065e-9	SCO2/UQCC4/TMEM186/RAB5IF/BCS1L/SDHAF4/PET117/SDHAF1/NDUFS7/TMEM242/NDUFC1/FXN/NDUFA8/NDUFB6/ATP5F1D/NDUFS3/COX17/UQCRFS1/COA5/NDUFC2/FMC1/NDUFA13/NDUFAF7/HIGD2A/TMEM223/NDUFB4/NDUFA6/NDUFAF2/NDUFAF8/COA8/NDUFB10/NDUFS5/NDUFA3/NDUFA11/NDUFB2/COA1/NDUFB1/NDUFA2/NDUFA10/NDUFB11/NDUFB7/NDUFB8/NDUFS2/COX16/NDUFS8/NDUFA1/COA3/ECSIT/ATPAF2/SCO1/UQCC1/NDUFAB1/TAFAZZIN/DMAC2/COX14/NDUFAF3/SURF1/NDUFS4/SDHAF2/NDUFB3/SMIM20/TACO1/NDUFAF1/NDUFAF5/UQCC2/COX7A2/PET100/OXA1L/COX7A2L/NDUFA9/AIFM1/NDUFA5/TIMM21	73
GO:0033108	mitochondrial respiratory chain complex assembly	68/5545	101/16283	0.6732673267326733	1.9770625574730603	7.07798943226443	8.244440513010792e-12	1.0845561494865696e-8	9.751582094512065e-9	SCO2/UQCC4/TMEM186/BCS1L/SDHAF4/PET117/SDHAF1/IMMP2L/NDUFS7/NDUFC1/FXN/NDUFA8/NDUFB6/NDUFS3/COX17/UQCRFS1/COA5/NDUFC2/NDUFA13/NDUFAF7/TMEM223/NDUFB4/NDUFA6/NDUFAF2/NDUFAF8/COA8/NDUFB10/NDUFS5/NDUFA3/NDUFA11/NDUFB2/COA1/NDUFB1/NDUFA2/NDUFA10/NDUFB11/NDUFB7/NDUFB8/NDUFS2/COX16/NDUFS8/NDUFA1/COA3/ECSIT/SCO1/UQCC1/NDUFAB1/TAFAZZIN/DMAC2/COX14/NDUFAF3/SURF1/NDUFS4/SDHAF2/NDUFB3/SMIM20/TACO1/NDUFAF1/NDUFAF5/UQCC2/PET100/OXA1L/NDUFA9/CHCHD7/AIFM1/NDUFA5/TIMM21/CHCHD4	68
GO:0022904	respiratory electron transport chain	76/5545	119/16283	0.6386554621848739	1.8754241462139407	6.887482870143571	2.6916657525966542e-11	3.035045397892199e-8	2.7289038351889686e-8	BID/SCO2/ISCU/IMMP2L/CYC1/NDUFA7/NDUFS7/COX6B1/NDUFC1/UQCR10/UQCRHL/NDUFA8/SNCA/NDUFB6/NDUFS6/SLC25A12/MYBBP1A/NDUFS3/UQCR11/COX5B/COX8A/ETFB/SLC25A18/COX6A1/COX4I1/UQCRFS1/NDUFC2/COA6/NDUFB4/NDUFA6/COX5A/NDUFV1/AIFM2/NDUFB10/UQCRQ/NDUFS5/NDUFA3/COQ9/PINK1/NDUFB2/SLC25A22/MDH2/NDUFB1/NDUFA2/NDUFA10/NDUFB7/NDUFB8/NDUFS2/CHCHD2/NDUFS8/NDUFA1/PARK7/UQCRC1/SDHD/NDUFAB1/TAFAZZIN/COX7C/COX6C/GHITM/UQCRH/NDUFV2/DNAJC15/NDUFS4/SDHAF2/NDUFB3/COX7B/NDUFAF1/HCCS/COX7A2/GBA1/COX7A2L/NDUFA9/NDUFA4/SLC25A13/NDUFA5/GPD2	76
GO:0006119	oxidative phosphorylation	86/5545	141/16283	0.6099290780141844	1.7910685621830413	6.779348518364854	4.952840496174956e-11	4.886596254538616e-8	4.3936908717383625e-8	TNF/BID/PPIF/CHCHD10/ISCU/CYC1/NDUFA7/NDUFS7/COX6B1/NDUFC1/UQCR10/UQCRHL/FXN/NDUFA8/SNCA/NDUFB6/NDUFS6/ATP5F1D/NDUFS3/ATP5MF/UQCR11/COX5B/COX8A/COX6A1/ABCD1/COX4I1/UQCRFS1/NDUFC2/NDUFA13/COA6/NDUFB4/NDUFA6/ANTKMT/ATP5MG/COX5A/NDUFV1/NDUFB10/STOML2/UQCRQ/NDUFS5/NDUFA3/NDUFA11/COQ9/PINK1/NDUFB2/NDUFB1/NDUFA2/NDUFA10/NDUFB11/NDUFB7/NDUFB8/NDUFS2/CHCHD2/NDUFS8/ATP5F1B/NDUFA1/PARK7/ATP5PD/UQCRC1/SDHD/NDUFAB1/ATP5F1A/TAFAZZIN/COX7C/NUPR1/COX6C/GHITM/VCP/ATP5ME/UQCRH/SHMT2/NDUFV2/DNAJC15/NDUFS4/SDHAF2/ATP5F1E/NDUFB3/COX7B/NDUFAF1/ATP5IF1/UQCC2/COX7A2/COX7A2L/NDUFA9/NDUFA4/NDUFA5	86
GO:0042773	ATP synthesis coupled electron transport	63/5545	95/16283	0.6631578947368421	1.947376014427412	6.654731545042594	1.285667186890978e-10	1.014777110613049e-7	9.12417702528313e-8	BID/ISCU/CYC1/NDUFA7/NDUFS7/COX6B1/NDUFC1/UQCR10/UQCRHL/NDUFA8/SNCA/NDUFB6/NDUFS6/NDUFS3/UQCR11/COX5B/COX8A/COX6A1/COX4I1/UQCRFS1/NDUFC2/COA6/NDUFB4/NDUFA6/COX5A/NDUFV1/NDUFB10/UQCRQ/NDUFS5/NDUFA3/COQ9/PINK1/NDUFB2/NDUFB1/NDUFA2/NDUFA10/NDUFB7/NDUFB8/NDUFS2/CHCHD2/NDUFS8/NDUFA1/PARK7/UQCRC1/SDHD/NDUFAB1/TAFAZZIN/COX7C/COX6C/GHITM/UQCRH/NDUFV2/DNAJC15/NDUFS4/SDHAF2/NDUFB3/COX7B/NDUFAF1/COX7A2/COX7A2L/NDUFA9/NDUFA4/NDUFA5	63
GO:0042775	mitochondrial ATP synthesis coupled electron transport	63/5545	95/16283	0.6631578947368421	1.947376014427412	6.654731545042594	1.285667186890978e-10	1.014777110613049e-7	9.12417702528313e-8	BID/ISCU/CYC1/NDUFA7/NDUFS7/COX6B1/NDUFC1/UQCR10/UQCRHL/NDUFA8/SNCA/NDUFB6/NDUFS6/NDUFS3/UQCR11/COX5B/COX8A/COX6A1/COX4I1/UQCRFS1/NDUFC2/COA6/NDUFB4/NDUFA6/COX5A/NDUFV1/NDUFB10/UQCRQ/NDUFS5/NDUFA3/COQ9/PINK1/NDUFB2/NDUFB1/NDUFA2/NDUFA10/NDUFB7/NDUFB8/NDUFS2/CHCHD2/NDUFS8/NDUFA1/PARK7/UQCRC1/SDHD/NDUFAB1/TAFAZZIN/COX7C/COX6C/GHITM/UQCRH/NDUFV2/DNAJC15/NDUFS4/SDHAF2/NDUFB3/COX7B/NDUFAF1/COX7A2/COX7A2L/NDUFA9/NDUFA4/NDUFA5	63
