ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	0.0037751677852348995	22/16034	0.0027655018311206203	0.046441575068523325	0.0397226626651871	ID2/CDK14/GFI1/CDK18/CDK16/CDK17/ZPR1/KLF11/BRD4	9	22	-0.3678391856931798
GO:0000101	sulfur amino acid transport	0.002936241610738255	13/16034	0.001194610545242292	0.02767077529402914	0.023667519266242276	SLC1A2/SLC7A5/SLC7A11/SLC3A2/SLC43A2/MFSD12/SLC1A4	7	NA	NA
GO:0000302	response to reactive oxygen species	0.020553691275167787	194/16034	9.770317927223975e-5	0.00462774866437551	0.003958231365388174	IL1A/IL6/MET/AREG/TNFAIP3/FBLN5/TXN/PTPRK/PDGFRA/BCL2/SPHK1/AKR1C3/MMP9/PTK2B/NR4A3/HGF/PPIF/PPP1R15B/SRC/SESN3/GCH1/PLK3/KDM6B/IL10/MAPK13/STK26/MAP1LC3A/NET1/ERN1/STK24/RELA/ENDOG/OSER1/SIRPA/PRKCD/ROMO1/AGAP3/HSF1/MPV17L2/MAPK8/FOXP1/EZH2/PRDX5/BAK1/ADPRS/PARK7/COA8/STK25/PPP2CB	49	100	-0.18737119754854795
GO:0001574	ganglioside biosynthetic process	0.002936241610738255	14/16034	0.0020837532746708983	0.03958059883430146	0.0338542948481236	B4GALNT1/ST3GAL2/ST3GAL1/B4GALT5/B3GALT4/ST3GAL5/ST3GAL3	7	17	-0.361324504671986
GO:0001706	endoderm formation	0.007130872483221477	57/16034	0.0029642327410403942	0.04862045458444725	0.04158631384134614	MMP8/DUSP4/INHBA/LAMB3/DUSP2/MMP9/DUSP5/DUSP1/VTN/COL6A1/COL4A2/COL7A1/MMP14/ITGA4/CTNNB1/PAF1/MAP2K1	17	42	-0.37847758389823544
GO:0001773	myeloid dendritic cell activation	0.004614093959731544	29/16034	0.0019818486897389565	0.03796420791541092	0.03247175450336947	CSF2/ITGB8/RELB/DCSTAMP/BATF/SLAMF1/IL10/IRF4/BATF3/CAMK4/TRAF6	11	27	-0.37196290287704165
GO:0001776	leukocyte homeostasis	0.013422818791946308	102/16034	1.8549157118217e-5	0.0013053306852048134	0.0011164825998774424	CXCL6/IL2RA/IL6/TNFAIP3/JAK3/PDE4B/PMAIP1/IL7R/GCNT4/CSF1/BCL2/CHST3/FLT3/SLC7A11/LGALS2/KITLG/ADA/LGALS9/MIF/TRAF3IP2/SKIL/XKR8/LYN/GPR183/SH2B3/SLC15A4/MIR17HG/TCIRG1/PKN1/BAK1/FADD/DNAJA3	32	23	0.8562203771994935
GO:0001778	plasma membrane repair	0.004614093959731544	28/16034	0.0014186287587758422	0.030383327242303474	0.025987634073806734	CASP7/ANXA6/ARL8B/ANXA2/S100A10/CHMP4A/CHMP1A/MYH9/SYT11/CHMP4B/CHMP5	11	29	-0.4434218668591866
GO:0001783	B cell apoptotic process	0.005453020134228188	27/16034	4.324827968549769e-5	0.0025897882740505687	0.002215111908512599	NFKBIZ/BCL2/ADA/HSH2D/IL10/ORMDL3/MIF/TRAF3IP2/LYN/MIR17HG/PKN1/FOXP1/BAK1	13	25	-0.1279477770777473
GO:0001836	release of cytochrome c from mitochondria	0.007550335570469799	58/16034	0.001375230024036471	0.030063830318359422	0.025714360212752946	BCL2A1/PMAIP1/BCL2/MMP9/PLAUR/BCL2L1/HGF/PPIF/CLU/BMF/BOK/BID/MLLT11/PLA2G6/PDCD5/PRELID1/ARRB2/BAK1	18	58	-0.6440925623213379
GO:0001885	endothelial cell development	0.008389261744966443	61/16034	3.4333968537498595e-4	0.010842375912334848	0.009273760423055385	IL1B/MET/VEGFA/ICAM1/CLDN1/PPP1R16B/TNF/TJP3/AFDN/CCM2/F11R/FASN/RAPGEF1/RAP2C/MSN/RAPGEF3/CLIC4/MYADM/RAP1B/RAPGEF2	20	36	-0.06180797457320236
GO:0001935	endothelial cell proliferation	0.01552013422818792	151/16034	0.001202878220911412	0.027775209919732573	0.02375684486300039	IL12B/THBS1/NR4A1/ITGB3/BMP6/VEGFA/NRP2/PPARG/ACVRL1/ALDH1A2/WNT5A/EPHA2/PPP1R16B/BMP2/FLT1/SULF1/RGCC/HTR2B/VASH2/PDCL3/TNF/CCL2/IL10/CCL24/LRG1/F3/STAT5A/THBS4/PRKCA/MMP14/MYDGF/ERN1/ITGA4/SIRT6/STAT3/NRAS/PDGFB	37	128	-0.715133660946476
GO:0001936	regulation of endothelial cell proliferation	0.014261744966442953	135/16034	0.001124744462138082	0.02691132702382971	0.023017943807092135	IL12B/THBS1/NR4A1/ITGB3/BMP6/VEGFA/NRP2/PPARG/ACVRL1/ALDH1A2/WNT5A/PPP1R16B/BMP2/FLT1/SULF1/RGCC/HTR2B/VASH2/PDCL3/TNF/CCL2/IL10/CCL24/LRG1/F3/STAT5A/THBS4/PRKCA/MYDGF/ITGA4/SIRT6/STAT3/NRAS/PDGFB	34	113	-0.6750486037672624
GO:0001938	positive regulation of endothelial cell proliferation	0.010486577181208054	96/16034	0.0029742110532101984	0.04862045458444725	0.04158631384134614	NR4A1/ITGB3/BMP6/VEGFA/NRP2/ACVRL1/WNT5A/PPP1R16B/BMP2/HTR2B/VASH2/PDCL3/IL10/CCL24/LRG1/F3/STAT5A/THBS4/PRKCA/MYDGF/ITGA4/SIRT6/STAT3/NRAS/PDGFB	25	115	-1.0000776131661326
GO:0001952	regulation of cell-matrix adhesion	0.013003355704697987	121/16034	0.0013520869652292806	0.030063830318359422	0.025714360212752946	CCR7/FERMT2/THBS1/ITGB3/LIMCH1/NEXMIF/CSF1/BCL2/VEGFA/ACVRL1/GREM1/PTK2B/SDC4/MMP12/MAP4K4/CX3CL1/SRC/CCL28/ACTG1/SERPINE1/MMP14/MINK1/CDK6/RAC1/S100A10/DUSP22/DAPK3/RCC2/RHOA/POLDIP2/PLAU	31	83	-0.4588747129825349
GO:0002158	osteoclast proliferation	0.002936241610738255	11/16034	3.0237651847217533e-4	0.009974375424066534	0.008531337485464948	TNFAIP3/CSF1/GREM1/OCSTAMP/JUNB/NMB/TCIRG1	7	11	0.07399356658585944
GO:0002221	pattern recognition receptor signaling pathway	0.018456375838926176	181/16034	5.272039548358261e-4	0.015458373104293332	0.013221940454612783	TNIP3/BIRC3/TNFAIP3/NFKBIZ/IRAK2/CLEC4E/NFKBIA/TRIL/GFI1/RIPK2/CD40/TREML4/RFTN1/NINJ1/COLEC10/RAB7B/TNIP1/INAVA/IRF1/TNIP2/TNF/IRF4/DHX58/IRF7/COLEC12/FLOT1/TICAM1/TLR2/MAPKAPK2/RELA/PELI1/LYN/NPLOC4/SLC15A4/ARRB2/RSAD2/BIRC2/C1QBP/TRAF3/SARM1/UFD1/TRAF6/ZDHHC5/RTN4	44	53	0.33987641069505625
GO:0002260	lymphocyte homeostasis	0.008389261744966443	71/16034	0.002822840460020787	0.04666212116128321	0.03991130135868316	IL2RA/TNFAIP3/JAK3/PMAIP1/IL7R/BCL2/CHST3/LGALS2/ADA/LGALS9/MIF/TRAF3IP2/SKIL/LYN/MIR17HG/TCIRG1/PKN1/BAK1/FADD/DNAJA3	20	54	-0.4672730826813668
GO:0002286	T cell activation involved in immune response	0.015100671140939598	116/16034	7.536005702505763e-6	6.874511868619146e-4	5.879945190103261e-4	IL12B/IL23A/IL6/TNFSF4/CCL19/TNFSF18/JAK3/NFKBIZ/CLEC4E/ICAM1/TBX21/RELB/RIPK2/NFKBID/LILRB1/BATF/CD80/IL18R1/ZC3H12A/CD86/LCP1/PTGER4/MYB/SLC11A1/BCL3/LGALS9/JUNB/IRF4/IL23R/SMAD7/ENTPD7/STAT3/IL4R/GPR183/HLX/FOXP1	36	37	0.4985797161408023
GO:0002287	alpha-beta T cell activation involved in immune response	0.013003355704697987	71/16034	5.108926128534436e-9	2.9038350125954574e-6	2.483724087102895e-6	IL12B/IL23A/IL6/TNFSF4/CCL19/TNFSF18/JAK3/NFKBIZ/TBX21/RELB/RIPK2/NFKBID/BATF/CD80/IL18R1/ZC3H12A/CD86/PTGER4/MYB/BCL3/LGALS9/JUNB/IRF4/IL23R/SMAD7/ENTPD7/STAT3/IL4R/GPR183/HLX/FOXP1	31	NA	NA
GO:0002292	T cell differentiation involved in immune response	0.013422818791946308	79/16034	2.6575518351829506e-8	8.18193771256951e-6	6.998219832648437e-6	IL12B/IL23A/IL6/TNFSF4/CCL19/TNFSF18/JAK3/NFKBIZ/CLEC4E/TBX21/RELB/RIPK2/NFKBID/BATF/CD80/IL18R1/ZC3H12A/CD86/PTGER4/MYB/BCL3/LGALS9/JUNB/IRF4/IL23R/SMAD7/ENTPD7/STAT3/IL4R/GPR183/HLX/FOXP1	32	4	2.6054202320087527
GO:0002293	alpha-beta T cell differentiation involved in immune response	0.013003355704697987	71/16034	5.108926128534436e-9	2.9038350125954574e-6	2.483724087102895e-6	IL12B/IL23A/IL6/TNFSF4/CCL19/TNFSF18/JAK3/NFKBIZ/TBX21/RELB/RIPK2/NFKBID/BATF/CD80/IL18R1/ZC3H12A/CD86/PTGER4/MYB/BCL3/LGALS9/JUNB/IRF4/IL23R/SMAD7/ENTPD7/STAT3/IL4R/GPR183/HLX/FOXP1	31	NA	NA
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response	0.013003355704697987	70/16034	3.353349289777141e-9	2.4777897902163295e-6	2.119316751139153e-6	IL12B/IL23A/IL6/TNFSF4/CCL19/TNFSF18/JAK3/NFKBIZ/TBX21/RELB/RIPK2/NFKBID/BATF/CD80/IL18R1/ZC3H12A/CD86/PTGER4/MYB/BCL3/LGALS9/JUNB/IRF4/IL23R/SMAD7/ENTPD7/STAT3/IL4R/GPR183/HLX/FOXP1	31	NA	NA
GO:0002295	T-helper cell lineage commitment	0.0037751677852348995	18/16034	4.740757449521742e-4	0.014124780965530706	0.012081285113297343	IL12B/IL23A/IL6/TNFSF18/TBX21/BATF/IRF4/IL23R/STAT3	9	12	0.23829661787713585
GO:0002360	T cell lineage commitment	0.005453020134228188	30/16034	1.667660516968091e-4	0.006883990815573868	0.005888052774993484	IL12B/IL23A/IL6/TNFSF18/BCL2/TBX21/BATF/CTSL/IRF4/IL23R/IL7/STAT3/RHOA	13	8	1.0114865061106175
GO:0002363	alpha-beta T cell lineage commitment	0.0050335570469798654	23/16034	3.0866791739212256e-5	0.002073406583282176	0.0017734374890165587	IL12B/IL23A/IL6/TNFSF18/BCL2/TBX21/BATF/CTSL/IRF4/IL23R/STAT3/RHOA	12	4	1.6245909789970263
GO:0002367	cytokine production involved in immune response	0.013842281879194632	121/16034	2.890431897915712e-4	0.009808173091839352	0.008389180395239506	IL1B/IL6/TREM1/TNFSF4/JAK3/CLC/TRIL/SEMA7A/TBX21/RIPK2/LILRB1/SLAMF9/WNT5A/IL18R1/INAVA/NR4A3/SLC7A5/SPON2/TNF/SLAMF1/TNFRSF1B/TRAF2/ARID5A/IL10/LITAF/SMAD7/MIF/TICAM1/MAPKAPK2/TRPM4/B2M/RSAD2/TRAF6	33	24	0.8444324214474515
GO:0002369	T cell cytokine production	0.006291946308724832	38/16034	1.8965677975221342e-4	0.007305459592430001	0.00624854576047606	IL1B/IL6/TNFSF4/CLC/TBX21/IL18R1/SLAMF1/TNFRSF1B/TRAF2/ARID5A/SMAD7/TRPM4/B2M/RSAD2/TRAF6	15	NA	NA
GO:0002407	dendritic cell chemotaxis	0.0041946308724832215	26/16034	0.002798207735697867	0.04646282462712705	0.039740837954180944	CCR7/CCL5/CCL19/CXCR4/TNFSF18/SLAMF1/LGALS9/GPR183/TRPM4/C1QBP	10	25	-0.3903120415452384
GO:0002437	inflammatory response to antigenic stimulus	0.009228187919463088	71/16034	4.3592128086633966e-4	0.013255235984861662	0.011337541131996982	IL12B/IL2RA/CCR7/RHBDF2/CD6/IL31RA/PNMA1/IL1RN/SRC/TNF/C3/IL10/FUT7/SELENOS/RASGRP1/FGR/LYN/PSMB4/HCK/PARK7/KARS1/PSMA1	22	58	-0.4434218668591866
GO:0002456	T cell mediated immunity	0.013422818791946308	123/16034	8.640044366209057e-4	0.022638754546779688	0.01936350368597207	IL12B/IL1B/CD70/IL23A/IL6/TNFSF4/MYO1G/NFKBIZ/CLC/IL7R/IL4I1/PVR/TBX21/LILRB1/RFTN1/IL18R1/SLAMF1/TNFRSF1B/TRAF2/NECTIN2/ARID5A/FUT7/HPRT1/IL23R/SMAD7/CD1B/TRPM4/B2M/DUSP22/RSAD2/FADD/TRAF6	32	39	0.3281529469989968
GO:0002520	immune system development	0.018875838926174497	197/16034	0.0018143855614541865	0.03623377003671617	0.030991666887541777	IL2RA/IDO1/TNFSF4/CLCF1/TNFAIP3/PDPN/NFKBIZ/CLC/IL7R/BCL2/CCR4/NFKB2/TBX21/CD40/BATF/TFRC/IL15/EPHB3/HES1/ADA/CDKN2B/BCL3/IL10/LGALS9/CD274/LILRB2/TCF3/TRAF3IP2/MAD2L2/XKR8/CTNNB1/TNFRSF11A/LYN/SLC15A4/MAP2K2/SRF/PKN1/NBN/SBDS/MAP2K1/FLVCR1/FADD/APLF/RAF1/MCM3AP	45	7	2.386731031043923
GO:0002544	chronic inflammatory response	0.004614093959731544	20/16034	3.499278471277538e-5	0.0022099289422452756	0.0018902085417499177	IDO1/S100A8/CCL5/THBS1/S100A9/TNFAIP3/NFKBIZ/SCN11A/VNN1/TNF/IL10	11	18	0.03350220523112261
GO:0002548	monocyte chemotaxis	0.011325503355704697	65/16034	1.7348866689305183e-7	3.7480830718383636e-5	3.205830966845102e-5	CCL20/IL6/CCL3/CCL5/CCL19/CCL22/FPR2/CCL7/CCL4/TNFSF18/CCL17/CCL1/CXCL10/DUSP1/NBL1/GREM1/FLT1/CX3CL1/CCL2/CCL8/CCL24/SERPINE1/CCN3/CREB3/TNFRSF11A/LYN/PDGFB	27	71	-0.44086432070806986
