GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.0027397260273972603	30/16283	0.06666666666666667	1.4870319634703195	0.5784416329308418	0.3918736701323753	0.6031022013796591	0.49721913557873765	TWNK/SLC25A33	2	c(""5442"", ""92667"", ""3980"", ""1890"", ""5428"", ""84275"", ""142"", ""11232"", ""7156"", ""56652"", ""79736"", ""1763"", ""6240"", ""4358"", ""10000"", ""201973"", ""55186"", ""2021"", ""50484"", ""4976"", ""291"")	21	2	2.499431882740598	-0.2229162785859589	0.7328102420306595
GO:0000012	single strand break repair	13	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000017	alpha-glucoside transport	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000018	regulation of DNA recombination	141	0.019178082191780823	140/16283	0.1	2.2305479452054797	3.1679524422849967	0.004122830179035533	0.0550444897974339	0.04538065616879344	IL7R/IL10/CLCF1/CD40/NBN/PPP4R2/RIF1/EXOSC6/ARID2/EPC1/RNF126/SENP3/HMCES/SETD2	14	c(""6118"", ""23347"", ""26122"", ""10459"", ""54556"", ""10856"", ""2074"", ""57634"", ""8741"", ""25"", ""3575"", ""387893"", ""64769"", ""151987"", ""84717"", ""80314"", ""10933"", ""4361"", ""4437"", ""9025"", ""10721"", ""196528"", ""22891"", ""3565"", ""10097"", ""23514"", ""158880"", ""26168"", ""8607"", ""641"", ""51588"", ""29072"", ""2956"", ""7014"", ""6502"", ""51548"", ""55929"", ""3838"", ""9643"", ""55183"", ""1111"", ""84893"", ""10524"", ""10902"", ""51149"", ""2521"", ""55086"", ""7037"", ""115004"", ""1387"", ""64110"", ""54537"", ""1457"", ""7158"", ""3276"", ""54799"", ""56893"", ""5888"", 
""8295"", ""60"", ""51750"", ""80311"", ""10635"", ""55135"", ""57162"", ""142"", ""6944"", ""7040"", ""154288"", ""55257"", ""7454"", ""23028"", ""8914"", ""8089"", ""55010"", ""3836"", ""149840"", ""5347"", ""10111"", ""5531"", ""708"", ""92797"", ""55658"", ""57599"", ""56979"", ""112441434"", ""86"", ""4436"", ""63979"")	89	8	10.592830360186342	-0.2807358494747849	0.6973241765814905
GO:0000019	regulation of mitotic recombination	7	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000022	mitotic spindle elongation	12	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000023	maltose metabolic process	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	16	0.00410958904109589	15/16283	0.2	4.461095890410959	2.905362980937347	0.027279758105593004	0.15574121761071494	0.12839865849806778	BRIX1/RRS1/DHX30	3	c(""29960"", ""29997"", ""23246"", ""92170"", ""81554"", ""22907"", ""26164"", ""22868"", ""6125"", ""55794"", ""6135"", ""4839"", ""54471"", ""23195"", ""23212"")	15	2	1.7853084876718555	0.11355595803525417	0.9639032241575367
GO:0000028	ribosomal small subunit assembly	18	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.0027397260273972603	33/16283	0.06060606060606061	1.3518472395184724	0.4383213798341664	0.43912518313114257	0.6315321307601871	0.5206577913800485	ELOVL7/ACSL1	2	c(""8529"", ""225"", ""51"", ""83401"", ""6785"", ""5828"", ""30"", ""10965"", ""201562"", ""5825"", ""215"", ""79993"", ""10998"", ""23205"", ""54898"", ""122970"", ""9200"", ""9524"", ""641371"", ""28965"", ""64834"", ""401494"", ""51495"", ""60481"")	24	1	2.856493580274969	-1.0495948517704268	0.34329664232933077
GO:0000041	transition metal ion transport	98	0.00684931506849315	97/16283	0.05154639175257732	1.14976698206468	0.3205091237437943	0.44066423479432604	0.6325902990381891	0.5215301833482446	MCOLN2/SLC39A8/SLC39A14/FLVCR2/SLC25A28	5	c(""567"", ""23516"", ""392"", ""91252"", ""30061"", ""475"", ""1317"", ""1785"", ""7922"", ""7037"", ""64116"", ""55858"", ""4241"", ""27032"", ""7782"", ""7781"", ""169026"", ""7036"", ""538"", ""10463"", ""55334"", ""29986"", ""22853"", ""6556"", ""79901"", ""1318"", ""57181"", ""3077"", ""29985"", ""28982"", ""10058"", ""7779"", ""51312"", ""55676"", ""7226"", ""81615"", ""1213"", ""7780"", ""7018"", ""10057"", ""10063"", ""55652"", ""22"", ""148867"", ""27173"", ""540"", ""4891"", ""55630"", ""8943"", ""55532"", ""64924"", ""25800"", ""387849"", ""57192"", ""3263"")	55	2	6.54613112146347	-1.1857270260950066	0.3009600152386796
GO:0000045	autophagosome assembly	116	0.00821917808219178	116/16283	0.05172413793103448	1.1537316957959376	0.35998624980476596	0.42005968063481147	0.6160262278735767	0.5078741676227297	MAP1LC3A/TP53INP2/RAB33A/STBD1/ELAPOR1/SMURF1	6	c(""23192"", ""8678"", ""488"", ""83452"", ""23673"", ""60673"", ""84557"", ""126298"", ""11152"", ""5861"", ""345611"", ""83460"", ""64422"", ""285973"", ""79065"", ""22863"", ""23241"", ""29979"", ""9776"", ""7879"", ""987"", ""81631"", ""9179"", ""81671"", ""55062"", ""10043"", ""56270"", ""5289"", ""9474"", ""9927"", ""115201"", ""23647"", ""340061"", ""8408"", ""285180"", ""26100"", ""55014"", ""23130"", ""55054"", ""83734"", ""57535"", ""84971"", ""57154"", ""7189"", ""55626"", ""58476"", ""9821"", ""10533"", ""440026"", ""22954"", ""84938"", ""51715"")	52	4	6.1890694239291	-0.436490378884018	0.6081200518092528
GO:0000050	urea cycle	12	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000052	citrulline metabolic process	6	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000053	argininosuccinate metabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	0.0013698630136986301	15/16283	0.06666666666666667	1.4870319634703195	0.4088313880930597	0.4975825548322771	0.6585983991250343	0.5429721960181433	NMD3	1	c(""51068"", ""6209"", ""5901"", ""7514"")	4	1	0.47608226337916143	0.7421646174576284	1.4876880365242495
GO:0000055	ribosomal large subunit export from nucleus	8	0.0013698630136986301	8/16283	0.125	2.788184931506849	1.0959863494585862	0.3072078953237879	0.5470853739110619	0.45103684927952775	NMD3	1	c(""5901"", ""7514"", ""51068"")	3	1	0.3570616975343711	1.0298466899094092	1.7534429361148185
GO:0000056	ribosomal small subunit export from nucleus	8	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000070	mitotic sister chromatid segregation	192	0.00821917808219178	190/16283	0.031578947368421054	0.7043835616438356	-0.8879634590709572	0.8592508306270978	0.900958743873796	0.7427827767768832	DUSP1/TENT4A/CDK5RAP2/RRS1/CHMP1B/CHMP7	6	c(""9183"", ""9639"", ""3796"", ""283489"", ""7272"", ""29128"", ""51510"", ""23212"", ""8452"", ""10726"", ""56647"", ""27183"", ""9126"", ""9700"", ""9918"", ""11200"", ""81620"", ""90417"", ""51652"", ""8243"", ""126353"", ""1062"", ""221150"", ""8697"", ""7756"", ""81930"", ""9493"", ""10403"", ""24137"", ""148479"", ""84861"", ""3834"", ""23310"", ""64151"", ""9525"", ""29082"", ""3837"", ""79643"", ""57132"", ""23397"", ""27436"", ""26065"", ""79003"", ""2316"", ""129563"", ""128866"", ""348235"", ""220134"", ""10615"", ""5501"", ""79884"", ""57082"", ""10592"", ""2801"", ""23172"", ""9212"", ""9928"", 
""891"", ""9055"", ""152185"", ""3833"", ""10464"", ""10051"", ""91782"", ""9371"", ""55165"", ""81929"", ""729440"", ""55125"", ""5901"", ""92421"", ""8766"", ""22919"", ""387"", ""10274"", ""285643"", ""3832"", ""84722"", ""54617"", ""23636"", ""27243"", ""256364"", ""54627"", ""158983"", ""23063"", ""55143"", ""5347"", ""54984"", ""49856"", ""5119"", ""11130"", ""10735"", ""29098"", ""11004"", ""8086"", ""79998"", ""285331"", ""54908"", ""91272"", ""25978"", ""387893"", ""3835"", ""29127"", ""8678"", ""6795"", ""10015"", ""51203"", ""10540"", ""26993"", ""22974"")	110	3	13.09226224292694	-1.4734090985467876	0.22718368161393898
GO:0000075	cell cycle checkpoint signaling	202	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000076	DNA replication checkpoint signaling	20	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000077	DNA damage checkpoint signaling	130	0.009589041095890411	129/16283	0.05426356589147287	1.2103748539874695	0.5197049612012685	0.3579370377070643	0.5843891104883242	0.4817913907359716	IER3/PLK2/NBN/PLK3/DOT1L/LYN/SDE2	7	c(""9575"", ""9656"", ""11329"", ""3014"", ""5347"", ""988"", ""51499"", ""1869"", ""26270"", ""3364"", ""51149"", ""60561"", ""1026"", ""79858"", ""51514"", ""1111"", ""84142"", ""5884"", ""83695"", ""23376"", ""545"", ""80279"", ""6118"", ""9344"", ""4683"", ""5810"", ""51347"", ""5591"", ""672"", ""595"", ""2074"", ""51065"", ""29086"", ""11073"", ""51720"", ""25988"", ""51343"", ""4067"", ""79184"", ""84446"", ""9577"", ""7157"", ""54962"", ""29935"", ""4582"", ""8555"", ""1017"", ""641"", ""57551"", ""1112"", ""51776"", ""84126"", ""55159"", ""11200"", ""472"", ""27339"", ""163859"", ""83666"", ""51322"", ""57646"", 
""25896"", ""151636"", ""29980"", ""1386"", ""79791"", ""29997"", ""8525"", ""54584"", ""56658"", ""261726"", ""63967"", ""5883"")	72	3	8.569480740824908	-1.0495948517704268	0.34329664232933077
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	77	0.00821917808219178	75/16283	0.08	1.7844383561643837	1.4751390433325586	0.11955808253059999	0.3761584668843152	0.3101185625205554	TNFAIP3/GTPBP4/ADAM17/CCNT1/CCNT2/LATS1	6	c(""2965"", ""8851"", ""1029"", ""11140"", ""26524"", ""56647"", ""5292"", ""7023"", ""1647"", ""8812"", ""9113"", ""29950"", ""4221"", ""990"", ""995"", ""388324"", ""1033"", ""1027"", ""641"", ""5716"", ""51191"", ""9088"", ""9134"", ""905"", ""900"", ""904"", ""8941"", ""993"", ""51654"", ""324"", ""9077"", ""219771"")	32	3	3.8086581070332914	-0.2386646355540978	0.7230182324039114
GO:0000082	G1/S transition of mitotic cell cycle	228	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	139	0.010958904109589041	139/16283	0.05755395683453238	1.2837686015571106	0.7279044675404658	0.2854099259019993	0.5365453741543323	0.44234729458041944	IER3/GPR132/HSPA2/CDK6/NBN/PLK3/LATS1/TAF2	8	c(""890"", ""5347"", ""5243"", ""51400"", ""23326"", ""9088"", ""993"", ""5218"", ""7319"", ""332"", ""51451"", ""7164"", ""1263"", ""84930"", ""219771"", ""284001"", ""983"", ""11200"", ""79831"", ""994"", ""2305"", ""9113"", ""6873"", ""10776"", ""7465"", ""9024"", ""10083"", ""9833"", ""6790"", ""79176"", ""995"", ""84446"", ""10763"")	33	3	3.927678672878082	-0.2694362942208516	0.7041585323733036
GO:0000096	sulfur amino acid metabolic process	33	0.0027397260273972603	33/16283	0.06060606060606061	1.3518472395184724	0.4383213798341664	0.43912518313114257	0.6315321307601871	0.5206577913800485	SLC7A11/GCLM	2	c(""58478"", ""1800"", ""6611"", ""2729"", ""55256"", ""50507"", ""1491"", ""51074"", ""7263"", ""4143"", ""4357"", ""4522"", ""1373"", ""4552"", ""4548"", ""875"", ""2326"", ""4482"", ""4524"", ""670"", ""23743"", ""4594"", ""189"", ""1036"", ""635"")	25	0	2.9755141461197594	-Inf	0
GO:0000097	sulfur amino acid biosynthetic process	16	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000098	sulfur amino acid catabolic process	10	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000101	sulfur amino acid transport	12	0.00410958904109589	12/16283	0.25	5.576369863013698	3.4356810280321874	0.014573973569245393	0.1142718487480769	0.0942098200363481	SLC1A2/SLC7A11/SLC7A5	3	c(""8140"", ""23657"", ""6505"", ""1497"", ""124935"", ""6509"", ""126321"", ""11136"", ""6520"", ""6519"")	10	2	1.1902056584479037	0.5190210661434185	1.2908307942083774
GO:0000103	sulfate assimilation	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000105	L-histidine biosynthetic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000122	negative regulation of transcription by RNA polymerase II	906	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
