GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.0021958717610891525	30/16034	0.42556115751241363	0.7893554273889435	0.6715208670339146	SESN2/MEF2A/RRM2B/MGME1/OPA1	5	21	0.6061985407954688	1.366570284337594
GO:0000003	reproduction	1410	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	11	8.78348704435661e-4	11/16034	0.47686909451702497	0.843116889883283	0.7172568468657496	LIG4/SIRT1	2	11	0.33653497384636616	1.1380330982143712
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.011418533157663592	131/16034	0.04606343828831749	0.24371808755076316	0.20733598045344662	BCL6/CGAS/SLC15A4/PPP4R2/H1-2/KLHL15/UBE2B/IL10/ACTR2/SMCHD1/HELB/PTPRC/PPP4C/WDR48/ING3/KAT5/MORF4L1/SUPT6H/EPC2/HELQ/MORF4L2/TGFB1/KPNA1/SIRT6/KMT5B/ARID2	26	89	0.8107432343741334	1.5499870933374873
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0	0	0	0
GO:0000022	mitotic spindle elongation	12	4.391743522178305e-4	11/16034	0.8146238965387825	0.9454529995572519	0.8043162762592466	PRC1	1	8	-0.038158475595044594	0.8546504667357735
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0	0	1	1	1		0	0	0	0
GO:0000028	ribosomal small subunit assembly	17	0	0	1	1	1		0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.0021958717610891525	33/16034	0.5127348042207858	0.8476406268386225	0.7211052827630378	ACSL1/ACOX2/ACOX1/ELOVL5/PEX2	5	24	0.4726671481709462	1.2512428315093773
GO:0000041	transition metal ion transport	93	0.007905138339920948	93/16034	0.10354656862152672	0.3883542454998294	0.3303809293070809	LTF/TCN1/STEAP4/LCN2/SLC25A37/FLVCR2/LMTK2/SLC39A8/SLC31A2/TCN2/STEAP3/SLC30A1/TMEM165/CLTC/SLC11A2/MMGT1/IREB2/SLC39A7	18	55	0.9243216387484849	1.6546917685444908
GO:0000045	autophagosome assembly	106	0.019762845849802372	106/16034	1.2036353873927443e-12	2.139762809937451e-9	1.8203401503542374e-9	STBD1/BAG3/SMURF1/LRRK2/SNX18/RALB/RAB33B/SH3GLB1/UBXN2B/RAB5A/VMP1/WIPI1/MAP1LC3B2/MAP1LC3A/MTMR3/RAB1A/MAP1LC3B/ATG3/C9orf72/STX12/GABARAPL2/RAB7A/RB1CC1/GABARAPL1/TOM1/PSEN1/TP53INP2/ATG2A/UBQLN1/PINK1/CTSD/CHMP4B/MFN2/RAB1B/WDR45B/GABARAP/TMEM39A/PIKFYVE/SEC22B/ATP2A2/ATG12/ATG4D/PIK3C3/ATG5/TP53INP1	45	52	1.8967018372736837	2.59543176967809
GO:0000050	urea cycle	10	8.78348704435661e-4	10/16034	0.42603658139766065	0.7893554273889435	0.6715208670339146	ARG1/CEBPA	2	6	0.9426707774166817	1.6717683478002077
GO:0000052	citrulline metabolic process	8	4.391743522178305e-4	8/16034	0.7064180883902859	0.9064126716967382	0.771103867875738	DDAH2	1	5	0.4318451536506911	1.2168009793140915
GO:0000053	argininosuccinate metabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	4.391743522178305e-4	15/16034	0.8995946547846356	0.9721911231266784	0.8270629468960649	NMD3	1	4	0.6549887049649007	1.4096380664614558
GO:0000055	ribosomal large subunit export from nucleus	8	4.391743522178305e-4	8/16034	0.7064180883902859	0.9064126716967382	0.771103867875738	NMD3	1	3	0.9426707774166817	1.6717683478002077
GO:0000056	ribosomal small subunit export from nucleus	8	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	197	0.014053579270970576	195/16034	0.21319652366771066	0.5666846583066542	0.48209027248937414	HSPA1B/CHMP2B/CHMP5/MAPRE1/CUL3/DYNC1LI1/VPS4B/PRC1/ESCO1/CHMP2A/RHOA/MACROH2A1/CHMP4B/APC/CHMP1B/WAPL/STAG2/RB1/KIF18A/NIPBL/NAA50/SMARCA5/KAT5/NUSAP1/ZNF207/SPAG5/EML4/RAD21/STAG1/KPNB1/CHMP1A/CENPC	32	110	0.8065386030921016	1.5461463068118613
GO:0000075	cell cycle checkpoint signaling	187	0.00922266139657444	186/16034	0.8972702295684606	0.9721911231266784	0.8270629468960649	MAPK14/NBN/NABP1/MAP3K20/HORMAD1/DYNC1LI1/WAC/APC/HUS1/FOXO4/UIMC1/PML/SDE2/CDC5L/ZNF207/DOT1L/TAOK1/TOPBP1/ATF2/CHFR/FZR1	21	106	0.42236640969614714	1.2088622942277323
GO:0000076	DNA replication checkpoint signaling	18	8.78348704435661e-4	18/16034	0.7475391981124991	0.9170758962551235	0.7801752919166297	HUS1/TOPBP1	2	12	0.2495235968567364	1.0682976213781363
