GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000028	ribosomal small subunit assembly	16	0.001177856301531213	18/16283	0.05555555555555555	1.0655018976573747	0.06521260864082568	0.6187861480386323	0.7625060427918441	0.628468033203736	PRKDC	1	8	-1.1915842149199314	0.2992531753787842
GO:0000038	very long-chain fatty acid metabolic process	19	0.002355712603062426	33/16283	0.06060606060606061	1.162365706535318	0.21897425949203192	0.5192919622144385	0.7120747155409315	0.5869018353370427	ELOVL7/SLC27A2	2	24	-1.5970493230280958	0.20113423642855643
GO:0000045	autophagosome assembly	74	0.0035335689045936395	116/16283	0.02586206896551724	0.49600950408188127	-1.277629981348527	0.9453065791817183	0.9667215783424866	0.7967853038541355	FEZ1/STING1/RAB33A	3	52	-1.9647741031534132	0.13973239106344576
GO:0000050	urea cycle	12	0.001177856301531213	12/16283	0.08333333333333333	1.598252846486062	0.48622439713349425	0.47418617981412114	0.6866165032643615	0.5659188244486858	ARG2	1	6	-0.9039021424681506	0.39466095468456264
GO:0000054	ribosomal subunit export from nucleus	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000055	ribosomal large subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000056	ribosomal small subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
