GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.0011862396204033216	30/16283	0.13333333333333333	0.6438513246342428	-0.9977986469790258	0.8951543171064583	0.9623392460311119	0.8298944588873408	AKT3/TYMP/METTL4/TOP3A	4	c(""5442"", ""92667"", ""3980"", ""1890"", ""5428"", ""84275"", ""142"", ""11232"", ""7156"", ""56652"", ""79736"", ""1763"", ""6240"", ""4358"", ""10000"", ""201973"", ""55186"", ""2021"", ""50484"", ""4976"", ""291"")	21	3	4.7853084876718555	-0.4669382038916091	0.5917701489301932
GO:0000012	single strand break repair	13	5.931198102016608e-4	13/16283	0.15384615384615385	0.7429053745779726	-0.4739020802473014	0.784879242511273	0.9306350861610845	0.8025536778599364	APLF/LIG4	2	c(""55247"", ""7515"", ""3981"", ""55775"", ""200558"", ""54840"", ""7141"", ""1161"", ""7374"", ""2074"", ""23411"")	11	2	2.5065901602090674	-0.2257761470747212	0.7310250066737833
GO:0000017	alpha-glucoside transport	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000018	regulation of DNA recombination	141	0.011269276393831554	140/16283	0.2714285714285714	1.310697339433994	1.8868055558487398	0.04051703732142668	0.24675872165170953	0.21279782220817473	TNFSF4/CLCF1/TFRC/IL7R/PELI1/NBN/TBX21/IL10/HELB/SMCHD1/CD40/MRNIP/SLC15A4/KPNA2/RIF1/WDR48/CGAS/APLF/UBQLN4/RAD51AP1/ARID2/PPP4R2/UBE2B/KPNA1/RPA2/H1-0/TP53BP1/RAD51/H1-10/MORF4L2/ANKLE1/BRD8/PRMT1/ACTB/YEATS4/CSNK2A1/MORF4L1/SUPT6H	38	c(""6118"", ""23347"", ""26122"", ""10459"", ""54556"", ""10856"", ""2074"", ""57634"", ""8741"", ""25"", ""3575"", ""387893"", ""64769"", ""151987"", ""84717"", ""80314"", ""10933"", ""4361"", ""4437"", ""9025"", ""10721"", ""196528"", ""22891"", ""3565"", ""10097"", ""23514"", ""158880"", ""26168"", ""8607"", ""641"", ""51588"", ""29072"", ""2956"", ""7014"", ""6502"", ""51548"", ""55929"", ""3838"", ""9643"", ""55183"", ""1111"", ""84893"", ""10524"", ""10902"", ""51149"", ""2521"", ""55086"", ""7037"", ""115004"", ""1387"", ""64110"", ""54537"", ""1457"", ""7158"", ""3276"", ""54799"", ""56893"", ""5888"", 
""8295"", ""60"", ""51750"", ""80311"", ""10635"", ""55135"", ""57162"", ""142"", ""6944"", ""7040"", ""154288"", ""55257"", ""7454"", ""23028"", ""8914"", ""8089"", ""55010"", ""3836"", ""149840"", ""5347"", ""10111"", ""5531"", ""708"", ""92797"", ""55658"", ""57599"", ""56979"", ""112441434"", ""86"", ""4436"", ""63979"")	89	25	20.280593114418817	0.20921140029976495	1.0367435187258147
GO:0000019	regulation of mitotic recombination	7	2.965599051008304e-4	7/16283	0.14285714285714285	0.6898407049652601	-0.419447584674076	0.8030155792572657	0.9306350861610845	0.8025536778599364	ANKLE1	1	c(""7014"", ""10111"", ""4361"")	3	0	0.6836154982388365	-Inf	0
GO:0000022	mitotic spindle elongation	12	8.896797153024911e-4	11/16283	0.2727272727272727	1.3169686185700418	0.5374150933832226	0.4061362258789587	0.7180468078765879	0.6192234906101481	KIF23/KIF4A/PRC1	3	c(""285643"", ""9055"", ""9212"", ""6795"", ""24137"", ""9493"", ""54627"", ""29127"")	8	3	1.8229746619702305	0.49814269215197804	1.2729384876523295
GO:0000023	maltose metabolic process	2	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	16	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000028	ribosomal small subunit assembly	18	8.896797153024911e-4	18/16283	0.16666666666666666	0.8048141557928034	-0.4234237886575982	0.7524702833640622	0.9157014047632476	0.7896752885663825	RPS27L/ERAL1/XRCC5	3	c(""64745"", ""27349"", ""2197"", ""26284"", ""6223"", ""7520"", ""81554"", ""5591"")	8	2	1.8229746619702305	0.09267758404381364	0.9484001276004542
GO:0000038	very long-chain fatty acid metabolic process	35	0.0026690391459074734	33/16283	0.2727272727272727	1.3169686185700418	0.93146013384813	0.2306043414648287	0.572874781147223	0.49403119375119847	ELOVL7/ELOVL4/ACSL1/ABCD2/SLC27A2/ACOT4/ELOVL6/HSD17B4/ACOX1	9	c(""8529"", ""225"", ""51"", ""83401"", ""6785"", ""5828"", ""30"", ""10965"", ""201562"", ""5825"", ""215"", ""79993"", ""10998"", ""23205"", ""54898"", ""122970"", ""9200"", ""9524"", ""641371"", ""28965"", ""64834"", ""401494"", ""51495"", ""60481"")	24	5	5.468923985910692	-0.08964397275014102	0.8194263119946147
GO:0000041	transition metal ion transport	98	0.005634638196915777	97/16283	0.1958762886597938	0.9458640593853567	-0.27328733387529186	0.6472591480650078	0.90126469442065	0.777225473215616	IFNG/TFRC/MCOLN2/SLC31A2/SLC41A2/SLC39A8/FTH1/MELTF/TCN2/SLC22A17/B2M/SLC25A28/FLVCR1/SLC30A7/SLC30A8/TRPM7/ISCU/SLC39A13/SLC39A1	19	c(""567"", ""23516"", ""392"", ""91252"", ""30061"", ""475"", ""1317"", ""1785"", ""7922"", ""7037"", ""64116"", ""55858"", ""4241"", ""27032"", ""7782"", ""7781"", ""169026"", ""7036"", ""538"", ""10463"", ""55334"", ""29986"", ""22853"", ""6556"", ""79901"", ""1318"", ""57181"", ""3077"", ""29985"", ""28982"", ""10058"", ""7779"", ""51312"", ""55676"", ""7226"", ""81615"", ""1213"", ""7780"", ""7018"", ""10057"", ""10063"", ""55652"", ""22"", ""148867"", ""27173"", ""540"", ""4891"", ""55630"", ""8943"", ""55532"", ""64924"", ""25800"", ""387849"", ""57192"", ""3263"")	55	10	12.532950801045336	-0.22577614707472107	0.7310250066737835
GO:0000045	autophagosome assembly	116	0.00860023724792408	116/16283	0.25	1.2072212336892052	1.1446329616896873	0.15168723025910938	0.47079709666351893	0.40600225273226637	RAB23/SNX7/STING1/TMEM39A/TRAF6/TP53INP2/UBXN2A/FEZ1/ELAPOR1/STX17/SMURF1/AMBRA1/STBD1/UBQLN2/WDR45/BAG3/RAB19/TMEM41B/ATG13/WDR45B/SMCR8/GABARAPL1/MAP1LC3B2/GABARAPL2/LRSAM1/AP5Z1/UBQLN1/MAP1LC3B/ATG16L1	29	c(""23192"", ""8678"", ""488"", ""83452"", ""23673"", ""60673"", ""84557"", ""126298"", ""11152"", ""5861"", ""345611"", ""83460"", ""64422"", ""285973"", ""79065"", ""22863"", ""23241"", ""29979"", ""9776"", ""7879"", ""987"", ""81631"", ""9179"", ""81671"", ""55062"", ""10043"", ""56270"", ""5289"", ""9474"", ""9927"", ""115201"", ""23647"", ""340061"", ""8408"", ""285180"", ""26100"", ""55014"", ""23130"", ""55054"", ""83734"", ""57535"", ""84971"", ""57154"", ""7189"", ""55626"", ""58476"", ""9821"", ""10533"", ""440026"", ""22954"", ""84938"", ""51715"")	52	16	11.8493353028065	0.300316948822058	1.1087430887057088
GO:0000050	urea cycle	12	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000052	citrulline metabolic process	6	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000053	argininosuccinate metabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	8.896797153024911e-4	15/16283	0.2	0.9657769869513643	-0.0677664145443847	0.6281878763447941	0.8936668181564535	0.770673277161082	SDAD1/XPO1/RAN	3	c(""51068"", ""6209"", ""5901"", ""7514"")	4	2	0.9114873309851153	0.7858247646037589	1.5272644090503633
GO:0000055	ribosomal large subunit export from nucleus	8	8.896797153024911e-4	8/16283	0.375	1.810831850533808	1.1722844723086063	0.21885166086234367	0.5607005837131039	0.48353250627311417	SDAD1/XPO1/RAN	3	c(""5901"", ""7514"", ""51068"")	3	2	0.6836154982388365	1.0735068370555398	1.7946596626054614
GO:0000056	ribosomal small subunit export from nucleus	8	5.931198102016608e-4	8/16283	0.25	1.2072212336892052	0.2995963151010428	0.5173421787158861	0.8065974136197244	0.6955870571387138	XPO1/RAN	2	c(""6209"", ""5901"", ""7514"")	3	2	0.6836154982388365	1.0735068370555398	1.7946596626054614
GO:0000070	mitotic sister chromatid segregation	192	0.013345195729537367	190/16283	0.23684210526315788	1.1436832740213523	1.0180807548233215	0.1759964342699945	0.5075948078988893	0.43773557004205743	DUSP1/TTK/KIF2A/TTN/KIF2C/CDT1/USP44/HSPA1B/RAD21/KIF14/KIF15/ESPL1/NCAPG/CDCA5/TENT4A/CEP97/CHMP5/KIF23/BUB1B/GEN1/STAG2/NEK2/KIF4A/PRC1/UBE2C/KPNB1/NDC80/ZWILCH/ABRAXAS2/DLGAP5/SMARCA5/KAT2B/TPR/KIF3B/NCAPD3/PCID2/INO80/NUP62/MZT1/DYNC1LI1/AKAP8/SPDL1/BUB3/RAB11A/RAN	45	c(""9183"", ""9639"", ""3796"", ""283489"", ""7272"", ""29128"", ""51510"", ""23212"", ""8452"", ""10726"", ""56647"", ""27183"", ""9126"", ""9700"", ""9918"", ""11200"", ""81620"", ""90417"", ""51652"", ""8243"", ""126353"", ""1062"", ""221150"", ""8697"", ""7756"", ""81930"", ""9493"", ""10403"", ""24137"", ""148479"", ""84861"", ""3834"", ""23310"", ""64151"", ""9525"", ""29082"", ""3837"", ""79643"", ""57132"", ""23397"", ""27436"", ""26065"", ""79003"", ""2316"", ""129563"", ""128866"", ""348235"", ""220134"", ""10615"", ""5501"", ""79884"", ""57082"", ""10592"", ""2801"", ""23172"", ""9212"", ""9928"", 
""891"", ""9055"", ""152185"", ""3833"", ""10464"", ""10051"", ""91782"", ""9371"", ""55165"", ""81929"", ""729440"", ""55125"", ""5901"", ""92421"", ""8766"", ""22919"", ""387"", ""10274"", ""285643"", ""3832"", ""84722"", ""54617"", ""23636"", ""27243"", ""256364"", ""54627"", ""158983"", ""23063"", ""55143"", ""5347"", ""54984"", ""49856"", ""5119"", ""11130"", ""10735"", ""29098"", ""11004"", ""8086"", ""79998"", ""285331"", ""54908"", ""91272"", ""25978"", ""387893"", ""3835"", ""29127"", ""8678"", ""6795"", ""10015"", ""51203"", ""10540"", ""26993"", ""22974"")	110	22	25.065901602090673	-0.13046596727039625	0.7921890739061734
GO:0000075	cell cycle checkpoint signaling	202	0	0	0	0	0	1	1	1		0	0	0	0	0	0	0
GO:0000076	DNA replication checkpoint signaling	20	0.0017793594306049821	20/16283	0.3	1.4486654804270462	1.0260181452102393	0.21947408456972145	0.5607005837131039	0.48353250627311417	CLSPN/CDT1/HUS1/CDC6/MDC1/TOPBP1	6	c(""81620"", ""63967"", ""5884"", ""8318"", ""29980"", ""54962"", ""9656"", ""5883"", ""11073"", ""8883"", ""1763"", ""990"")	12	5	2.734461992955346	0.6035032078098043	1.3642047614132646
GO:0000077	DNA damage checkpoint signaling	130	0.011565836298932384	129/16283	0.3023255813953488	1.4598954453915969	2.6799805492646236	0.006658520385521094	0.09220035920945209	0.07951101187124708	MUC1/CDK2/E2F7/CLSPN/NBN/PARP9/BRCA2/CDKN1A/DOT1L/DTX3L/LYN/MRNIP/RPS27L/PML/PLK2/DTL/CDC14B/STK33/BRIP1/SDE2/HUS1/GTSE1/PLK3/CRY1/MDC1/CUL4A/ATF2/MDM2/RPA2/TOPBP1/TAOK3/TP53BP1/RAD51/FANCD2/PPP2R5C/FBXO6/TIPRL/BRD4/HINFP	39	c(""9575"", ""9656"", ""11329"", ""3014"", ""5347"", ""988"", ""51499"", ""1869"", ""26270"", ""3364"", ""51149"", ""60561"", ""1026"", ""79858"", ""51514"", ""1111"", ""84142"", ""5884"", ""83695"", ""23376"", ""545"", ""80279"", ""6118"", ""9344"", ""4683"", ""5810"", ""51347"", ""5591"", ""672"", ""595"", ""2074"", ""51065"", ""29086"", ""11073"", ""51720"", ""25988"", ""51343"", ""4067"", ""79184"", ""84446"", ""9577"", ""7157"", ""54962"", ""29935"", ""4582"", ""8555"", ""1017"", ""641"", ""57551"", ""1112"", ""51776"", ""84126"", ""55159"", ""11200"", ""472"", ""27339"", ""163859"", ""83666"", ""51322"", ""57646"", 
""25896"", ""151636"", ""29980"", ""1386"", ""79791"", ""29997"", ""8525"", ""54584"", ""56658"", ""261726"", ""63967"", ""5883"")	72	22	16.406771957732076	0.2933482795059648	1.1031498695212936
