GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.0011904761904761906	30/16283	0.06666666666666667	0.6461507936507936	-0.6579601016143056	0.8305450608433991	0.9091442811730146	0.6585283327642913	TYMP/SESN2	2	21	-2.3071305553657204	0.09938280475079855
GO:0000012	single strand break repair	13	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000017	alpha-glucoside transport	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	141	0.010714285714285714	140/16283	0.12857142857142856	1.2461479591836733	0.9921003601714302	0.19395440150391502	0.40214723794423307	0.29129078366691397	CGAS/SLC15A4/PPP4R2/SMCHD1/CLCF1/TBX21/H1-0/H1-2/IL7R/IL10/NBN/PELI1/BCL6/TFRC/TNFSF4/H1-10/HELB/CD40	18	89	-1.554019910038218	0.20985281675074674
GO:0000019	regulation of mitotic recombination	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000022	mitotic spindle elongation	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000023	maltose metabolic process	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000028	ribosomal small subunit assembly	18	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.0017857142857142857	33/16283	0.09090909090909091	0.8811147186147186	-0.23187068807150346	0.676170716342372	0.8233528708436864	0.5963862992283424	SLC27A2/ACSL1/ELOVL7	3	24	-2.0351968398820786	0.130285861439293
GO:0000041	transition metal ion transport	98	0.0125	97/16283	0.21649484536082475	2.0983247422680416	3.6798857879434306	7.658632603573407e-4	0.006720720472147344	0.004868077530870794	COX17/SLC31A2/CP/SLC39A14/FTH1/MCOLN2/IFNG/LCN2/LTF/SLC11A2/SLC25A37/FLVCR2/B2M/SLC39A8/TCN1/TCN2/TFRC/SLC30A4/STEAP4/SLC25A28/SLC41A2	21	55	-0.9185660457112904	0.3891911178112078
GO:0000045	autophagosome assembly	116	0.007738095238095238	116/16283	0.11206896551724138	1.0862017651888343	0.3160224299070586	0.4200356698816967	0.6655919887137873	0.4821139963212799	EPHB2/ATG2A/NUPR1/RUFY4/WIPI1/SMURF1/TP53INP2/VMP1/MAP1LC3A/STBD1/RAB33A/BAG3/FEZ1	13	52	-1.3420496593221332	0.25842353275861607
GO:0000050	urea cycle	12	5.952380952380953e-4	12/16283	0.08333333333333333	0.807688492063492	-0.2260352889857633	0.729423963784395	0.8470090396517962	0.6135213763853977	ARG1	1	6	-1.7475147674302975	0.17333703800814576
GO:0000052	citrulline metabolic process	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000053	argininosuccinate metabolic process	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000055	ribosomal large subunit export from nucleus	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000056	ribosomal small subunit export from nucleus	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	192	0.0035714285714285713	190/16283	0.031578947368421054	0.3060714285714286	-3.2633265741814292	0.999951308567129	0.999999874820265	0.7243385499606614	DUSP1/HSPA1A/HSPA1B/CHMP5/ESPL1/RIPOR2	6	110	-2.864476194766604	0.056982145501895384
GO:0000075	cell cycle checkpoint signaling	202	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000076	DNA replication checkpoint signaling	20	5.952380952380953e-4	20/16283	0.05	0.4846130952380953	-0.7822318946360144	0.8868720932940537	0.9446047846768361	0.6842137456684176	CLSPN	1	12	-2.4406619479902427	0.08699340752368631
GO:0000077	DNA damage checkpoint signaling	130	0.009523809523809525	129/16283	0.12403100775193798	1.2021410114433368	0.7818019039805065	0.25492278105135147	0.48609543410517114	0.3520977059577354	CDKN1A/PLK2/TREX1/PLK3/E2F7/DTX3L/SDE2/FBXO6/LYN/MUC1/NBN/PML/CLSPN/PARP9/DOT1L/IER3	16	72	-1.4598326949785165	0.2302356613473441
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	77	0.004166666666666667	75/16283	0.09333333333333334	0.9046111111111111	-0.28083496700517924	0.6665002634460705	0.8131707658249756	0.5890110071203051	CDKN1A/CDKN2B/CDKN2D/GADD45A/HERC5/PIM1/TNFAIP3	7	32	-1.475581051946656	0.22669906688789063
GO:0000082	G1/S transition of mitotic cell cycle	228	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	139	0.005357142857142857	139/16283	0.06474820143884892	0.6275565262076054	-1.4957178197938399	0.9568093056538215	0.9880284612461516	0.7156671925259305	CDKN1A/PLK3/GPR132/NBN/CDK14/CLSPN/NABP1/MASTL/IER3	9	33	-1.2550382823325037	0.2813388194739098
GO:0000096	sulfur amino acid metabolic process	33	0.0011904761904761906	33/16283	0.06060606060606061	0.5874098124098124	-0.8047049186690287	0.8683540926856266	0.9326109312802738	0.675526134203198	SLC7A11/GCLM	2	25	-2.481483942510498	0.08352190687368287
GO:0000097	sulfur amino acid biosynthetic process	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000098	sulfur amino acid catabolic process	10	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000101	sulfur amino acid transport	12	0.002976190476190476	12/16283	0.4166666666666667	4.0384424603174605	3.5712642834209256	0.004943713661872962	0.030093701329085988	0.02179803071233108	SLC43A2/SLC7A11/SLC1A2/SLC3A2/SLC7A5	5	10	-0.6489024787621879	0.5013508612383835
GO:0000103	sulfate assimilation	2	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000105	L-histidine biosynthetic process	1	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000122	negative regulation of transcription by RNA polymerase II	906	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000132	establishment of mitotic spindle orientation	36	0.002380952380952381	35/16283	0.11428571428571428	1.107687074829932	0.2163142452294277	0.4943164720798191	0.7136530946436417	0.5169265124578378	SPRY1/NDE1/DYNLT1/NDEL1	4	23	-1.7049551530115017	0.18079400762406259
GO:0000154	rRNA modification	34	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000165	MAPK cascade	744	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000183	rDNA heterochromatin formation	9	5.952380952380953e-4	9/16283	0.1111111111111111	1.0769179894179894	0.07828697204661078	0.6248037780124613	0.7856410823701743	0.5690701936295924	BAZ2A	1	4	-1.3420496593221332	0.25842353275861607
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	45	0.0017857142857142857	44/16283	0.06818181818181818	0.6608360389610388	-0.764088862677668	0.8461080582281592	0.9175118474060432	0.6645892843149314	PNRC1/DCP1A/ZC3H12A	3	25	-2.076018834402334	0.12510199764068117
GO:0000209	protein polyubiquitination	258	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000212	meiotic spindle organization	22	5.952380952380953e-4	21/16283	0.047619047619047616	0.46153628117913825	-0.8374648515580702	0.8985584293492705	0.9515949532194597	0.6892769948483785	ESPL1	1	4	-1.3420496593221332	0.25842353275861607
