drug_name	drug_gene	type
thiocolchicoside	MAMLD1	LINCS
thalidomide	MAMLD1	LINCS
pinacidil	DNM1L	LINCS
irinotecan	KIF20A	LINCS
niclosamide	KIF20A	LINCS
oxibendazole	KIF20A	LINCS
paclitaxel	KIF20A	LINCS
fenbendazole	KIF20A	LINCS
menadione	KIF20A	LINCS
betamethasone	ARL4C	LINCS
rimexolone	ARL4C	LINCS
rizatriptan	CEBPZ	LINCS
rimexolone	TXNDC9	LINCS
propafenone	TXNDC9	LINCS
chenodeoxycholic-acid	TXNDC9	LINCS
verapamil	TXNDC9	LINCS
noscapine	TXNDC9	LINCS
quinapril	TXNDC9	LINCS
cilostazol	CDK6	LINCS
cilastatin	CDK6	LINCS
pinacidil	CDK6	LINCS
mycophenolic-acid	CDKN1A	LINCS
lovastatin	CDKN1A	LINCS
irinotecan	CDKN1A	LINCS
resveratrol	CDKN1A	LINCS
irbesartan	CDKN1A	LINCS
etoposide	CDKN1A	LINCS
mycophenolate-mofetil	CDKN1A	LINCS
pyrvinium-pamoate	CDKN1A	LINCS
topotecan	CDKN1A	LINCS
ethotoin	STUB1	LINCS
carbinoxamine	STUB1	LINCS
dopamine	STUB1	LINCS
mitotane	SMNDC1	LINCS
forskolin	TNIP1	LINCS
bucladesine	IKZF1	LINCS
ropinirole	IKZF1	LINCS
quinine	IKZF1	LINCS
pinacidil	IKZF1	LINCS
ketorolac	HMG20B	LINCS
trazodone	HMG20B	LINCS
thalidomide	HMG20B	LINCS
rutin	HMG20B	LINCS
bendroflumethiazide	LYPLA1	LINCS
coumarin	VAT1	LINCS
medetomidine	CNPY3	LINCS
cabergoline	YME1L1	LINCS
loperamide	YME1L1	LINCS
meclofenamic-acid	YME1L1	LINCS
temozolomide	YME1L1	LINCS
valsartan	TCFL5	LINCS
rifabutin	ARPP19	LINCS
dicycloverine	ARPP19	LINCS
minoxidil	ARPP19	LINCS
fostamatinib	MTHFD2	LINCS
acetyl-farnesyl-cysteine	CLPX	LINCS
mebendazole	UBE2C	LINCS
fenbendazole	UBE2C	LINCS
vorinostat	UBE2C	LINCS
tamoxifen	PRSS23	LINCS
valproic-acid	CHEK1	LINCS
piperidolate	SLC2A6	LINCS
forskolin	SLC2A6	LINCS
meclofenamic-acid	CHEK2	LINCS
diethylcarbamazine	CHEK2	LINCS
rizatriptan	CHEK2	LINCS
meptazinol	CHEK2	LINCS
ethotoin	CHEK2	LINCS
mosapride	RPL39L	LINCS
topotecan	CLTC	LINCS
trazodone	CANT1	LINCS
varenicline	CANT1	LINCS
pinacidil	CANT1	LINCS
diethylcarbamazine	CRK	LINCS
cabergoline	CSNK1E	LINCS
rosuvastatin	CSRP1	LINCS
ketorolac	CSRP1	LINCS
bendroflumethiazide	CSRP1	LINCS
procainamide	CTNND1	LINCS
aniracetam	CTNND1	LINCS
varenicline	CTSL	LINCS
curcumin	CTSL	LINCS
amodiaquine	ADRB2	LINCS
diethylcarbamazine	ADRB2	LINCS
cabergoline	DCTD	LINCS
mycophenolic-acid	DDB2	LINCS
etoposide	GADD45A	LINCS
topotecan	GADD45A	LINCS
amodiaquine	DLD	LINCS
thiothixene	DLD	LINCS
azaperone	DLD	LINCS
verapamil	DLD	LINCS
dextromethorphan	AGL	LINCS
rifabutin	AGL	LINCS
atorvastatin	TSC22D3	LINCS
betamethasone	TSC22D3	LINCS
thalidomide	TSC22D3	LINCS
mometasone	TSC22D3	LINCS
ketorolac	TSC22D3	LINCS
dexamethasone	TSC22D3	LINCS
fluvastatin	TSC22D3	LINCS
lovastatin	TSC22D3	LINCS
rimexolone	TSC22D3	LINCS
triamcinolone	TSC22D3	LINCS
rosuvastatin	TSC22D3	LINCS
sunitinib	TSC22D3	LINCS
simvastatin	TSC22D3	LINCS
fludroxycortide	TSC22D3	LINCS
econazole	TSC22D3	LINCS
hydrocortisone	TSC22D3	LINCS
tubocurarine	DUSP3	LINCS
mebendazole	DUSP4	LINCS
forskolin	DUSP4	LINCS
coumarin	E2F2	LINCS
fostamatinib	ECH1	LINCS
ramipril	EDN1	LINCS
carbinoxamine	EGR1	LINCS
homoharringtonine	EGR1	LINCS
homoharringtonine	EIF4EBP1	LINCS
mycophenolic-acid	EIF5	LINCS
mycophenolate-mofetil	EIF5	LINCS
mosapride	EIF5	LINCS
diethylcarbamazine	EPHB2	LINCS
fostamatinib	ERBB3	LINCS
quinine	ALAS1	LINCS
econazole	ALAS1	LINCS
timolol	EXT1	LINCS
loperamide	FDFT1	LINCS
topotecan	FDFT1	LINCS
panobinostat	FHL2	LINCS
dydrogesterone	CASC3	LINCS
ethotoin	COG2	LINCS
chloroquine	COG2	LINCS
tubocurarine	PUF60	LINCS
montelukast	PUF60	LINCS
amodiaquine	PUF60	LINCS
econazole	PUF60	LINCS
propafenone	RAB11FIP2	LINCS
montelukast	RPIA	LINCS
panobinostat	ALDOC	LINCS
salmeterol	ALDOC	LINCS
metergoline	ALDOC	LINCS
amlodipine	ALDOC	LINCS
vorinostat	ALDOC	LINCS
thiothixene	ALDOC	LINCS
reserpine	ALDOC	LINCS
dopamine	RBM34	LINCS
ropinirole	RBM34	LINCS
temozolomide	RBM34	LINCS
propafenone	RBM34	LINCS
bucladesine	GPATCH8	LINCS
tubocurarine	GPATCH8	LINCS
benazepril	GPATCH8	LINCS
levocabastine	MAST2	LINCS
pinacidil	RRS1	LINCS
rutin	RRS1	LINCS
terguride	RRS1	LINCS
azaperone	RRS1	LINCS
dydrogesterone	RRS1	LINCS
minoxidil	RRP12	LINCS
carbinoxamine	SYNE2	LINCS
meptazinol	TRIM2	LINCS
bucladesine	WASHC4	LINCS
dextromethorphan	WASHC4	LINCS
lapatinib	WASHC4	LINCS
mometasone	JADE2	LINCS
rilmenidine	RRP8	LINCS
quercetin	SIRT3	LINCS
quinine	MACF1	LINCS
quinapril	FOS	LINCS
montelukast	LSM5	LINCS
raloxifene	LSM5	LINCS
vorinostat	PLA2G15	LINCS
panobinostat	PLA2G15	LINCS
chloroquine	SLC37A4	LINCS
minoxidil	EML3	LINCS
acetyl-farnesyl-cysteine	EML3	LINCS
quercetin	MPC2	LINCS
menadione	TIPARP	LINCS
resveratrol	TIPARP	LINCS
naltrexone	PHGDH	LINCS
dydrogesterone	GATA3	LINCS
ranolazine	GATA3	LINCS
cilostazol	GATA3	LINCS
temozolomide	CHIC2	LINCS
rifabutin	TIMM9	LINCS
rizatriptan	TNFRSF21	LINCS
dextromethorphan	TNFRSF21	LINCS
felodipine	TNFRSF21	LINCS
etoposide	SESN1	LINCS
mitotane	GNA11	LINCS
trazodone	GNAI1	LINCS
aniracetam	GNAS	LINCS
thalidomide	GNAS	LINCS
varenicline	GNAS	LINCS
valsartan	GNAS	LINCS
tubocurarine	GNAS	LINCS
quinapril	GNAS	LINCS
nimodipine	GNAS	LINCS
amodiaquine	GNAS	LINCS
aniracetam	GRB7	LINCS
cilostazol	GRB10	LINCS
trazodone	GRN	LINCS
ropinirole	NR3C1	LINCS
