node	type
PARP1	source
ADRB2	source
ALAS1	source
BIRC2	source
BMP4	source
CD58	source
EGR1	source
GRB10	source
HMGCS1	source
PLSCR1	source
SUV39H1	source
CDK5R1	source
EDEM1	source
MELK	source
KIF14	source
GNPDA1	source
UBE2C	source
EIF4E	target
FKBP4	target
RBL2	target
FKBP1A	target
SCN5A	target
SCAP	target
FOXA3	target
COQ2	target
HNF1A	target
USP24	target
LPA	target
ACTR2	target
PAPOLA	target
SLIT1	target
TBP	target
PLA2G6	target
YAP1	target
DYNC2H1	target
KIT	target
EWSR1	target
MKI67	target
KDM5C	target
PDGFA	target
PDGFC	target
PDGFD	target
NR1I2	target
SCN5A	target
ADRA2A	target
GFER	target
GABPA	target
APOB	target
HSF1	target
PON1	target
CD34	target
MBP	target
CDC25C	target
PKN1	target
PKN3	target
CYP2A13	target
CTSB	target
CAMK2A	target
HSD17B3	target
IAPP	target
SMAD2	target
THBD	target
DFFB	target
DNMT3B	target
HDAC6	target
CHD4	target
LINC00473	target
PDE6H	target
PDE6G	target
PDE6B	target
PDE6C	target
PDE6D	target
PDE6A	target
PDE1A	target
PDE1C	target
PDE1B	target
PGR	target
HLA-DQA1	target
EEF2K	target
NF2	target
SREBF1	target
SLC15A1	target
LIPC	target
COP 1	target
CYP3A7	target
DDR2	target
EIF4EBP1	target
NFE2	target
TIGD1	target
EIF4E2	target
AFG2A	target
MAD1L1	target
FGD4	target
DSCAM	target
FZD3	target
ARHGEF10	target
EPHA5	target
EPHA6	target
PDCD4	target
KRT19	target
S100A10	target
SDS	target
UBR1	target
TSC22D3	target
CHKA	target
FABP1	target
ACTC1	target
MT1F	target
TEAD1	target
CRISPLD2	target
KCNMB1	target
GRK4	target
NOS1AP	target
KCNIP1	target
PLEKHH2	target
KCNJ5	target
KCNA4	target
MYO9B	target
CACNA2D1	target
DRD2	target
FDFT1	target
HNMT	target
SIRT4	target
SIRT6	target
SIRT7	target
SMARCB1	target
ACTL6A	target
APOB	target
HYKK	target
PIP	target
TFF3	target
PLD1	target
PLD2	target
ZNF423	target
LRMDA	target
FMO1	target
RRAS2	target
TUBA1A	target
TUBB4B	target
ADRA2B	target
APC	target
FZD1	target
STAT3	target
SLC12A3	target
ACKR1	target
ASS1	target
HMOX2	target
PTGER4	target
ERCC6	target
TBX21	target
HIF1A	target
GLCCI1	target
HCG22	target
CD1A	target
SPG7	target
SNORD68	target
CHST3	target
SULT1C4	target
MECOM	target
TEK	target
SULT1A1	target
KCNJ1	target
CYP11A1	target
CD44	target
CCL11	target
AGTR1	target
HMGCR	target
ICMT	target
ZNF542P	target
SCAP	target
PON1	target
SYK	target
SCN5A	target
COP 1	target
DBH	target
ANKK1	target
NTS	target
EPM2A	target
CCK	target
CCN2	target
G6PD	target
HTR4	target
EHF	target
CDH4	target
CNTN4	target
BCHE	target
LTF	target
MSH6	target
H2AX	target
AFP	target
ESRRA	target
SERPINA6	target
CYP2D6	target
THBD	target
CACNG1	target
COP 1	target
CYP3A5	target
DPEP1	target
HRH1	target
ABCC9	target
GLP1R	target
SPTA1	target
PRCP	target
HTR2A	target
GLRA1	target
NISCH	target
CEL	target
GDF15	target
RIPK1	target
PECAM1	target
SLC2A3	target
FOXO3	target
HPSE	target
HTR2B	target
ALOX5	target
