gene1,gene2,weight
ESRRA,ESR1,0.812
ESRRA,SIRT1,0.576
ESRRA,PPARGC1A,0.812
ESRRA,NCOA1,0.618
ESRRA,NRIP1,0.604
ESRRA,HIF1A,0.576
ESRRA,UBC,0.567
ESRRA,SRC,0.583
ESRRA,GTF2B,0.576
ESRRA,ESRRG,0.919
ESRRA,MDM2,0.235
FKBP4,ESR1,0.573
FKBP4,POLR2E,0.179
FKBP4,HSPA8,0.203486
FKBP4,PLCG1,0.175
FKBP4,EIF4E2,0.24780100000000002
FKBP4,POLR1A,0.2008
FKBP4,CAD,0.224518
FKBP4,CDK2,0.309
FKBP4,EGFR,0.227
FKBP4,MKI67IP,0.42778
FKBP4,EIF4A1,0.15742
FKBP4,NSA2,0.19376500000000002
FKBP4,HSP90B1,0.171002
FKBP4,POLR2A,0.2008
FKBP4,SIRT7,0.313
FKBP4,HSP90AA1,0.990243
FKBP4,FOXO3,0.92
FKBP4,UBC,0.925
FKBP4,CALM1,0.595
FKBP4,MTOR,0.906
FKBP4,DPYD,0.157
FKBP4,RPL5,0.33962
FKBP4,ZNF593,0.31969899999999996
FKBP4,SUGT1,0.346675
FKBP4,FKBP1A,0.5908399999999999
FKBP4,NOP2,0.263034
FKBP4,GMPS,0.329173
FKBP4,EIF4E,0.24780100000000002
CFTR,HSPA8,0.998
CFTR,CANX,0.985
CFTR,CBL,0.812
CFTR,ATP5A1,0.156
CFTR,CPSF2,0.229294
CFTR,HSP90B1,0.1675
CFTR,COQ2,0.20438499999999998
CFTR,HSP90AA1,0.9339350000000001
CFTR,UBC,0.999
CFTR,PDZD3,0.808
CFTR,ATP5C1,0.161
CFTR,ACTB,0.574
CFTR,EPRS,0.190912
CFTR,GOPC,0.809
CFTR,KCNJ1,0.566
SLC2A3,UBC,0.76
GNA11,SIRT4,0.173
GNA11,SIRT1,0.173
GNA11,MAPK1,0.238655
GNA11,HTR2B,0.578
GNA11,PHLPP1,0.562
GNA11,SLIT1,0.154
GNA11,AKT1,0.282684
GNA11,PKN3,0.282684
GNA11,GNB2,0.44568
GNA11,ADRB2,0.58
GNA11,GP1BA,0.154
GNA11,SIRT7,0.173
GNA11,SIRT6,0.173
GNA11,PKN1,0.282684
GNA11,UBC,0.929
GNA11,GNB1,0.79418
GNA11,HTR2A,0.581
GNA11,OBSCN,0.19
TBX21,EP300,0.583
TBX21,UBC,0.576
TBX21,SMARCA4,0.201
SIRT4,GNA11,0.173
SIRT4,GNAO1,0.173
SIRT4,CAD,0.379824
SIRT4,IDE,0.566
SIRT4,SKP2,0.574
SIRT4,HMGCR,0.23
SIRT4,SIRT7,0.164
SIRT4,HDAC6,0.276
SIRT4,SIRT6,0.161
SIRT4,UBC,0.576
SIRT4,HDAC1,0.276
SIRT4,CHEK1,0.161
SIRT4,CPS1,0.281
UQCRC1,NEDD8,0.207
UQCRC1,COX5B,0.87845
UQCRC1,ATP5B,0.894208
UQCRC1,UQCRC2,0.9999020000000001
UQCRC1,NDUFB10,0.428
UQCRC1,NDUFB9,0.276
UQCRC1,ATP5A1,0.80994
UQCRC1,ATP5O,0.814408
UQCRC1,EIF4A1,0.173744
UQCRC1,HSP90B1,0.168337
UQCRC1,UQCRFS1,0.999659
UQCRC1,SIRT7,0.313
UQCRC1,HSP90AA1,0.18399400000000002
UQCRC1,UBC,0.906
UQCRC1,ATP5C1,0.9498040000000001
UQCRC1,MT-CO1,0.724
UQCRC1,MT-CO2,0.781
UQCRC1,DPYD,0.169
ESR1,ESRRA,0.812
ESR1,FKBP4,0.573
ESR1,SIRT1,0.576
ESR1,MAPK1,0.919
ESR1,HSPA8,0.947
ESR1,TBP,0.808
ESR1,MSH2,0.778
ESR1,MSH6,0.512
ESR1,CDKN1A,0.915
ESR1,GFER,0.575
ESR1,ACTN4,0.576
ESR1,TRIM28,0.57
ESR1,RARA,0.566
ESR1,SMAD2,0.804
ESR1,SMARCB1,0.571
ESR1,EP300,0.999
ESR1,PIK3CA,0.81
ESR1,STAT3,0.576
ESR1,PPARGC1A,0.576
ESR1,PRPF6,0.566
ESR1,TP53,0.812
ESR1,AKT1,0.576
ESR1,CALM2,0.567
ESR1,PIK3R1,0.915
ESR1,EGFR,0.924
ESR1,PAK1,0.812
ESR1,PPARG,0.915
ESR1,MAD2L1,0.564
ESR1,TUBA1A,0.567
ESR1,IRS1,0.567
ESR1,NCOA1,0.999
ESR1,PGR,0.812
ESR1,NRIP1,0.988
ESR1,DNMT3B,0.566
ESR1,HSP90AA1,0.999
ESR1,GRB2,0.595
ESR1,FOXO3,0.812
ESR1,KAT5,0.955
ESR1,CTNNB1,0.566
ESR1,UBC,0.999
ESR1,E2F1,0.576
ESR1,SREBF1,0.576
ESR1,CALM1,0.567
ESR1,ACTB,0.395
ESR1,COPS5,0.576
ESR1,SMARCA4,0.913
ESR1,SRC,0.999
ESR1,PARP1,0.58
ESR1,BCAS2,0.567
ESR1,GTF2B,0.808
ESR1,PTPN1,0.58
ESR1,HDAC1,0.998
ESR1,MDM2,0.962
ESR1,PPIA,0.57
CBX5,TBP,0.576
CBX5,TRIM28,0.999
CBX5,RARA,0.567
CBX5,RB1,0.809
CBX5,TUBA1A,0.457
CBX5,CHAF1A,0.998
CBX5,DNMT3B,0.961
CBX5,UBC,0.849
CBX5,CHD4,0.573
CBX5,ACTB,0.457
CBX5,SMARCA4,0.964
CBX5,HIST1H4A,0.296
CBX5,MKI67,0.576
CBX5,RPL5,0.298
CBX5,HDAC1,0.61128
CBX5,SUV39H1,0.983
CBX5,MIS12,0.934
CBX5,ACTL6A,0.298
CBX5,MBD1,0.889
SIRT1,ESRRA,0.576
SIRT1,GNA11,0.173
SIRT1,ESR1,0.576
SIRT1,POLR2E,0.232
SIRT1,PAPOLA,0.574
SIRT1,MLH1,0.17
SIRT1,MSH2,0.228832
SIRT1,NEDD8,0.566
SIRT1,TRIM28,0.57
SIRT1,RARA,0.564
SIRT1,CCNB1,0.576
SIRT1,HNF1A,0.576
SIRT1,GNAO1,0.347
SIRT1,PRDX1,0.196
SIRT1,EP300,0.8801200000000001
SIRT1,POLR1A,0.302
SIRT1,YWHAE,0.503
SIRT1,STAT3,0.57
SIRT1,MECOM,0.576
SIRT1,CAD,0.379824
SIRT1,PPARGC1A,0.918
SIRT1,RB1,0.68958
SIRT1,SPG7,0.227
SIRT1,ARRB2,0.43
SIRT1,TP53,0.999
SIRT1,AKT1,0.596
SIRT1,PIK3R1,0.564
SIRT1,PPARG,0.364
SIRT1,HMGCR,0.23
SIRT1,KIT,0.276
SIRT1,CD1A,0.254
SIRT1,IRS1,0.807
SIRT1,CDC20,0.255
SIRT1,YWHAZ,0.503
SIRT1,HRAS,0.231
SIRT1,IQCB1,0.43
SIRT1,POLR2A,0.468
SIRT1,CUL1,0.233787
SIRT1,KCNA4,0.566
SIRT1,HDAC6,0.508
SIRT1,HSP90AA1,0.665
SIRT1,SF3B1,0.319671
SIRT1,FOXO3,0.995
SIRT1,KAT5,0.951
SIRT1,CTNNB1,0.566
SIRT1,UBC,0.96
SIRT1,E2F1,0.915
SIRT1,VAPA,0.271
SIRT1,SREBF1,0.812
SIRT1,ERCC6,0.207
SIRT1,HIST1H4A,0.242
SIRT1,MTOR,0.576
SIRT1,HDAC1,0.364
SIRT1,CUL4A,0.17924500000000002
SIRT1,SUV39H1,0.824
SIRT1,TP73,0.576
SIRT1,PCNA,0.255
SIRT1,FKBP1A,0.255
SIRT1,PPP3CA,0.1702
SIRT1,CHEK1,0.407
SIRT1,CPS1,0.281
SIRT1,PPIA,0.238
POLR2E,FKBP4,0.179
POLR2E,SIRT1,0.232
POLR2E,SF3A2,0.18
POLR2E,NEDD8,0.256752
POLR2E,TRIM28,0.416
POLR2E,EIF4E2,0.169
POLR2E,POLR1A,0.9995219999999999
POLR2E,CAD,0.157
POLR2E,RPS27A,0.169258
POLR2E,MKI67IP,0.741
POLR2E,LSM6,0.335
POLR2E,NSA2,0.48
POLR2E,HSP90B1,0.23
POLR2E,SNRPD1,0.412
POLR2E,POLR2B,0.999539
POLR2E,POLR2A,0.9994620000000001
POLR2E,HSP90AA1,0.662
POLR2E,SNRPD2,0.176
POLR2E,UBC,0.951
POLR2E,COPS5,0.195512
POLR2E,SMARCA4,0.314158
POLR2E,RNF2,0.321
POLR2E,DPYD,0.175
POLR2E,GTF2B,0.937686
POLR2E,MAGOH,0.183
POLR2E,ZNF593,0.288
POLR2E,MRTO4,0.858
POLR2E,SUV39H1,0.284
POLR2E,FKBP1A,0.378
POLR2E,GTF2F1,0.942
POLR2E,NOP2,0.215
POLR2E,GMPS,0.169
POLR2E,ALYREF,0.151
POLR2E,PLRG1,0.156
POLR2E,EIF4E,0.169
POLR2E,RPS3,0.30704499999999996
POLR2E,BRF1,0.361
MAPK1,GNA11,0.238655
MAPK1,ESR1,0.919
MAPK1,ACTA2,0.152
MAPK1,CANX,0.18921
MAPK1,NEDD8,0.284
MAPK1,RAF1,0.987923
MAPK1,RARA,0.59
MAPK1,RRAS2,0.19
MAPK1,PDGFRA,0.202
MAPK1,COX5B,0.152
MAPK1,RIPK1,0.194
MAPK1,PDGFRB,0.202
MAPK1,SMAD2,0.576
MAPK1,RHEB,0.19
MAPK1,GNAO1,0.330394
MAPK1,PHLPP1,0.466
MAPK1,SMARCB1,0.182
MAPK1,EP300,0.595
MAPK1,PIK3CA,0.188
MAPK1,STAT3,0.807
MAPK1,CAD,0.603
MAPK1,CDK2,0.393256
MAPK1,RB1,0.576
MAPK1,IQGAP1,0.807
MAPK1,ARRB2,0.941
MAPK1,TP53,0.988
MAPK1,AKT1,0.27
MAPK1,CALM2,0.262
MAPK1,AGTR1,0.569
MAPK1,EPHA5,0.25203200000000003
MAPK1,EGFR,0.693
MAPK1,PAK1,0.7277710000000001
MAPK1,GRIN2B,0.195
MAPK1,PPARG,0.601
MAPK1,KIT,0.202
MAPK1,ACTC1,0.152
MAPK1,PKN3,0.397281
MAPK1,MELK,0.194
MAPK1,HSP90B1,0.166
MAPK1,CRK,0.184194
MAPK1,MAP2K1,0.999075
MAPK1,INSR,0.635
MAPK1,IRS1,0.576
MAPK1,GNB2,0.293
MAPK1,SMAD1,0.958
MAPK1,HRAS,0.392434
MAPK1,DYRK1B,0.606
MAPK1,CDC42,0.239
MAPK1,POLR2A,0.297
MAPK1,NCOA1,0.576
MAPK1,CDC25C,0.675
MAPK1,GSK3B,0.643
MAPK1,PGR,0.601
MAPK1,GP1BA,0.188
MAPK1,HSP90AA1,0.734
MAPK1,GRB2,0.576
MAPK1,FOXO3,0.576
MAPK1,EIF4EBP1,0.807
MAPK1,ERBB4,0.306
MAPK1,PKN1,0.397281
MAPK1,NF2,0.209
MAPK1,UBC,0.969
MAPK1,CRKL,0.73146
MAPK1,FYN,0.281854
MAPK1,SREBF1,0.807
MAPK1,RAC1,0.239
MAPK1,ACTB,0.152
MAPK1,SRC,0.283466
MAPK1,EPHA2,0.25203200000000003
MAPK1,HIST1H4A,0.571
MAPK1,MTOR,0.362
MAPK1,TEAD1,0.299
MAPK1,ACTA1,0.152
MAPK1,EPM2A,0.303
MAPK1,MAP3K7,0.194
MAPK1,PTPN1,0.698
MAPK1,SYK,0.194
MAPK1,ACTR2,0.176464
MAPK1,GNB1,0.293
MAPK1,TEK,0.202
MAPK1,MBP,0.999
MAPK1,EPHA6,0.194
MAPK1,PPP3CA,0.316
MAPK1,MYO9B,0.227
MAPK1,CAMK2A,0.2314
MAPK1,GRB10,0.576
MAPK1,CHEK1,0.263316
MAPK1,RHOA,0.364
MAPK1,ARRB1,0.825
MAPK1,CDK5,0.335452
MAPK1,OBSCN,0.25
PAPOLA,SIRT1,0.574
PAPOLA,CPSF3,0.9372879999999999
PAPOLA,NEDD8,0.169
PAPOLA,YWHAE,0.606
PAPOLA,CDK2,0.302
PAPOLA,RPS27A,0.17
PAPOLA,YAP1,0.414
PAPOLA,CPSF2,0.901573
PAPOLA,POLR2B,0.235802
PAPOLA,ZYX,0.538
PAPOLA,UBC,0.88
PAPOLA,GTF2B,0.303
PAPOLA,HDAC1,0.617252
PAPOLA,PPP3CA,0.212
PAPOLA,CDK5,0.467
PAPOLA,BRF1,0.191
HMOX2,APP,0.576
HMOX2,UBC,0.752
FDFT1,CYP3A5,0.289647
FDFT1,NEDD8,0.197
FDFT1,CYP11A1,0.289647
FDFT1,RPS27A,0.197
FDFT1,EGFR,0.293
FDFT1,HMGCR,0.2728
FDFT1,COQ2,0.284
FDFT1,HMGCS1,0.252
FDFT1,CYP2A13,0.289647
FDFT1,CYP3A7,0.289647
FDFT1,UBC,0.988
FDFT1,VAPA,0.201
FDFT1,CYP2D6,0.289647
NCALD,PDE1B,0.179
NCALD,NEDD8,0.19592
NCALD,ATP5B,0.566
NCALD,IQGAP1,0.237
NCALD,IQCB1,0.158
NCALD,PDE1A,0.566
NCALD,GGA1,0.179
NCALD,UBC,0.504
NCALD,ACTB,0.767
NCALD,MYO6,0.158
NCALD,PPP3CA,0.186
NCALD,PDE1C,0.179
NCALD,MYO9B,0.158
SF3A2,POLR2E,0.18
SF3A2,HSPA8,0.895
SF3A2,PHLPP1,0.167
SF3A2,SLIT1,0.167
SF3A2,PRPF6,0.994
SF3A2,LSM6,0.232
SF3A2,APBB1,0.288
SF3A2,SNRPD1,0.9964559999999999
SF3A2,PRPF8,0.997
SF3A2,CD2BP2,0.895
SF3A2,SRSF7,0.895
SF3A2,GP1BA,0.167
SF3A2,SF3B1,0.999
SF3A2,SNRPD2,0.999
SF3A2,UBC,0.8
SF3A2,BCAS2,0.895
SF3A2,CDC5L,0.995
SF3A2,PRPF4,0.868
SF3A2,ALYREF,0.725
SF3A2,PLRG1,0.91
SF3A2,CHERP,0.996
PON1,APOA1,0.6078
CYP3A5,FDFT1,0.289647
CYP3A5,FDX1,0.223
CYP3A5,CAD,0.33663200000000004
CYP3A5,HMGCS1,0.173768
CYP3A5,CYP2A13,0.178
CYP3A5,CYB5A,0.63172
CYP3A5,CYP2D6,0.182
CYP3A5,CPS1,0.204372
CYP3A5,POR,0.342
GLCCI1,DYRK1B,0.461
BMPR1A,BMP4,0.966
BMPR1A,SMAD2,0.248
BMPR1A,SMAD1,0.849
BMPR1A,CDC42,0.178
BMPR1A,HSP90AA1,0.408
BMPR1A,CTNNB1,0.335
BMPR1A,UBC,0.908
BMPR1A,HIVEP1,0.36
BMPR1A,FKBP1A,0.566
ACTA2,MAPK1,0.152
ACTA2,EGR1,0.15176800000000001
ACTA2,ACTN4,0.27238
ACTA2,PDE6A,0.15456199999999998
ACTA2,ZNF423,0.15176800000000001
ACTA2,PHLPP1,0.404
ACTA2,PRDX1,0.17463399999999998
ACTA2,CNN2,0.962362
ACTA2,SMARCB1,0.345
ACTA2,EP300,0.23
ACTA2,YWHAE,0.70612
ACTA2,MECOM,0.15176800000000001
ACTA2,MAD1L1,0.252
ACTA2,IQGAP1,0.43
ACTA2,CALM2,0.565
ACTA2,EGFR,0.575
ACTA2,PAK1,0.223
ACTA2,MKI67IP,0.399
ACTA2,ACTC1,0.926
ACTA2,EIF4A1,0.16369
ACTA2,HSP90B1,0.16924
ACTA2,TUBA1A,0.34714
ACTA2,YWHAZ,0.44106999999999996
ACTA2,IQCB1,0.19
ACTA2,HMGCS1,0.255
ACTA2,ZYX,0.644
ACTA2,HSP90AA1,0.17936
ACTA2,KAT5,0.335
ACTA2,TUBB4B,0.24516300000000002
ACTA2,TTN,0.637696
ACTA2,UBC,0.987
ACTA2,DNM2,0.24589
ACTA2,CALM1,0.212
ACTA2,CHD4,0.187
ACTA2,SMARCA4,0.438
ACTA2,ACTN2,0.66877
ACTA2,SPTA1,0.196
ACTA2,MYO6,0.2467
ACTA2,PDE6C,0.15456199999999998
ACTA2,ACTR2,0.641
ACTA2,HIVEP1,0.15176800000000001
ACTA2,SPTB,0.196
ACTA2,PPP3CA,0.186432
ACTA2,MYO9B,0.19
ACTA2,ACTL6A,0.544
ACTA2,PPIA,0.219444
ACTA2,PDE6B,0.15456199999999998
ACTA2,OBSCN,0.21646999999999997
CACNG1,TTN,0.17
CACNG1,VAPA,0.603
HSPA8,FKBP4,0.203486
HSPA8,CFTR,0.998
HSPA8,ESR1,0.947
HSPA8,SF3A2,0.895
HSPA8,APOB,0.566
HSPA8,CDKN1A,0.159
HSPA8,CANX,0.40172399999999997
HSPA8,TRAF2,0.242
HSPA8,NEDD8,0.228
HSPA8,RAF1,0.837
HSPA8,RIPK1,0.205
HSPA8,FDX1,0.387104
HSPA8,CBL,0.482
HSPA8,YWHAE,0.5311319999999999
HSPA8,CAD,0.28824
HSPA8,CDK2,0.35
HSPA8,RB1,0.576
HSPA8,TP53,0.874
HSPA8,AKT1,0.315
HSPA8,RPS27A,0.23525
HSPA8,SKP2,0.198
HSPA8,EGFR,0.937
HSPA8,ATP5A1,0.2
HSPA8,TOMM70A,0.215
HSPA8,APP,0.589
HSPA8,HSP90B1,0.598456
HSPA8,CRK,0.515
HSPA8,TUBA1A,0.35097399999999995
HSPA8,MAP2K1,0.621
HSPA8,GNB2,0.198
HSPA8,CDC20,0.221
HSPA8,YWHAZ,0.226648
HSPA8,IQCB1,0.304
HSPA8,POLR2B,0.17140999999999998
HSPA8,CDK5R1,0.222
HSPA8,KCND3,0.488
HSPA8,CALR,0.157
HSPA8,CUL1,0.208
HSPA8,HSP90AA1,0.991978
HSPA8,SIRT6,0.267
HSPA8,HIF1A,0.564
HSPA8,GRB2,0.444
HSPA8,NISCH,0.222
HSPA8,CTNNB1,0.574
HSPA8,NF2,0.2
HSPA8,UBC,0.9990950000000001
HSPA8,NHLRC1,0.228
HSPA8,ACTB,0.683
HSPA8,EPRS,0.320533
HSPA8,EIF3A,0.179488
HSPA8,MAP3K7,0.255
HSPA8,BCAS2,0.999
HSPA8,RPL5,0.183
HSPA8,MAGOH,0.996
HSPA8,CDC5L,0.7429439999999999
HSPA8,MRTO4,0.25052800000000003
HSPA8,CUL4A,0.203
HSPA8,TNFRSF1B,0.156
HSPA8,SUGT1,0.84439
HSPA8,GNB1,0.223
HSPA8,UBE2D2,0.17190899999999998
HSPA8,CXCR4,0.576
HSPA8,SLC12A3,0.57
HSPA8,CPS1,0.247444
HSPA8,MDM2,0.697
HSPA8,PPIA,0.1693
HSPA8,GMPS,0.175
HSPA8,EIF3H,0.161
HSPA8,HSF1,0.636
HSPA8,RPS3,0.18
HSPA8,LDHA,0.602712
BIRC2,TRAF2,0.999
BIRC2,NEDD8,0.15463
BIRC2,RAF1,0.567
BIRC2,RIPK1,0.967
BIRC2,PRDX1,0.255
BIRC2,RPS27A,0.506
BIRC2,EGFR,0.571
BIRC2,MAD2L1,0.175
BIRC2,HSP90B1,0.576
BIRC2,DCAF7,0.533
BIRC2,CDC42,0.607
BIRC2,GSK3B,0.57
BIRC2,CCK,0.556
BIRC2,USP7,0.533
BIRC2,UBC,0.999
BIRC2,E2F1,0.564
BIRC2,RAC1,0.921
BIRC2,MAP3K7,0.96
BIRC2,UBE2D2,0.933
BIRC2,RHOA,0.591
SART3,PRPF6,0.8776360000000001
SART3,CDK2,0.309
SART3,LSM6,0.999
SART3,APBB1,0.564
SART3,SNRPD1,0.362
SART3,PRPF8,0.668564
SART3,SIRT7,0.313
SART3,SF3B1,0.603394
SART3,HIF1A,0.574
SART3,ARHGEF10,0.53
SART3,SNRPD2,0.317
SART3,UBC,0.878
SART3,COPS5,0.42
SART3,RNF2,0.321
SART3,PRPF4,0.998158
SART3,BMI1,0.365135
KCTD10,NEDD8,0.30628
KCTD10,USP25,0.891
KCTD10,UBC,0.9823870000000001
