ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000302	response to reactive oxygen species	0.019619157530294286	189/16323	0.17989417989417988	1.6944100971798606	3.309285413835497	0.0014681302112179817	0.04339071281036196	0.03599603822955061	IL18BP/RACK1/PRDX3/RIPK3/PLK3/COL6A1/CRYGD/CYP1B1/EDN1/KDM6B/FOS/GPR37/HYAL1/APOD/APOE/RHOB/MAPT/MET/ND5/PAWR/PKD2/PTPRK/PEX5/BCL2/S100A7/BNIP3/STAT6/TRPM2/UBE3A/CAPN2/BECN1/RIPK1/TRPA1/AIFM1	34	82	-0.8643309038674918	0.40976925912676887
GO:0001101	response to acid chemical	0.015002885170225043	133/16323	0.19548872180451127	1.8412939446134087	3.3574417088271	0.0015211393631326697	0.04402467658859075	0.03652196147254984	CDO1/COL1A2/COL3A1/COL4A1/COL4A6/COL6A1/DNMT3A/EDN1/EP300/F7/MTOR/GHSR/GCLC/GRIA1/AQP2/LYN/MYD88/PCK1/PKD2/BCL2L1/SIPA1/TMBIM6/TNF/CAPN2/LAMTOR3/AIFM1	26	38	-0.3634618029243037	0.6487834216329553
GO:0001541	ovarian follicle development	0.008078476630121177	57/16323	0.24561403508771928	2.3134205970783857	3.4234121575378786	0.0020810557330331603	0.04934457089461465	0.04093523579818099	CGA/FOXC1/GNRH1/INHBA/INHBB/KIT/LHCGR/SMAD4/NPR2/BCL2/BCL2L1/UBE3A/EIF2B2/PCYT1B	14	6	0.8633256791678036	1.5982390666685842
GO:0001655	urogenital system development	0.009809578765147143	64/16323	0.265625	2.501902409117138	4.148996873396598	2.7059225535758984e-4	0.01612465746485782	0.013376682450001651	CRIP1/EPHB3/FGF10/FGFR2/FKBP4/GATA2/HOXD13/TNC/PAX2/SERPINF1/PSAP/RARA/BMP4/SRD5A1/UBE3A/PAX8/CYP7B1	17	NA	NA	NA
GO:0001659	temperature homeostasis	0.019042123485285632	183/16323	0.18032786885245902	1.6984949816957233	3.2748800088945846	0.001639982780378868	0.044871294006483264	0.037224297778326886	NMU/GADD45G/CIDEA/CMKLR1/CNR1/ADORA1/ADRB1/ADRB2/EDN2/EDNRB/FABP4/KDM6B/ID1/IL4/IL13/LEP/LEPR/LNPEP/BMAL1/NPR3/OXTR/SMARCA4/STAT3/STAT6/THRA/TLE3/TNF/TRPM2/CXCR4/CAV1/TNFSF11/TNFRSF11A/PHOX2B	33	1	3.5125353802470802	4.205904812847698
GO:0001755	neural crest cell migration	0.008078476630121177	56/16323	0.25	2.354731679169071	3.4998698044238887	0.0017365921251645386	0.04544002171460287	0.03769610252634174	SEMA3A/SEMA4F/SEMA3C/EDN1/EDN3/EDNRA/EDNRB/BMP4/SMO/TWIST1/SEMA3B/NRP2/PHOX2B/SEMA5A	14	4	1.268790787275968	1.9811408364684586
GO:0001890	placenta development	0.016156953260242354	148/16323	0.1891891891891892	1.7819591085603783	3.2934500266720534	0.0017188984728656888	0.04541407897059917	0.03767458096229143	PRDX3/ADM/CTSB/AKT1/ETV2/FGFR2/GATA2/GHSR/BIRC2/HSD17B2/CCN1/ITGB8/LEP/ARNT/MDFI/PKD2/MED1/MAP2K1/PTK2/PRDM1/SOX15/ST14/NR2F2/PHLDA2/CASP8/NCOA1/ADAM19/HAND1	28	14	0.7091749993405454	1.4579939977714906
GO:0001935	endothelial cell proliferation	0.0207732256203116	153/16323	0.23529411764705882	2.216218050982655	5.209073345696395	3.243878744867014e-6	9.887070931145147e-4	8.202109625882645e-4	CDH13/COL8A1/APLNR/ECM1/AKT1/FGF10/FUT1/GATA2/GDF2/GHSR/CXCR3/NR4A1/APOA1/APOE/LEP/ARNT/NF1/PDPK1/PIK3CD/PRKX/PRL/CXCL12/BMP4/STAT3/NR2F2/TNF/VEGFB/SCG2/CALCA/CAV1/NRP2/KRIT1/SEMA5A/ITGB1BP1/ACVRL1/FGFBP1	36	17	0.7663334131804941	1.5095581658504524
GO:0001936	regulation of endothelial cell proliferation	0.01788805539526832	130/16323	0.23846153846153847	2.246051755515114	4.915893004106873	1.1442400747342942e-5	0.002384572062732851	0.001978191681394829	CDH13/APLNR/ECM1/AKT1/FGF10/FUT1/GATA2/GDF2/GHSR/CXCR3/NR4A1/APOE/LEP/ARNT/NF1/PDPK1/PIK3CD/PRL/CXCL12/BMP4/STAT3/NR2F2/TNF/VEGFB/SCG2/CAV1/NRP2/KRIT1/SEMA5A/ACVRL1/FGFBP1	31	103	-1.1847139649638896	0.3012561596647183
GO:0001938	positive regulation of endothelial cell proliferation	0.012694748990190421	88/16323	0.25	2.354731679169071	4.391640669369909	9.76938026004644e-5	0.00987556917591651	0.008192568007547717	CDH13/APLNR/ECM1/AKT1/FGF10/GATA2/GDF2/GHSR/NR4A1/ARNT/NF1/PDPK1/PIK3CD/CXCL12/BMP4/STAT3/VEGFB/SCG2/NRP2/SEMA5A/ACVRL1/FGFBP1	22	65	-1.0673169977567214	0.33748697758122786
