ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1902806	regulation of cell cycle G1/S phase transition	14/195	175/16259	2.5060305127319506e-8	8.42778061431755e-5	7.059092265337578e-5	CDK7/CDKN1A/CDKN1B/CDKN2A/EGFR/ID2/MNAT1/PSME1/PTPN6/RB1/CCL2/SOX2/TBX2/KIF14	14
GO:2000045	regulation of G1/S transition of mitotic cell cycle	12/195	155/16259	3.668028882357106e-7	3.956885476193783e-4	3.3142793978730025e-4	CDK7/CDKN1A/CDKN1B/CDKN2A/EGFR/ID2/MNAT1/PSME1/PTPN6/RB1/CCL2/KIF14	12
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	9/195	79/16259	4.2591081553394445e-7	3.956885476193783e-4	3.3142793978730025e-4	CDK7/CDKN1A/CDKN1B/CDKN2A/CEBPA/EGFR/MNAT1/PSMD10/CDK5R1	9
GO:1904029	regulation of cyclin-dependent protein kinase activity	9/195	82/16259	5.879719243533005e-7	3.956885476193783e-4	3.3142793978730025e-4	CDK7/CDKN1A/CDKN1B/CDKN2A/CEBPA/EGFR/MNAT1/PSMD10/CDK5R1	9
GO:0006986	response to unfolded protein	11/195	133/16259	5.882969783220016e-7	3.956885476193783e-4	3.3142793978730025e-4	DAXX/ATF6/ERO1A/DNAJB2/HSPA4/HSPB1/HSPD1/BAX/WFS1/NCK2/MBTPS1	11
GO:0140747	regulation of ncRNA transcription	9/195	91/16259	1.4331885171683557e-6	7.704305854097709e-4	6.453111246401386e-4	PWP1/EGFR/EGR1/ETS1/FOS/GATA3/JUN/BMP4/NR1H2	9
GO:1902893	regulation of miRNA transcription	8/195	69/16259	1.6582942984835295e-6	7.704305854097709e-4	6.453111246401386e-4	EGFR/EGR1/ETS1/FOS/GATA3/JUN/BMP4/NR1H2	8
GO:0061614	miRNA transcription	8/195	70/16259	1.8532126386006696e-6	7.704305854097709e-4	6.453111246401386e-4	EGFR/EGR1/ETS1/FOS/GATA3/JUN/BMP4/NR1H2	8
GO:1904035	regulation of epithelial cell apoptotic process	9/195	95/16259	2.0618124498031334e-6	7.704305854097709e-4	6.453111246401386e-4	CDKN1B/PAK4/GATA3/GPER1/SERPINE1/BAX/RB1/CCL2/WFS1	9
GO:1902895	positive regulation of miRNA transcription	7/195	51/16259	2.374279491389568e-6	7.907114348103989e-4	6.622983237249409e-4	EGFR/EGR1/ETS1/FOS/GATA3/JUN/NR1H2	7
GO:0035966	response to topologically incorrect protein	11/195	155/16259	2.6811324225657262e-6	7.907114348103989e-4	6.622983237249409e-4	DAXX/ATF6/ERO1A/DNAJB2/HSPA4/HSPB1/HSPD1/BAX/WFS1/NCK2/MBTPS1	11
GO:1904019	epithelial cell apoptotic process	10/195	126/16259	2.8214502580210485e-6	7.907114348103989e-4	6.622983237249409e-4	CDKN1B/PAK4/DNMT3A/GATA3/GPER1/SERPINE1/BAX/RB1/CCL2/WFS1	10
GO:0098781	ncRNA transcription	10/195	135/16259	5.254213188736211e-6	0.0012632943909964658	0.001058132867053709	CDK7/PWP1/EGFR/EGR1/ETS1/FOS/GATA3/JUN/BMP4/NR1H2	10
GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation	5/195	22/16259	5.259031065700422e-6	0.0012632943909964658	0.001058132867053709	CDKN1A/CDKN1B/GPER1/MEF2C/BMP4	5
GO:1904705	regulation of vascular associated smooth muscle cell proliferation	7/195	58/16259	5.744517705458405e-6	0.0012879208695637744	0.0010787599564776624	CDKN1A/CDKN1B/GNAI2/GPER1/JUN/MEF2C/BMP4	7
GO:2000628	regulation of miRNA metabolic process	8/195	83/16259	6.779404117711516e-6	0.0014249460029914893	0.0011935319354602642	EGFR/EGR1/ETS1/FOS/GATA3/JUN/BMP4/NR1H2	8
GO:1990874	vascular associated smooth muscle cell proliferation	7/195	60/16259	7.230931898050583e-6	0.001430448469008477	0.0011981407900423131	CDKN1A/CDKN1B/GNAI2/GPER1/JUN/MEF2C/BMP4	7
GO:2000630	positive regulation of miRNA metabolic process	7/195	61/16259	8.086107436570654e-6	0.0015107544060659506	0.0012654048830563198	EGFR/EGR1/ETS1/FOS/GATA3/JUN/NR1H2	7
GO:0034620	cellular response to unfolded protein	8/195	87/16259	9.64131260109047e-6	0.0017065123303930132	0.0014293713307766257	DAXX/ATF6/ERO1A/HSPD1/BAX/WFS1/NCK2/MBTPS1	8
GO:0071901	negative regulation of protein serine/threonine kinase activity	8/195	89/16259	1.1417308820351916e-5	0.0019198204781421748	0.0016080378106979856	CDKN1A/CDKN1B/CDKN2A/CEBPA/PKIG/RB1/RGS2/TESK1	8
GO:0033002	muscle cell proliferation	11/195	196/16259	2.5010222668492022e-5	0.004005208515911365	0.003354754679743592	CDKN1A/CDKN1B/FOS/GNAI2/GPER1/ID2/JUN/MEF2C/MNAT1/BMP4/TBX2	11
GO:0048660	regulation of smooth muscle cell proliferation	9/195	132/16259	3.0422332767461757e-5	0.004350455813028403	0.0036439331285237206	CDKN1A/CDKN1B/GNAI2/GPER1/ID2/JUN/MEF2C/MNAT1/BMP4	9
GO:0006469	negative regulation of protein kinase activity	10/195	165/16259	3.053191860117258e-5	0.004350455813028403	0.0036439331285237206	CDKN1A/CDKN1B/CDKN2A/CEBPA/PKIG/HSPB1/RB1/RGS2/TESK1/MVP	10
GO:0010586	miRNA metabolic process	8/195	102/16259	3.1046963875314207e-5	0.004350455813028403	0.0036439331285237206	EGFR/EGR1/ETS1/FOS/GATA3/JUN/BMP4/NR1H2	8
GO:0048659	smooth muscle cell proliferation	9/195	136/16259	3.851825838028998e-5	0.005097315425877228	0.004269501253469635	CDKN1A/CDKN1B/GNAI2/GPER1/ID2/JUN/MEF2C/MNAT1/BMP4	9
GO:0072331	signal transduction by p53 class mediator	10/195	170/16259	3.940832621849775e-5	0.005097315425877228	0.004269501253469635	CDKN1A/CDKN1B/RRS1/PPP1R13B/RRP8/PSMD10/BAX/AURKA/USP7/DYRK3	10
GO:0035967	cellular response to topologically incorrect protein	8/195	107/16259	4.3853232326627644e-5	0.0052959625983420916	0.004435887729678525	DAXX/ATF6/ERO1A/HSPD1/BAX/WFS1/NCK2/MBTPS1	8
GO:1904036	negative regulation of epithelial cell apoptotic process	6/195	54/16259	4.409365232042181e-5	0.0052959625983420916	0.004435887729678525	CDKN1B/PAK4/GATA3/SERPINE1/RB1/WFS1	6
