GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.0026109660574412533	30/16075	0.36369401319995953	0.6294551114185194	0.548403392468645	PARP1/TYMP/LONP1	3		21	2	3.701597771080912	-0.615617375900351	0.5169701306660879
GO:0000003	reproduction	1410	0	0	1	1	1		0		0	0	0	0	0
GO:0000012	single strand break repair	11	0.0017406440382941688	11/16075	0.1831343845686567	0.49266441174419706	0.429226532357837	PARP1/TNP1	2		11	2	1.9389321658042873	0.03100978902470132	0.9034699134302697
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.007832898172323759	131/16075	0.5982796192760229	0.7442932343557676	0.6484543969979336	BCL6/MSH6/IL10/PARP1/TP53BP1/CD28/POGZ/PARP3/TGFB1	9		89	5	15.687723886961962	-1.143440576034913	0.313557175755949
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0		0	0	0	0	0
GO:0000022	mitotic spindle elongation	12	0.0026109660574412533	12/16075	0.049252717652744464	0.28633512898028024	0.24946521724458076	PRC1/KIF23/NUMA1	3		8	2	1.4101324842212999	0.3494635201432359	1.1485765880596626
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0.0026109660574412533	25/16075	0.26353170743273235	0.5911068689012335	0.5149930572275875	RPL38/RRS1/DHX30	3		15	2	2.6439984079149372	-0.27914513927913825	0.6982833299728225
GO:0000028	ribosomal small subunit assembly	17	0.0026109660574412533	17/16075	0.1170845338614752	0.39767284542757486	0.3464665447448216	RPSA/RPL38/PWP2	3		8	0	1.4101324842212999	-Inf	0
GO:0000038	very long-chain fatty acid metabolic process	35	0.0026109660574412533	35/16075	0.46150238120492315	0.673995749805852	0.5872087603991494	ABCD1/ABCD2/TECR	3		24	3	4.230397452663899	-0.3436836604167093	0.6601490575297885
GO:0000041	transition metal ion transport	93	0.008703220191470844	91/16075	0.11435144864087318	0.3969073581937325	0.3457996253913755	HPX/LCN2/CBLIF/TCN2/ASIC3/HEPH/FTL/FKBP4/HFE/RAB11B	10		55	2	9.694660829021435	-1.578428123409399	0.20486313009052137
GO:0000045	autophagosome assembly	106	0.004351610095735422	106/16075	0.8833944371389271	0.9133948611147622	0.7957816711821287	GABARAPL2/ATG12/BECN1/RAB7A/BAG3	5		52	2	9.165861147438449	-1.5223386567583554	0.21650558591255833
GO:0000050	urea cycle	10	0	0	1	1	1		0		0	0	0	0	0
GO:0000052	citrulline metabolic process	8	0	0	1	1	1		0		0	0	0	0	0
GO:0000053	argininosuccinate metabolic process	1	0	0	1	1	1		0		0	0	0	0	0
