GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	pathway_genes	pathway_size	observed_val	expected_val	log_observed_expected	asinh_observed_expected
GO:0000002	mitochondrial genome maintenance	30	0.001996007984031936	30/16075	0.6135465997813976	0.744017747096015	0.6778598470841266	MPV17	1		21	1	1.0471939500767613	-0.046114158359241965	0.8491446759892851
GO:0000003	reproduction	1410	0	0	1	1	1		0		0	0	0	0	0
GO:0000012	single strand break repair	11	0	0	1	1	1		0		0	0	0	0	0
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0		0	0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.015968063872255488	131/16075	0.052566975516928884	0.36892749686501153	0.33612254221910853	H1-2/IL4/MLH1/MRE11/MSH2/MSH3/PTPRC/VPS72	8		89	5	4.438107693182465	0.1192098220661416	0.9681263604165308
GO:0000019	regulation of mitotic recombination	7	0.003992015968063872	7/16075	0.018347472987160492	0.25597773490848086	0.2332162491005899	MLH1/MRE11	2		3	1	0.1495991357252516	1.8997959906960715	2.5984917663585123
GO:0000022	mitotic spindle elongation	12	0.001996007984031936	12/16075	0.31619404810889595	0.5918865481016949	0.5392561219854743	NUMA1	1		8	0	0.398931028600671	-Inf	0
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0		0	0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0		0	0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	0	0	1	1	1		0		0	0	0	0	0
GO:0000028	ribosomal small subunit assembly	17	0.001996007984031936	17/16075	0.4163964448508297	0.6431166496057297	0.5859308537471454	RPS19	1		8	1	0.398931028600671	0.9189667376843451	1.6497162132821102
GO:0000038	very long-chain fatty acid metabolic process	35	0	0	1	1	1		0		0	0	0	0	0
GO:0000041	transition metal ion transport	93	0.007984031936127744	91/16075	0.3153846223429629	0.5918865481016949	0.5392561219854743	ATP7A/HPX/TCN1/TCN2	4		55	2	2.7426508216296126	-0.31577772530834436	0.6764414469210487
GO:0000045	autophagosome assembly	106	0.001996007984031936	106/16075	0.9655209060473422	0.9745957473500823	0.8879349005398278	PIK3C3	1		52	1	2.5930516859043613	-0.9528354392172463	0.3766752133457702
GO:0000050	urea cycle	10	0	0	1	1	1		0		0	0	0	0	0
