ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0030168	platelet activation	72/4142	140/16283	0.5142857142857142	2.02175622542595	7.091708564755983	3.4958671704025326e-11	2.7725722528462486e-7	1.9992680354523118e-7	DGKZ/DGKE/DGKD/CD9/P2RX1/PDGFRA/MYH9/DGKA/JAK2/PIK3CA/ADRA2B/SERPINE2/PPIA/SRF/PLA2G4A/HTR2A/IL6/PDGFA/IL6ST/GP1BA/GP1BB/GP5/GP9/IL6R/FIBP/ADRA2C/ILK/MMRN1/HRG/PRKCD/PTPN6/METAP1/ENTPD1/CLIC1/ACTB/DGKI/TLN1/TLR4/ADAMTS13/PRKG1/PRKCQ/F2RL2/SH2B3/SLC6A4/ITGB3/DGKB/SRC/PF4/PTPRJ/GATA1/F2RL3/SELP/CD40/CD40LG/PRKCA/GNA13/PDIA3/TEC/FZD6/FLNA/MYL12A/FGG/F2R/VCL/PDPN/ITPR3/HBB/VAV3/RASA3/NOS3/ACTG1/GLA	72
GO:0035270	endocrine system development	69/4142	136/16283	0.5073529411764706	1.9945021586616296	6.802381024867523	1.951245081747646e-10	7.737662371670291e-7	5.579533962702612e-7	NF1/CGA/NKX6-1/INSM1/PDGFRA/RBPJ/MAP2K1/CRHR1/NR0B1/PDX1/BAK1/CTNS/ISL1/HOXA5/HOXB3/GSK3A/BMP4/GLI1/RAP1GAP/GLI2/SMAD2/SHH/SMO/SRF/BMAL1/WT1/ASCL1/CDK6/BAD/DRD2/IL6/GCM2/IL6R/PITX1/PITX2/THRA/AKT1/TBX1/FGF2/NR3C1/NKX2-5/MAP2K2/TBX19/CLOCK/NKX2-2/BMP6/PAX6/NOG/WNT5A/BMP2/RAF1/MNX1/BMPR1A/NEUROD1/HES1/CYP1B1/RHEB/MAPK1/ONECUT2/ONECUT1/TG/ALDH1A2/TGFBR1/CRH/LHX3/SMAD3/SMAD4/PAX4/GIPR	69
GO:0030048	actin filament-based movement	67/4142	134/16283	0.5	1.9655963302752293	6.555515995503026	7.940958479559219e-10	1.7354663939055126e-6	1.251423649780495e-6	KCNE2/SCN2B/ATP1A1/ATP1A2/MYH9/EMP2/SCN4A/MYO1B/KCNJ5/MYL1/LIMCH1/KCNJ8/ATP2A2/CAV3/PIK3CA/SLC9A1/NEDD4L/SNTA1/ZEB2/SCN7A/TNNT2/KCNJ2/GPD1L/SCN4B/SCN1A/ACTN4/WASF2/KCNA5/MYO1D/DSC2/WIPF1/MYO1C/SCN2A/SCN3A/ACTA2/AKAP9/JUP/SCN1B/MYH4/PDE4D/SYNE2/PDE4B/MYH8/KCNJ3/GJC1/GSN/KCNE1/PKP2/DSG2/CACNB2/SRI/MYO9B/ROCK1/WAS/TPM1/FLNA/NOS1AP/MYO1A/PDPN/FGF13/MYO7A/MYO7B/SCN8A/NOS1/MYH7/MYO5B/MYO6	67
GO:0051961	negative regulation of nervous system development	69/4142	140/16283	0.4928571428571429	1.9375163826998691	6.507024665320772	9.897511705077283e-10	1.7354663939055126e-6	1.251423649780495e-6	VAX1/NF1/NKX6-1/TP53/PTPRS/BRINP1/CTNNA1/DLX1/MAG/DCC/PSEN1/DLX2/NFATC4/DRD3/PTN/DKK1/YWHAH/DAB1/FSTL4/MT3/IL6/PITX3/ATOH1/SOX10/PROX1/RYK/B2M/SEMA6C/BMP7/KIAA0319/PAX6/IL1B/SIRT2/NOG/WNT5A/DLL3/SOX11/MECP2/TLR2/ASCL2/NOTCH1/RUFY3/TRPC5/BMPR1A/WNT7A/HES1/ABCC8/LDLR/GDI1/ID4/MAP2/KIFAP3/CLSTN3/ULK1/RNF6/KDM4A/LHX2/CCL11/RAPGEF2/IFRD1/ROBO2/FGF13/THY1/HDAC6/RNF10/ARHGAP4/EPHB2/SEMA3A/TLX2	69
GO:0035051	cardiocyte differentiation	70/4142	143/16283	0.48951048951048953	1.9243600436260986	6.484688377874921	1.0941031357366742e-9	1.7354663939055126e-6	1.251423649780495e-6	TCAP/MTOR/HNRNPU/PDGFRB/LMNA/MEF2A/PDGFRA/RBPJ/IGF1/ARRB2/ADRA1A/ISL1/NRG1/GSK3A/KCNJ8/BMP4/HAND2/CAV3/SLC9A1/ATG5/TBX18/SLC8A1/SRF/DKK1/WT1/FHL2/OBSL1/PITX2/ITGB1/POU5F1/SGCB/EOMES/PROX1/ACVR1/AKAP6/NKX2-5/BMP7/BMP2/AKAP13/TTN/MEF2C/MAP2K4/CSRP3/FRS2/KDM6B/NOTCH1/PRKG1/BMPR1A/SHOX2/COL14A1/TWIST1/SEMA3C/SYNE1/HES1/G6PD/MAPK1/CDK1/EFNB2/TSC1/JAG1/YY1/SMAD4/CTCF/TGFBR3/MYL2/ZMPSTE24/HDAC3/EGFR/NRAP/CTDP1	70
GO:0050768	negative regulation of neurogenesis	65/4142	132/16283	0.49242424242424243	1.9358145676953018	6.30534350866966	3.13854015314826e-9	4.1486269924364744e-6	2.991524324921842e-6	VAX1/NF1/NKX6-1/TP53/PTPRS/BRINP1/CTNNA1/DLX1/MAG/DCC/PSEN1/DLX2/NFATC4/DRD3/PTN/YWHAH/DAB1/FSTL4/MT3/IL6/PITX3/ATOH1/SOX10/PROX1/RYK/B2M/SEMA6C/BMP7/KIAA0319/PAX6/IL1B/SIRT2/NOG/WNT5A/DLL3/SOX11/MECP2/ASCL2/NOTCH1/RUFY3/TRPC5/BMPR1A/WNT7A/HES1/ABCC8/LDLR/GDI1/ID4/MAP2/KIFAP3/ULK1/RNF6/KDM4A/LHX2/CCL11/RAPGEF2/IFRD1/FGF13/THY1/HDAC6/RNF10/ARHGAP4/EPHB2/SEMA3A/TLX2	65
GO:0031099	regeneration	86/4142	192/16283	0.4479166666666667	1.7608467125382266	6.194239000754646	3.940310603337503e-9	4.464371913581391e-6	3.2192041365312262e-6	SOX15/SCARF1/RTCA/COL6A1/CD9/CCNA2/SLC7A5/PTPRS/IGF1/MAP2K1/JAK2/RPS15/CTNNA1/PDX1/BAK1/AURKA/MAG/GFER/GLI1/PTN/KPNA1/DAG1/ERBB4/CFLAR/MMP2/MAPK8IP3/PTGFRN/IL6/IHH/NREP/LRIG2/LPIN1/KLK6/NEO1/PTPN12/GPX1/FLT3/YAP1/MAP2K2/MYOD1/KIAA0319/NEFL/CLDN1/CEBPB/CD81/BAAT/MTR/HSPG2/INPP5F/KLF4/NOTCH1/CSNK2A2/WNT7A/RUNX1/CPQ/TYMS/CPT1A/CXCL12/GFAP/GATA1/NR4A3/NFIB/FKBP1B/MATN2/TEC/ULK1/ATIC/FLNA/PLG/FPGS/CDK1/POSTN/TNC/LCP1/RGN/EPHA4/IFRD1/CDKN1B/TGFBR3/CAPN3/THY1/FZD9/EGFR/GAS6/IGF2R/DHFR	86
GO:0035296	regulation of tube diameter	71/4142	150/16283	0.47333333333333333	1.8607645259938839	6.185917391421884	5.212555707736929e-9	4.593419924229065e-6	3.3122590830566944e-6	P2RX1/DBH/ATP1A2/ITGA9/EDN2/DRD5/ADRA1A/MANF/KCNJ8/ITGA4/AVPR1B/ADRA2B/ATG5/INS/CASR/SNTA1/KCNMA1/SLC8A1/RHOA/HTR2A/MMP2/F2RL1/TACR1/HRH2/ADCY6/ADRA2C/ITGB1/ROCK2/AGTR1/CBS/P2RY2/SCNN1B/EXT2/PIK3C2A/CPS1/GPX1/RAP1GDS1/AGTR2/HTR1A/KCNA5/NPPC/NPR1/EXT1/PLOD3/BMPR2/ACTA2/GCH1/PRKG1/NTS/SLC6A4/ECE1/UTS2R/KLF2/KAT2B/UCN/AGT/DOCK4/PTGS2/ROCK1/MTNR1B/FGG/KNG1/ADRB2/F2R/HBB/HRH1/NOS3/FAAH/NOS1/EGFR/HTR2B	71
GO:0097746	blood vessel diameter maintenance	71/4142	150/16283	0.47333333333333333	1.8607645259938839	6.185917391421884	5.212555707736929e-9	4.593419924229065e-6	3.3122590830566944e-6	P2RX1/DBH/ATP1A2/ITGA9/EDN2/DRD5/ADRA1A/MANF/KCNJ8/ITGA4/AVPR1B/ADRA2B/ATG5/INS/CASR/SNTA1/KCNMA1/SLC8A1/RHOA/HTR2A/MMP2/F2RL1/TACR1/HRH2/ADCY6/ADRA2C/ITGB1/ROCK2/AGTR1/CBS/P2RY2/SCNN1B/EXT2/PIK3C2A/CPS1/GPX1/RAP1GDS1/AGTR2/HTR1A/KCNA5/NPPC/NPR1/EXT1/PLOD3/BMPR2/ACTA2/GCH1/PRKG1/NTS/SLC6A4/ECE1/UTS2R/KLF2/KAT2B/UCN/AGT/DOCK4/PTGS2/ROCK1/MTNR1B/FGG/KNG1/ADRB2/F2R/HBB/HRH1/NOS3/FAAH/NOS1/EGFR/HTR2B	71
GO:0035150	regulation of tube size	71/4142	151/16283	0.47019867549668876	1.8484415821131297	6.117838455448944	7.409390155410847e-9	5.876387332256343e-6	4.237391233089172e-6	P2RX1/DBH/ATP1A2/ITGA9/EDN2/DRD5/ADRA1A/MANF/KCNJ8/ITGA4/AVPR1B/ADRA2B/ATG5/INS/CASR/SNTA1/KCNMA1/SLC8A1/RHOA/HTR2A/MMP2/F2RL1/TACR1/HRH2/ADCY6/ADRA2C/ITGB1/ROCK2/AGTR1/CBS/P2RY2/SCNN1B/EXT2/PIK3C2A/CPS1/GPX1/RAP1GDS1/AGTR2/HTR1A/KCNA5/NPPC/NPR1/EXT1/PLOD3/BMPR2/ACTA2/GCH1/PRKG1/NTS/SLC6A4/ECE1/UTS2R/KLF2/KAT2B/UCN/AGT/DOCK4/PTGS2/ROCK1/MTNR1B/FGG/KNG1/ADRB2/F2R/HBB/HRH1/NOS3/FAAH/NOS1/EGFR/HTR2B	71
