ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected
GO:0000271	polysaccharide biosynthetic process	0.011027278003482298	66/16034	4.288799499446984e-5	0.0030969421185506668	0.0024951784035203662	B3GNT2/EGF/AKT1/AKT2/GSK3A/GSK3B/GYS2/HAS3/NDST1/IGF1/IGF2/IRS1/NFKB1/ENPP1/PPP1R3C/NDST2/IRS2/B4GALT5/EPM2AIP1	19	NA	NA
GO:0000302	response to reactive oxygen species	0.022054556006964595	194/16034	1.7788416223476496e-4	0.006796304420620306	0.005475721329276224	NET1/CRK/AKT1/ERN1/FER/GCH1/GPX1/HBA2/HGF/HIF1A/HSF1/IL1A/IL6/AQP1/IL10/JUN/AREG/MMP2/MMP9/PAX2/PDGFRB/PRKAA1/AXL/MAPK8/BAD/SLC8A1/BMP7/BNIP3/SOD1/TACR1/TNFAIP3/TXN/PCGF2/AKR1C3/IL18RAP/SPHK1/AIFM1/CD36	38	100	-1.5349196107468526
GO:0000768	syncytium formation by plasma membrane fusion	0.00812536273940801	59/16034	0.0032853933813296004	0.04364575676756383	0.035164993572012235	EHD1/MAPK14/IL4/IL4R/CXCL10/ITGB1/MYH9/PTGFRN/WNT1/CAMK1/CAV3/TNFSF14/CD9/GDF15	14	38	-1.565864414596274
GO:0001508	action potential	0.01625072547881602	134/16034	4.107441621605478e-4	0.011860044262215458	0.009555530964112689	CNR1/CNR2/DMD/DSP/ANK2/KCNC2/KCND2/ATP1A1/P2RX1/PKP2/RYR2/SCN4A/SCN9A/SLC8A2/SLC8A1/SLC9A1/SNTA1/TACR1/TNF/SUMO1/CACNB3/CALM3/CAV3/TBX18/AKAP6/CD36/GNA14/KCNE2	28	64	-1.3940141576696148
GO:0001657	ureteric bud development	0.011607661056297156	95/16034	0.0023673663595902487	0.03554002595135382	0.02863427917596084	AGTR2/GLI3/HOXB7/LAMA5/SMAD2/CITED1/PAX2/RARB/SDC4/SHH/SIM1/BMP7/VEGFA/WNT1/WNT6/WNT11/DCHS1/NOG/CER1/MAGED1	20	43	-1.3328034266247182
GO:0001660	fever generation	0.002901915264074289	11/16034	0.003772353094766388	0.04626090937039362	0.03727199849709773	CNR1/IL1A/PTGER3/TNF/TNFSF11	5	9	-1.1551222493872657
GO:0001704	formation of primary germ layer	0.015089959373186303	120/16034	3.6121254575367594e-4	0.011052185563081754	0.008904646478057839	COL6A1/COL8A1/COL11A1/DUSP1/NR0B1/EPHA2/ETS2/ETV2/GATA6/ITGB1/ITGB2/ITGB3/ITGB5/LAMA3/LAMB1/SMAD2/MMP2/MMP9/PAX2/BMP7/TBX6/WNT3/WNT5A/WNT11/NOG/KLF4	26	43	-1.0704391621572271
GO:0001706	endoderm formation	0.00812536273940801	57/16034	0.002331185816998327	0.03514299119946747	0.028314391848257896	COL6A1/COL8A1/COL11A1/DUSP1/NR0B1/GATA6/ITGB2/ITGB5/LAMA3/LAMB1/SMAD2/MMP2/MMP9/NOG	14	42	-1.6659478731532567
GO:0001708	cell fate specification	0.012188044109112013	100/16034	0.0019293334005640193	0.03189250174915548	0.025695501740913906	TBR1/ETV2/GLI3/FOXA2/HOXD10/RBPJ/IHH/ITGB1/MYL2/NTRK3/PAX2/PAX6/SHH/TBX2/TBX5/TBX6/TBX15/WNT5A/WNT11/PTCH2/TBX18	21	82	-1.9295323940259772
GO:0001709	cell fate determination	0.006384213580963436	41/16034	0.003196235431423292	0.04362951994387069	0.03515191170923597	GATA6/IFRD1/PAX2/PAX6/PRRX1/TBX2/WNT1/WNT7A/PTCH2/KLF4/CDC42	11	42	-1.9071099299701446
GO:0001732	formation of cytoplasmic translation initiation complex	0.005803830528148578	16/16034	8.709873807490588e-7	2.8972297364040345e-4	2.3342719339215445e-4	EIF3M/EIF3A/EIF3B/EIF3C/EIF3D/EIF3F/EIF3G/EIF3H/EIF3I/EIF3J	10	16	-1.0373392137308823
GO:0001763	morphogenesis of a branching structure	0.02379570516540917	199/16034	3.041874505294536e-5	0.0026612871806331105	0.0021441751393755353	GNA13/CTSZ/DAG1/AGTR2/EGF/EPHA2/EPHA7/PLXND1/GDF2/GLI3/HGF/HOXB7/IHH/IL10/AREG/LAMA5/MDK/CITED1/PAK1/PAX2/PKD1/PRDM1/SHH/SHOX2/BMP7/ST14/TBX2/TIE1/TNF/VEGFA/WNT1/WNT2/WNT5A/WNT6/CAV3/TP63/DCHS1/SOCS3/NOG/MAGED1/SEMA3E	41	19	0.20179750305272046
GO:0001774	microglial cell activation	0.009866511897852582	43/16034	8.566152850910623e-7	2.8972297364040345e-4	2.3342719339215445e-4	CTSC/AIF1/GRN/IL4/IL6/ITGAM/ITGB2/JAK2/JUN/ATM/PTPRC/CX3CL1/TLR2/TLR3/TNF/CST7/SPHK1	17	47	-1.5842698421389896
GO:0001776	leukocyte homeostasis	0.012188044109112013	102/16034	0.002489619873904399	0.03722059028874465	0.029988294743531905	ADA/BCL2L11/SH2B3/SH2B2/GPR183/AKT1/HIF1A/HMGB1/IL2RA/IL6/IL7R/CXCR2/NF1/PIK3CB/AXL/PKN1/TNFRSF17/SPTA1/TNFAIP3/TNFSF14/CD74	21	23	-0.6583073626908736
GO:0001794	type IIa hypersensitivity	0.0023215322112594312	6/16034	0.0016671090439837307	0.02931922273512274	0.023622233989609748	FCGR1A/FCGR2B/IGHG1/C3	4	NA	NA
GO:0001823	mesonephros development	0.012768427161926872	100/16034	7.987744826332879e-4	0.01848702095863773	0.014894826469346093	AGTR2/GLI3/HOXB7/LAMA5/SMAD2/CITED1/PAX2/PKD1/RARB/REN/SDC4/SHH/SIM1/BMP7/VEGFA/WNT1/WNT6/WNT11/DCHS1/NOG/CER1/MAGED1	22	12	0.03880021908516866
GO:0001890	placenta development	0.016831108531630876	147/16034	8.756809653094105e-4	0.01988456682546935	0.016020816601340988	ADA/TRIM28/PLAC1/MAPK14/EPAS1/AKT1/ETV2/HIF1A/BIRC2/IGF2/RBPJ/IL10/CITED1/PKD1/PPARG/PRDM1/BMP7/SOD1/SOX15/ST14/ZFP36L1/STK3/WNT2/WNT7B/STC2/NCOA1/ALKBH1/SOCS3/DEDD	29	72	-1.476705873514728
