GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	11	0.0020242914979757085	30/16283	0.03333333333333333	1.0987179487179486	0.09572602370952006	0.6035005348087482	0.7234947931917742	0.6636914896969359	DNA2	1	21	-2.2467234946361154	0.10554904291257626
GO:0000012	single strand break repair	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000028	ribosomal small subunit assembly	16	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000038	very long-chain fatty acid metabolic process	19	0.0020242914979757085	33/16283	0.030303030303030304	0.9988344988344988	-0.0011854494424372508	0.6385689551494483	0.7431728146896258	0.6817429470468656	ACSL1	1	24	-2.380254887260638	0.09239547225124238
GO:0000045	autophagosome assembly	74	0.016194331983805668	116/16283	0.06896551724137931	2.273209549071618	2.4341884641051585	0.024944874777784426	0.33590506730241004	0.30813951477269697	PIK3C3/PIP4K2A/ATM/PSEN1/RNF5/STBD1/ULK2/MTM1	8	52	-1.0740032338142838	0.33531889045979774
GO:0000050	urea cycle	12	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000055	ribosomal large subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000056	ribosomal small subunit export from nucleus	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	35	0.012145748987854251	190/16283	0.031578947368421054	1.0408906882591094	0.10028194592543067	0.5184471779736417	0.6735631165189666	0.6178871118549832	ATM/RB1/BUB3/KIF3B/CDC20/INCENP	6	110	-2.1109219534770536	0.12083199545914795
GO:0000076	DNA replication checkpoint signaling	13	0.004048582995951417	20/16283	0.1	3.2961538461538464	1.8174216082160988	0.12198682820757172	0.5138963953415617	0.4714182705717424	DNA2/HUS1	2	12	-0.9939605261407474	0.3621403731022766
GO:0000077	DNA damage checkpoint signaling	40	0.01417004048582996	129/16283	0.05426356589147287	1.7886106141920095	1.59058715627186	0.09782574840160133	0.4954333015183139	0.4544813162781162	ATM/NBN/CDKN1B/MBTPS1/ATR/HUS1/MSH2	7	72	-1.5329570268734343	0.21425334618876637
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	31	0.006072874493927126	75/16283	0.04	1.3184615384615386	0.48894830372461606	0.3986926700877319	0.6034786322515749	0.5535957358758099	TFAP4/CDKN1B/PROX1	3	32	-1.5693246710443092	0.20671048403004694
GO:0000082	G1/S transition of mitotic cell cycle	82	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	50	0.012145748987854251	139/16283	0.04316546762589928	1.4228002213613726	0.8854765595775523	0.24705916651963164	0.5358251932566989	0.491534457574767	AURKA/ATM/NBN/MBTPS1/ATR/HUS1	6	33	-0.9069491491511175	0.39351869155711966
GO:0000132	establishment of mitotic spindle orientation	36	0.0020242914979757085	35/16283	0.02857142857142857	0.9417582417582417	-0.06101106156030633	0.6602105982012938	0.755373203232007	0.6929348645599858	PAFAH1B1	1	23	-2.337695272841842	0.09640052446606984
GO:0000165	MAPK cascade	126	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000183	rDNA heterochromatin formation	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	35	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000209	protein polyubiquitination	137	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000212	meiotic spindle organization	6	0.0020242914979757085	21/16283	0.047619047619047616	1.5695970695970693	0.46198774213030397	0.47658176793149276	0.6460848291538207	0.5926801502468158	AURKA	1	4	-0.5884954180325829	0.5299984908216288
GO:0000226	microtubule cytoskeleton organization	134	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000244	spliceosomal tri-snRNP complex assembly	27	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000245	spliceosomal complex assembly	28	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000255	allantoin metabolic process	8	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000266	mitochondrial fission	17	0.004048582995951417	41/16283	0.04878048780487805	1.6078799249530957	0.6893344984657611	0.35460061731181847	0.5791277833824815	0.5312577020524901	AURKA/BNIP3	2	9	-0.7062784536889664	0.4753701321089339
GO:0000278	mitotic cell cycle	127	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000281	mitotic cytokinesis	63	0.006072874493927126	92/16283	0.03260869565217391	1.0748327759197323	0.12731775446036	0.5318674679140674	0.6805305593527348	0.6242786333382568	IQGAP1/INCENP/ARL3	3	63	-2.2467234946361154	0.10554904291257626
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	14	0.004048582995951417	57/16283	0.03508771929824561	1.156545209176788	0.209416795903296	0.5196249391601014	0.6735631165189666	0.6178871118549832	ZFP36L2/BTG2	2	12	-0.9939605261407474	0.3621403731022766
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	20	0.0020242914979757085	31/16283	0.03225806451612903	1.063275434243176	0.06237385863944021	0.6155518936843081	0.7300748042633917	0.6697276041119108	BTG2	1	6	-0.9939605261407474	0.3621403731022766
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000301	retrograde transport, vesicle recycling within Golgi	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000302	response to reactive oxygen species	15	0.02834008097165992	190/16283	0.07368421052631578	2.428744939271255	3.5039107640677667	0.0020091048042474103	0.12293916947825437	0.11277714960900757	ERN1/BNIP3/SLC8A1/ATM/AIFM1/IL18BP/DHFR/COL6A1/APOE/RIPK1/TXN/PCGF2/APOA4/ATP7A	14	82	-0.9698629745616868	0.370593674209719
GO:0000303	response to superoxide	5	0.006072874493927126	27/16283	0.1111111111111111	3.6623931623931623	2.448991418529874	0.04735625853882616	0.3843111170577717	0.3525443723816228	DHFR/APOA4/ATP7A	3	11	-0.5014840410429532	0.5736476202941342
GO:0000338	protein deneddylation	11	0.004048582995951417	11/16283	0.18181818181818182	5.993006993006993	2.930070610791004	0.04214687790030265	0.37025107241979	0.33964651595086615	COPS6/GPS1	2	10	-0.8116389693467926	0.43069041597448987
GO:0000353	formation of quadruple SL/U4/U5/U6 snRNP	10	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000375	RNA splicing, via transesterification reactions	25	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000380	alternative mRNA splicing, via spliceosome	24	0.0020242914979757085	74/16283	0.013513513513513514	0.44542619542619544	-0.8457405186826108	0.8982266519103421	0.9155077094157508	0.839832824242746	NOVA2	1	12	-1.6871077067006928	0.1840137382365935
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	57	0.0020242914979757085	57/16283	0.017543859649122806	0.578272604588394	-0.5641616268946552	0.827806592873388	0.8652892050599902	0.7937653275864264	NOVA2	1	38	-2.839787216639078	0.058404889177679324
GO:0000387	spliceosomal snRNP assembly	30	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000389	mRNA 3'-splice site recognition	6	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000395	mRNA 5'-splice site recognition	24	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000398	mRNA splicing, via spliceosome	183	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000413	protein peptidyl-prolyl isomerization	28	0.0020242914979757085	23/16283	0.043478260869565216	1.4331103678929764	0.3676565137688061	0.5079000526527364	0.6669602922062604	0.6118300699169558	PPIC	1	3	-0.300813345580802	0.6853015342455059
GO:0000422	autophagy of mitochondrion	23	0.004048582995951417	112/16283	0.017857142857142856	0.588598901098901	-0.7727625332081475	0.858010700344773	0.8862038230286099	0.8129511656693773	BNIP3/ULK2	2	31	-1.9430410808378933	0.14278196161682163
GO:0000423	mitophagy	51	0.004048582995951417	92/16283	0.021739130434782608	0.7165551839464882	-0.4822426677325366	0.7729739115840101	0.8264335585302965	0.7581214471174836	BNIP3/ULK2	2	25	-1.7279297012209476	0.17673039535641868
GO:0000425	pexophagy	11	0.0020242914979757085	11/16283	0.09090909090909091	2.9965034965034967	1.1716178702812767	0.28751405206189007	0.5533178593762497	0.5075811986776826	ATM	1	6	-0.9939605261407474	0.3621403731022766
GO:0000432	positive regulation of transcription from RNA polymerase II promoter by glucose	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000460	maturation of 5.8S rRNA	14	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	25	0.004048582995951417	34/16283	0.058823529411764705	1.938914027149321	0.9693754211557282	0.275981330955375	0.5533178593762497	0.5075811986776826	RPS8/ERCC2	2	1	1.490946123647253	2.1965331226800284
GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	16	0.0020242914979757085	17/16283	0.058823529411764705	1.938914027149321	0.6850936487694758	0.4078525508257447	0.6049713259966728	0.5549650451571867	RPL7	1	3	-0.300813345580802	0.6853015342455059
GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	9	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000470	maturation of LSU-rRNA	9	0.0020242914979757085	26/16283	0.038461538461538464	1.267751479289941	0.24167870621071444	0.5514057004586312	0.6907220716425203	0.6336277261548509	RPL7	1	3	-0.300813345580802	0.6853015342455059
GO:0000472	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	5	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	7	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000492	box C/D snoRNP assembly	10	0.0020242914979757085	10/16283	0.1	3.2961538461538464	1.2847162228294051	0.2652079453199281	0.5399203204591799	0.49529108595563337	RUVBL1	1	5	-0.8116389693467926	0.43069041597448987
GO:0000512	lncRNA-mediated post-transcriptional gene silencing	11	0	0	0	0	0	1	1	1		0	0	0	0
GO:0000578	embryonic axis specification	7	0.004048582995951417	39/16283	0.05128205128205128	1.690335305719921	0.7634593802292615	0.3323646450660752	0.5686136797846679	0.521612682979338	TBX6/STIL	2	9	-0.7062784536889664	0.4753701321089339
GO:0000712	resolution of meiotic recombination intermediates	17	0.0020242914979757085	16/16283	0.0625	2.0600961538461537	0.75039780347912	0.3893068816510744	0.5961617236066307	0.5468836350504315	ERCC4	1	3	-0.300813345580802	0.6853015342455059
GO:0000722	telomere maintenance via recombination	10	0.0020242914979757085	14/16283	0.07142857142857142	2.354395604395604	0.8967454074668997	0.35045858866446145	0.576355858232625	0.5287149012620095	ERCC4	1	8	-1.2816425985925282	0.27413452421787676
GO:0000723	telomere maintenance	56	0.016194331983805668	161/16283	0.049689440993788817	1.637840420449116	1.4386513390224622	0.11727112515118941	0.5138963953415617	0.4714182705717424	RUVBL1/ATM/NBN/ERCC4/DNA2/SP100/ATR/HUS1	8	65	-1.2971467851284935	0.27001737958954103
GO:0000724	double-strand break repair via homologous recombination	102	0.016194331983805668	185/16283	0.043243243243243246	1.4253638253638254	1.0292016954525902	0.2008398141149054	0.5272374591881928	0.4836565763920934	REV3L/RUVBL1/BRD8/ATM/NBN/ERCC4/FANCB/HUS1	8	76	-1.4534928555191875	0.23167438436615295
GO:0000725	recombinational repair	6	0.016194331983805668	190/16283	0.042105263157894736	1.3878542510121459	0.9511891504610147	0.22073207989568225	0.5272374591881928	0.4836565763920934	REV3L/RUVBL1/BRD8/ATM/NBN/ERCC4/FANCB/HUS1	8	78	-1.4794683419224481	0.2258342129604268
