GO_ID	Description	GeneSetSize	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	bp_gene_length	log_observed_expected	pseudocount
GO:0000002	mitochondrial genome maintenance	30	0.002901915264074289	30/16034	0.21513331894107124	0.44563330352079045	0.3590427435417764	AKT3/DNA2/LIG3/MEF2A/TOP3A	5	21	0.8849903703312787	1.618233271516438
GO:0000003	reproduction	1410	0	0	1	1	1		0	0	0	0
GO:0000012	single strand break repair	11	0.0011607661056297156	11/16034	0.3344094121828789	0.5793736077894798	0.46679610350694317	ERCC8/TNP1	2	11	0.6153268033821762	1.3745924135103433
GO:0000017	alpha-glucoside transport	2	0	0	1	1	1		0	0	0	0
GO:0000018	regulation of DNA recombination	132	0.009866511897852582	131/16034	0.24015882775635114	0.48644793695052213	0.3919267265104755	ALYREF/POLQ/BRD8/H1-5/H1-6/IL4/IL7R/IL10/PTPRC/BCL6/RPA2/SUPT6H/TNFSF4/YEATS4/ACTL6A/RUVBL1/CD28	17	89	0.6646518699446774	1.4182220911020134
GO:0000019	regulation of mitotic recombination	7	0	0	1	1	1		0	0	0	0
GO:0000022	mitotic spindle elongation	12	5.803830528148578e-4	11/16034	0.7137604199082022	0.8018145600742266	0.646014777590252	AURKB	1	8	0.24063335394076543	1.0612966351211328
GO:0000023	maltose metabolic process	3	0	0	1	1	1		0	0	0	0
GO:0000025	maltose catabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000027	ribosomal large subunit assembly	25	5.803830528148578e-4	24/16034	0.934811126660823	0.9482049649694906	0.7639602098246161	RPL38	1	15	-0.3879753054816087	0.634905473672001
GO:0000028	ribosomal small subunit assembly	17	0.0011607661056297156	17/16034	0.5590424624066577	0.7128722593132978	0.574354766029577	RPL38/RPS19	2	8	0.9337805345007107	1.6634894274271734
GO:0000038	very long-chain fatty acid metabolic process	35	0.002901915264074289	33/16034	0.2779086883763686	0.524351097199355	0.42246496173016357	ACSL1/ABCD4/ELOVL4/CYP4F2/HACD1	5	24	0.7514589777067561	1.4960870736202494
GO:0000041	transition metal ion transport	93	0.002901915264074289	93/16034	0.9768751993277387	0.9806778554630337	0.7901233255554614	ABCB7/HRG/IREB2/ARHGAP1/SLC30A4	5	55	-0.07782037717776936	0.8274300251185925
GO:0000045	autophagosome assembly	106	0.005803830528148578	106/16034	0.7148711121914042	0.802937362130056	0.6469194091054337	TOM1/PIK3C3/PIP4K2A/RAB1A/RALB/IFT88/STBD1/ATG12/FEZ2/LRBA	10	52	0.6714162700332197	1.424241425656095
GO:0000050	urea cycle	10	0	0	1	1	1		0	0	0	0
GO:0000052	citrulline metabolic process	8	5.803830528148578e-4	8/16034	0.5973446442866623	0.7318333349837104	0.5896315341154043	ALDH18A1	1	5	0.7106369831865009	1.4593059675265867
GO:0000053	argininosuccinate metabolic process	1	0	0	1	1	1		0	0	0	0
GO:0000054	ribosomal subunit export from nucleus	15	0	0	1	1	1		0	0	0	0
GO:0000055	ribosomal large subunit export from nucleus	8	0	0	1	1	1		0	0	0	0
GO:0000056	ribosomal small subunit export from nucleus	8	0	0	1	1	1		0	0	0	0
GO:0000070	mitotic sister chromatid segregation	197	0.013348810214741729	195/16034	0.3500312586321667	0.6025210294595652	0.4854457729025747	CENPC/CENPE/CHEK2/DUSP1/PDS5B/IK/KIF25/MAD2L1/ATM/NEK2/PPP2R1A/RB1/BUB1B/MAD1L1/CUL3/TNKS/CCNB1/BUB3/AURKB/KIF3B/MAD2L1BP/CDC20/NCAPD2	23	110	0.7550887457573348	1.4993710585543532
GO:0000075	cell cycle checkpoint signaling	187	0.014509576320371444	186/16034	0.1419067872634442	0.3606859946600952	0.29060146101448936	CDK2/TOPBP1/CHEK2/MAPK14/DNA2/DUSP1/FANCD2/GML/IK/MAD2L1/ATM/RAD17/RPA2/RPL26/BUB1B/MAD1L1/CDC14B/THOC5/CCNB1/BUB3/AURKB/TAOK2/MAD2L1BP/TTI1/CDC20	25	106	0.8755116263767347	1.6094775024269192
GO:0000076	DNA replication checkpoint signaling	18	0.0017411491584445734	18/16034	0.30416824015460525	0.5477303895651882	0.4413014472593525	TOPBP1/DNA2/RAD17	3	12	0.9337805345007107	1.6634894274271734
GO:0000077	DNA damage checkpoint signaling	122	0.00812536273940801	121/16034	0.4270878372118757	0.6458684303729512	0.5203703838470107	CDK2/TOPBP1/CHEK2/MAPK14/FANCD2/GML/ATM/RAD17/RPA2/RPL26/CDC14B/THOC5/TAOK2/TTI1	14	72	0.6824661062198044	1.4340922869225974
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	102	0.006384213580963436	100/16034	0.5148938728381958	0.6963942041139936	0.5610785451990237	CCNO/CCNI/AKT1/PKD1/TFAP4/TNFAIP3/CCNK/CCNA1/CCNB1/CCND2/CCNT2	11	32	1.2522342656192451	1.96521212131857
GO:0000080	mitotic G1 phase	2	0	0	1	1	1		0	0	0	0
GO:0000082	G1/S transition of mitotic cell cycle	223	0	0	1	1	1		0	0	0	0
GO:0000083	regulation of transcription involved in G1/S transition of mitotic cell cycle	22	0.0023215322112594312	22/16034	0.2057307455860205	0.4400441809734791	0.3545396377875086	ESRRB/CDK17/RB1/ZPR1	4	0	0	0
GO:0000086	G2/M transition of mitotic cell cycle	134	0.009866511897852582	134/16034	0.27031589980996695	0.5192847130330782	0.41838302158672064	CDK2/CDK6/KHDRBS1/TOPBP1/CHEK2/ESRRB/HSPA2/ATM/ABCB1/RAD17/RFPL1/AURKA/CALM3/CDC14B/CCNB1/AURKB/TAOK2	17	33	1.656780678210337	2.3589027770393765
GO:0000096	sulfur amino acid metabolic process	32	0.0011607661056297156	32/16034	0.8725878264824026	0.9041629860549601	0.7284759836333743	DPEP1/CBS	2	25	-0.20565374868765413	0.7436522481996086
GO:0000097	sulfur amino acid biosynthetic process	16	5.803830528148578e-4	16/16034	0.8379466379761814	0.8797343228883405	0.7087940294905734	CBS	1	11	-0.077820377177769115	0.8274300251185928
GO:0000098	sulfur amino acid catabolic process	9	5.803830528148578e-4	9/16034	0.640635245677782	0.7578681371296304	0.6106075399843245	CBS	1	7	0.3741647465652881	1.1688465607080973
GO:0000101	sulfur amino acid transport	13	0.0011607661056297156	13/16034	0.41487647435539876	0.6458684303729512	0.5203703838470107	SLC7A9/SLC7A5	2	10	0.7106369831865009	1.4593059675265867
GO:0000103	sulfate assimilation	2	0	0	1	1	1		0	0	0	0
GO:0000105	histidine biosynthetic process	2	0	0	1	1	1		0	0	0	0
GO:0000117	regulation of transcription involved in G2/M transition of mitotic cell cycle	2	0	0	1	1	1		0	0	0	0
GO:0000122	negative regulation of transcription by RNA polymerase II	929	0	0	1	1	1		0	0	0	0
GO:0000132	establishment of mitotic spindle orientation	34	0.0017411491584445734	33/16034	0.7037859870112256	0.8018145600742266	0.646014777590252	ITGB1/MAD2L1/PAX6	3	23	0.2831929683595615	1.0950239112826248
GO:0000154	rRNA modification	34	5.803830528148578e-4	33/16034	0.9766114620180435	0.9805494114616647	0.7900198393790947	FBL	1	18	-0.5702968622755634	0.5388932520739229
GO:0000160	phosphorelay signal transduction system	1	0	0	1	1	1		0	0	0	0
GO:0000165	MAPK cascade	756	0	0	1	1	1		0	0	0	0
GO:0000183	rDNA heterochromatin formation	9	5.803830528148578e-4	9/16034	0.640635245677782	0.7578681371296304	0.6106075399843245	SIRT2	1	4	0.9337805345007107	1.6634894274271734
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	40	0.0023215322112594312	39/16034	0.6157966126831251	0.7508033985998168	0.6049155437082177	ETF1/CASC3/NCBP1/UPF1	4	25	0.4874934318722912	1.2638508373425519
GO:0000209	protein polyubiquitination	239	0	0	1	1	1		0	0	0	0
GO:0000212	meiotic spindle organization	16	0.0017411491584445734	15/16034	0.21342458124895625	0.4431106673946846	0.35701027830967014	MYH9/PPP2R1A/AURKA	3	4	2.0323928231688204	2.7298043038261617
GO:0000226	microtubule cytoskeleton organization	629	0	0	1	1	1		0	0	0	0
GO:0000244	spliceosomal tri-snRNP complex assembly	26	5.803830528148578e-4	26/16034	0.9480877767127829	0.9583065279455494	0.7720989482365107	USP4	1	11	-0.077820377177769115	0.8274300251185928
GO:0000245	spliceosomal complex assembly	90	0.005803830528148578	90/16034	0.5054647111779769	0.6868574857764718	0.553394897030818	CELF1/PUF60/NCBP1/RNU2-1/SMN1/SNRPA1/SNRPB/GEMIN2/SRSF9/SCAF11	10	39	0.9590983424850005	1.6870917312173885
GO:0000255	allantoin metabolic process	7	0.0011607661056297156	7/16034	0.16845721232279373	0.38913292712184694	0.3135208985783349	ADA/XDH	2	4	1.626927715060656	2.329594209185483
GO:0000256	allantoin catabolic process	0	0	0	1	1	1		0	0	0	0
GO:0000266	mitochondrial fission	40	0.0023215322112594312	40/16034	0.6361661210468152	0.7578681371296304	0.6106075399843245	PPARG/BNIP3/AURKA/AP3B1	4	9	1.5091446794042724	2.2142949122852107
GO:0000270	peptidoglycan metabolic process	6	0	0	1	1	1		0	0	0	0
GO:0000271	polysaccharide biosynthetic process	66	0.011027278003482298	66/16034	4.288799499446984e-5	0.0030969421185506668	0.0024951784035203662	B3GNT2/EGF/AKT1/AKT2/GSK3A/GSK3B/GYS2/HAS3/NDST1/IGF1/IGF2/IRS1/NFKB1/ENPP1/PPP1R3C/NDST2/IRS2/B4GALT5/EPM2AIP1	19	10	2.961928781792996	3.6557440080274093
GO:0000272	polysaccharide catabolic process	20	0.0023215322112594312	20/16034	0.16080059582919987	0.38913292712184694	0.3135208985783349	G6PC1/AOAH/PYGL/STBD1	4	5	2.0969313443063915	2.7938293334169333
GO:0000278	mitotic cell cycle	896	0	0	1	1	1		0	0	0	0
GO:0000280	nuclear division	441	0	0	1	1	1		0	0	0	0
GO:0000281	mitotic cytokinesis	83	0.0046430644225188625	82/16034	0.6667970503678905	0.7823025994917189	0.6302941664867427	PDCD6IP/STMN1/RTKN/SPTBN1/USP8/AURKB/ROCK2/KIF20B	8	63	0.25638171090890455	1.07371442578632
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	67	0.003482298316889147	66/16034	0.7262607394905578	0.8119412912000802	0.6541737937540133	CNOT1/TNRC6B/TUT4/POLR2D/ZFP36L1/CSDE1	6	12	1.626927715060656	2.329594209185483
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	34	0.0017411491584445734	33/16034	0.7037859870112256	0.8018145600742266	0.646014777590252	CNOT1/TNRC6B/TUT4	3	6	1.626927715060656	2.329594209185483
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	10	0	0	1	1	1		0	0	0	0
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	19	0	0	1	1	1		0	0	0	0
GO:0000294	nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay	3	0	0	1	1	1		0	0	0	0
GO:0000296	spermine transport	3	0	0	1	1	1		0	0	0	0
GO:0000301	retrograde transport, vesicle recycling within Golgi	9	0	0	1	1	1		0	0	0	0
