GeneID	GSE84076_MTB_control_blood_dn.tsv	GSE148171_MTB_control_blood_PBMC_dn.tsv	GSE198557_MTB_control_blood_PBMC_dn.tsv	GSE132283_MTB_control_blood_macrophage_dn.tsv	GSE143627_MTB_control_PBMC_macrophage_dn.tsv	GSE148731_MTB_control_blood_monocytes_dn.tsv	GSE174566_MTB_control_blood_PBMC_dn.tsv	GSE193777_MTB_control_blood_dn.tsv	GSE64179_MTB_control_blood_dendritic_cells_dn.tsv	GSE64182_MTB_control_blood_dendritic_cells_dn.tsv	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_dn.tsv	GSE141656_MTB_control_blood_blood_dn.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_dn.tsv	GSE183912_MTB_control_blood_marcophages_dn.tsv	GSE211974_MTB_control_blood_THP-1_dn.tsv	GSE211974_MTB_control_48h_blood_THP-1_dn.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_dn.tsv
8284	0	-1.6323548427641337	-0.5442720922975494	0	-0.07347290982788987	0	-0.24493395969178555	0	0	-0.3780456957442103	0	-0.03488822900098485	0	-0.03305117476219076	0	-0.01595579789856334	-0.01595579789856334	-0.4181234658409288
9086	0	0	0	0	0	0	0	0	0	-0.2416806797697261	-0.2020877303133373	0	0	0	-0.06930644509214562	-0.0722127244129463	-0.0722127244129463	-0.29899855132655384
5616	0	-1.7883808978206817	-0.9323272319956256	0	-0.25782882049049044	0	-0.4622466392580988	0	-1.1958400180229731	-0.6472634472639189	0	0	0	0	-0.12370568530364329	-0.12971100614587394	-0.12971100614587394	-0.4161766358021703
107075141	0	-4.130371068113826	-0.1951542699744085	-0.00575777164747549	-0.6722620426326553	-0.03143158558793042	0	0	0	-0.2584639220295285	-0.26597010445672337	0	0	-0.01880834958850509	-0.05960102687101989	-0.47030579463070793	-0.47030579463070793	0
8287	0	-0.970170277553696	-0.2785390865829271	-0.1506124268860486	0	0	-0.43208701366304864	0	-0.23014915222543136	-1.1347213535758962	0	0	-0.3140305273843631	0	-0.4495794802027983	0	0	-0.12366405953245078
105377225	0	-1.772774734490116	-1.0372377193657107	0	0	0	-0.8160965898442896	0	0	-0.4630102530232945	0	0	0	0	-0.24971473722573928	-0.20915688271665409	-0.20915688271665409	0
106478943	0	0	0	0	0	0	0	-0.8910283248876891	0	0	0	0	0	0	0	-0.5191609805594025	-0.5191609805594025	0
100887749	0	-0.8719010745042088	-1.7123104573230423	0	-0.7171410593312811	0	0	0	-0.18570020986541064	-0.8352068765677653	-0.09274577390780989	-0.2631056964665475	0	0	0	0	0	0
3048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107075270	0	-0.23956036482966944	-0.6325494768467045	-0.25640464641519484	-0.2235137279707256	-0.1167740460516494	0	0	0	-0.03196548592674158	-0.4609052347120709	0	-0.4866151964945947	0	0	-0.9044295447445232	-0.9044295447445232	0
