names	GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	GSE132283_MTB_control_blood_macrophage_up.tsv	GSE141656_MTB_control_blood_blood_up.tsv	GSE143627_MTB_control_PBMC_macrophage_up.tsv	GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE148171_MTB_control_blood_PBMC_up.tsv	GSE148731_MTB_control_blood_monocytes_up.tsv	GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	GSE174566_MTB_control_blood_PBMC_up.tsv	GSE183912_MTB_control_blood_marcophages_up.tsv	GSE193777_MTB_control_blood_up.tsv	GSE198557_MTB_control_blood_PBMC_up.tsv	GSE211974_MTB_control_48h_blood_THP-1_up.tsv	GSE211974_MTB_control_blood_THP-1_up.tsv	GSE236156_MTB_control_blood_monocyte_derived_macrophage_up.tsv	GSE64179_MTB_control_blood_dendritic_cells_up.tsv	GSE64182_MTB_control_blood_dendritic_cells_up.tsv	GSE84076_MTB_control_blood_up.tsv
GSE110564_MTB_control_blood_lymphatic_endothelial_cell_up.tsv	1	0.2	0.11864406779661017	0.23703703703703705	0.013888888888888888	0.06439393939393939	0.15546218487394958	0.09558823529411764	0.08888888888888889	0.17721518987341772	0.12547528517110265	0.07333333333333333	0.14285714285714285	0.14285714285714285	0.09803921568627451	0.13468013468013468	0.1284722222222222	0.03571428571428571
GSE132283_MTB_control_blood_macrophage_up.tsv	0.2	1	0.18324607329842932	0.31155778894472363	0.012121212121212121	0.2057877813504823	0.43023255813953487	0.13023255813953488	0.20123839009287925	0.13333333333333333	0.16766467065868262	0.19197707736389685	0.16444444444444445	0.16444444444444445	0.26570048309178745	0.3220858895705521	0.29721362229102166	0.0111731843575419
GSE141656_MTB_control_blood_blood_up.tsv	0.11864406779661017	0.18324607329842932	1	0.19548872180451127	0.015625	0.07058823529411765	0.21363636363636362	0.19491525423728814	0.12598425196850394	0.08974358974358974	0.04727272727272727	0.06440677966101695	0.059602649006622516	0.059602649006622516	0.2698412698412698	0.14634146341463414	0.13214285714285715	0
GSE143627_MTB_control_PBMC_macrophage_up.tsv	0.23703703703703705	0.31155778894472363	0.19548872180451127	1	0.02040816326530612	0.14925373134328357	0.3422222222222222	0.13548387096774195	0.1423487544483986	0.2	0.16606498194945848	0.13680781758957655	0.23417721518987342	0.23417721518987342	0.25	0.23389830508474577	0.19727891156462585	0.02702702702702703
GSE143731_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.013888888888888888	0.012121212121212121	0.015625	0.02040816326530612	1	0	0.009708737864077669	0.025	0.008888888888888889	0.08333333333333333	0.0043859649122807015	0	0.01	0.01	0.01	0.007462686567164179	0.0038910505836575876	0
GSE148171_MTB_control_blood_PBMC_up.tsv	0.06439393939393939	0.2057877813504823	0.07058823529411765	0.14925373134328357	0	1	0.2682926829268293	0.04693140794223827	0.09571788413098237	0.04	0.3083832335329341	0.6535714285714286	0.14022140221402213	0.14022140221402213	0.17490494296577946	0.21012658227848102	0.1918158567774936	0.004405286343612335
GSE148731_MTB_control_blood_monocytes_up.tsv	0.15546218487394958	0.43023255813953487	0.21363636363636362	0.3422222222222222	0.009708737864077669	0.2682926829268293	1	0.14979757085020243	0.23275862068965517	0.10679611650485436	0.22792022792022792	0.2452316076294278	0.17898832684824903	0.17898832684824903	0.33480176211453744	0.36416184971098264	0.35294117647058826	0.0136986301369863
GSE164287_MTB_control_blood_monocyte_derived_macrophages_up.tsv	0.09558823529411764	0.13023255813953488	0.19491525423728814	0.13548387096774195	0.025	0.04693140794223827	0.14979757085020243	1	0.15648854961832062	0.07368421052631578	0.0627177700348432	0.054140127388535034	0.05357142857142857	0.05357142857142857	0.14935064935064934	0.15719063545150502	0.1360544217687075	0
GSE174566_MTB_control_blood_PBMC_up.tsv	0.08888888888888889	0.20123839009287925	0.12598425196850394	0.1423487544483986	0.008888888888888889	0.09571788413098237	0.23275862068965517	0.15648854961832062	1	0.037815126050420166	0.1306532663316583	0.14148681055155876	0.06976744186046512	0.06976744186046512	0.15	0.2430379746835443	0.25392670157068065	0.016877637130801686
GSE183912_MTB_control_blood_marcophages_up.tsv	0.17721518987341772	0.13333333333333333	0.08974358974358974	0.2	0.08333333333333333	0.04	0.10679611650485436	0.07368421052631578	0.037815126050420166	1	0.07327586206896551	0.026119402985074626	0.07079646017699115	0.07079646017699115	0.07079646017699115	0.07806691449814127	0.07335907335907337	0.02564102564102564
