series_id	 SIGNATURE_NAME                                          	 	 signature	 up_genes_num	 dn_genes_num
GSE84076 	 GSE84076_MTB_control_blood                              	 	         1	           17	            6
GSE148171	 GSE148171_MTB_control_blood_PBMC                        	 	         1	          211	           28
GSE198557	 GSE198557_MTB_control_blood_PBMC                        	 	         1	          252	           28

GSE112482	 GSE112482_MTB_control_lung_ILC1                         	 	         1	            1	            2
GSE112482	 GSE112482_MTB_control_lung_ILC2                         	 	         1	            1	            2
GSE112482	 GSE112482_MTB_control_lung_ILC3neg                      	 	         1	            1	            2
GSE112482	 GSE112482_MTB_control_lung_ILC3pos                      	 	         1	            1	            2
GSE112482	 GSE112482_MTB_control_lung_NK                           	 	         1	            1	            2
GSE112482	 GSE112482_MTB_control_lung_susp                         	 	         1	            1	            2

GSE236156	 GSE236156_MTB_control_BALF_alveolar_macrophage          	 	         1	           98	           83
GSE236156	 GSE236156_MTB_control_blood_monocyte_derived_macrophage 	 	         1	           98	           83

GSE112483	 GSE112483_MTB_control_lung_AM                           	 	         0	            0	            0
GSE112483	 GSE112483_MTB_control_lung_endo                         	 	         0	            0	            0
GSE112483	 GSE112483_MTB_control_lung_gd                           	 	         0	            0	            0
GSE112483	 GSE112483_MTB_control_lung_mait                         	 	         0	            0	            0
GSE112483	 GSE112483_MTB_control_lung_NK                           	 	         0	            0	            0
GSE112483	 GSE112483_MTB_control_lung_NKT                          	 	         0	            0	            0
GSE112483	 GSE112483_MTB_control_lung_epi                          	 	         0	            0	            0

GSE132283	 GSE132283_MTB_control_blood_macrophage                  	 	         1	          165	           31
GSE143627	 GSE143627_MTB_control_PBMC_macrophage                   	 	         1	           97	           81
GSE148731	 GSE148731_MTB_control_blood_monocytes                   	 	         1	          206	           89
GSE174566	 GSE174566_MTB_control_blood_PBMC                        	 	         1	          225	           79
GSE193777	 GSE193777_MTB_control_blood                             	 	         1	          226	          101
GSE223863	 GSE223863_MTB_control_2h_BALF_alveolar_macrophage       	 	         0	            0	            0
GSE223863	 GSE223863_MTB_control_24h_BALF_alveolar_macrophage      	 	         0	            0	            0
GSE223863	 GSE223863_MTB_control_72h_BALF_alveolar_macrophage      	 	         0	            0	            0
GSE256184	 GSE256184_MTB_control_HEPG2_HepG2                       	 	         1	          258	           59
GSE64179 	 GSE64179_MTB_control_blood_dendritic_cells              	 	         1	          268	          258
GSE64182 	 GSE64182_MTB_control_blood_dendritic_cells              	 	         1	          256	           67
GSE121049	 GSE121049_MTB_control_blood_blood                       	 	         0	            0	            0
GSE141656	 GSE141656_MTB_control_blood_blood                       	 	         1	           62	           22
GSE143731	 GSE143731_MTB_control_blood_monocyte_derived_macrophages	 	         1	            3	            5
GSE164287	 GSE164287_MTB_control_blood_monocyte_derived_macrophages	 	         1	           79	           91
GSE165708	 GSE165708_MTB_control_BAL_bronchoalveolar_lavage        	 	         1	           23	            1
GSE183912	 GSE183912_MTB_control_blood_marcophages                 	 	         1	           24	            2
