GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
10007	0	-0.07335455640260014	-0.8938724949175336	-0.660345206651207	0
1001	0	0	-4.0595560316064	0	-0.574171427657006
10013	-0.04568053931143101	-0.18243029564272883	0	0	0
10038	-1.035123169996138	0	-0.12628903031019473	0	-2.106134030670153
10046	0	-0.03272078914898005	-0.18083086858785308	0	-2.0619022559599216
10049	-0.6636336792508154	0	-0.7999215970559304	0	-0.2861921632068252
10051	0	0	-0.2073589764875997	0	0
10057	0	0	0	0	-0.08985963472814221
10058	-0.7040310541989218	0	0	0	-0.03296572591146862
10059	-0.02669588280366596	0	-0.03095232715018703	0	0
10099	0	-0.02110271615533238	-0.1338332075360521	0	-0.0841788462565779
10112	0	-0.00410543627559505	0	0	0
10123	-1.4571730568926131	0	0	-4.226703713373279	-0.07617512289411676
10131	-0.26664163825399867	0	0	0	0
10146	0	0	0	-13.48174968509375	-0.9203178166292844
10150	-1.4764743212264813	0	0	-0.4374156870191313	-0.3659458193204306
10153	0	0	0	-1.7870123754167504	-0.12919327170051342
10165	-0.3837270626580582	0	0	0	-0.00551428684740162
1017	-1.5781984392853845	0	0	0	0
10174	0	0	0	0	-0.24812623464920036
10180	-0.7511149862589799	0	0	0	-0.4726115878504045
1019	-2.091200451182031	0	0	0	-0.016959423763722722
10190	0	0	0	0	-0.39458103611369744
102	-4.624105384874918	-0.5035646417159283	-1.5970964091782394	0	-0.37020964307683046
10206	0	0	0	0	-0.06432530106114726
1021	-0.5788755037195372	0	0	0	-0.00881186810174326
1022	-0.09980803625538326	-0.00150885727790051	-0.9114629227732802	0	0
10221	-0.4146295076042096	-0.017998364533861	-0.07010615639075674	0	-0.04373394481336223
10227	0	0	-0.07311047306761803	0	-0.07207412380779138
10237	-0.01748516796026732	0	-0.00408336737709508	0	-0.07207412380779138
10245	-0.04899147900657107	0	-0.00408336737709508	0	-0.07207412380779138
1026	-1.3746757875346969	0	-0.07296067129857234	-0.7059672721985629	-0.00254630966313107
1027	0	-0.08930059417811675	0	-0.7059672721985629	0
10270	-0.01237916120423782	0	0	-2.4922867966380493	-0.18800073557994013
10273	-0.3924396746565193	0	0	0	-0.18800073557994013
10276	-0.03487952161166863	-0.00286799020636877	-0.3446349198605473	0	-0.18800073557994013
10285	-0.1573065311247221	0	0	0	-0.18800073557994013
1029	0	-0.2166763109796529	-0.10401009023163764	-0.7059672721985629	-0.02709596059075303
10298	-0.17801518719454434	0	0	0	-0.18800073557994013
10318	0	0	0	0	0
10320	-0.7830636514347671	0	0	-1.5156268590587674	0
10329	0	0	0	0	0
10362	-0.14899066046706444	0	0	-1.498698723323733	-0.09609810887000315
10398	-0.4781263146015555	0	-3.4406286071269125	-3.43643301568179	-0.03966840775682156
10434	-0.4362414175433747	0	0	0	0
10450	-0.08028507755643377	0	0	0	0
10451	0	0	0	-0.02696341758280152	0
10489	0	-0.39328830074617016	-0.04036859860313089	0	0
10491	0	-0.518480021904768	-0.02547102118679817	0	0
10493	-0.382224198598315	-0.03046418033758374	-0.08959289101770757	0	0
10494	0	-0.06520659753325353	0	0	0
1050	-1.83739913870677	0	0	-0.3467903182470471	-0.11952294732366252
10513	-0.03434267634904071	-0.05894340165479067	0	0	-0.0100509017059594
1052	0	-0.6761603019154796	0	0	-0.6519401695536091
10523	-0.4525067522086242	-0.00553262784549474	-0.22888541539309423	-0.11851753059511494	0
10525	0	-0.0190787148494789	-0.09176502646267276	-1.8711786807771675	-0.05246383026196177
10557	-0.03560133539923393	0	-0.03827950914109142	0	-0.1002156073677618
10559	-1.2169991906191095	-0.07714175599547413	0	0	0
10589	-0.6480814758327293	-0.02123000879815875	-0.05633350939769176	0	0
10606	0	0	0	0	0
10610	-0.7466643584042176	0	0	-0.4767255816928999	-0.00568982138157614
10617	-12.029487798299396	-0.01812338406880165	-0.00723622784231273	-1.18284178797933	-0.02449106947151496
1062	-0.4967517606422668	0	-0.16505135808875004	0	-1.1834298422480547
10641	0	-0.01344597913642722	-0.00689072080345573	0	0
10644	-0.14910494740526836	0	-0.01952485478058693	0	0
10652	0	0	-0.0411076724269081	-0.5058655728891419	0
10668	0	0	0	0	0
10670	0	-1.9443636440304228	-0.1220587120275281	-0.09741569932298422	0
10681	0	-0.13603292929852984	-0.7264671913997351	-2.660354645356065	0
10682	0	-0.06824813528815943	-0.03207951072440748	-1.5704903533504124	0
10695	-1.651181275319499	0	0	0	-0.14978346895541322
1070	0	-0.01250659553211376	-0.07100253055317463	0	-0.12326592206730291
10730	0	0	0	0	-0.01672903793757393
10732	-0.36114947009718135	-0.42469515672066827	0	0	-0.16562742159336907
10765	0	-0.0204683333293128	-0.01829823939289124	0	0
10775	-0.3644528241914438	-0.3801322883486946	0	0	0
10776	-1.9952712426413088	-0.7270662320842343	0	-0.4298374332060422	0
10782	0	0	-0.913989686334126	-0.8430171673531359	0
10797	0	0	0	0	0
10810	0	0	0	0	-0.00112749347306734
10813	-0.19996789127516595	0	0	0	-0.0409659586211556
10818	0	-0.389005298867711	0	-0.7265352687156672	0
10845	0	-2.2003527386507256	0	0	0
10857	-0.12969119687821723	0	0	-0.04152867533433624	-0.10098838979971432
10892	-0.24999480094442755	0	-0.6626218252914108	0	0
10898	0	0	0	-2.858299412178531	-0.00267654935919167
10904	0	-0.00832202754412203	0	0	-0.0698309633877766
10915	-0.7399076014031468	0	0	0	0
10921	0	0	-0.7363695273217301	0	0
10953	-0.3508213516131516	0	-0.07144955121683855	-1.6415722043164809	-0.2939314629432972
10954	-0.00515583588959556	0	-0.07144955121683855	0	0
10962	-0.03737988468175168	0	-0.07144955121683855	0	0
10969	-3.1803224672400745	0	-0.07144955121683855	-3.953984784467204	0
10972	0	0	-0.07144955121683855	-1.2961752422961614	0
10973	0	0	-0.07144955121683855	0	0
11000	0	0	-0.05839209904889975	0	-0.18103407113868017
11004	0	-0.02508429880310447	0	-2.584085099375212	-0.05285527222376901
11007	0	0	0	0	0
11011	-0.1823120044893316	-0.2412396567577384	0	-0.03649152566247316	-0.4367292925273414
11014	-2.761174105363557	0	-0.1975913872669258	0	-0.25496926880383064
11031	-6.058343920446414	-0.03044097814563123	-0.8395968917002032	0	0
11041	0	0	0	0	-0.03511588502797978
11044	0	0	0	0	-0.16268386935667234
11065	-0.1752407453765624	-0.01728267582951145	0	-1.4013429208335817	0
11072	-0.9517960477041844	-0.06808318568805807	0	-3.004850675225673	0
11073	-0.2163129729665152	0	0	0	0
11098	0	0	0	-2.9286280920650123	-0.2207223684251776
1111	-2.036380225483012	-0.2495855033726473	0	0	0
11137	-0.09735974535811298	-0.04305900417468272	-0.216227827828316	0	-0.04079665377095454
11142	0	0	0	0	0
11151	-0.605482869359628	-0.3247611152314356	0	0	-0.1647353944049396
11157	-0.02104104832949063	0	-0.15223841040810626	0	0
11168	0	-0.01175383375474609	0	0	-0.0737445753159793
