names	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv
GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	1	0.02912621359223301	0	0.04081632653061224	0.01020408163265306	0.02459016393442623	0.011627906976744186	0.011627906976744186	0	0.05384615384615385	0.04666666666666667	0.04666666666666667
GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv	0.02912621359223301	1	0	0.021505376344086023	0	0.046875	0	0	0	0.01282051282051282	0.042105263157894736	0.042105263157894736
GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	0	0	1	0.025974025974025976	0	0.02	0	0	0	0	0.024691358024691357	0.024691358024691357
GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	0.04081632653061224	0.021505376344086023	0.025974025974025976	1	0.023255813953488372	0.05555555555555555	0.013333333333333334	0.013333333333333334	0.013513513513513514	0.06779661016949153	0.028169014084507043	0.028169014084507043
GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	0.01020408163265306	0	0	0.023255813953488372	1	0.034482758620689655	0	0	0	0.02857142857142857	0	0
GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	0.02459016393442623	0.046875	0.02	0.05555555555555555	0.034482758620689655	1	0	0	0	0.053763440860215055	0.04424778761061947	0.04424778761061947
GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	0.011627906976744186	0	0	0.013333333333333334	0	0	1	1	0	0	0	0
GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	0.011627906976744186	0	0	0.013333333333333334	0	0	1	1	0	0	0	0
GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	0	0	0	0.013513513513513514	0	0	0	0	1	0	0	0
GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	0.05384615384615385	0.01282051282051282	0	0.06779661016949153	0.02857142857142857	0.053763440860215055	0	0	0	1	0.056910569105691054	0.056910569105691054
GSE83456_GPL10558_EPTB_control_blood_dn.tsv	0.04666666666666667	0.042105263157894736	0.024691358024691357	0.028169014084507043	0	0.04424778761061947	0	0	0	0.056910569105691054	1	1
GSE83456_GPL10558_PTB_control_blood_dn.tsv	0.04666666666666667	0.042105263157894736	0.024691358024691357	0.028169014084507043	0	0.04424778761061947	0	0	0	0.056910569105691054	1	1
