GeneID	GSE16250_GPL570_MTB_control_blood_pmbc_dn.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_dn.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_dn.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_dn.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_dn.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_dn.tsv	GSE42830_GPL10558_MTB_control_blood_whole_blood_dn.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_dn.tsv	GSE83456_GPL10558_EPTB_control_blood_dn.tsv	GSE83456_GPL10558_PTB_control_blood_dn.tsv	GSE119143_GPL17586_MTB_control_blood_pbmc_dn.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_dn.tsv
10007	0	0	0	0	0	0	0	0	0	0	0	0
1001	0	0	0	0	0	0	0	0	0	0	0	0
10013	-0.012751600990896785	-0.285190316453152	0	0	0	0	0	0	0	0	-0.05870817881628909	0
10038	-0.35819641240138034	0	0	0	0	0	0	0	0	0	0	0
10046	0	0	0	0	0	0	0	-0.2624109279395286	0	0	0	0
10049	0	0	0	0	0	0	0	0	0	0	-0.6907730182735159	0
10051	0	0	0	0	0	0	0	0	0	0	0	0
10057	0	0	0	0	0	0	0	0	0	0	0	0
10058	0	0	0	0	0	0	0	0	0	0	0	0
10059	0	0	0	0	0	0	0	0	0	0	0	0
10099	0	0	0	0	0	0	0	0	0	0	0	0
10112	0	0	0	0	0	0	0	0	0	0	0	0
10123	-0.8615843161055794	0	0	0	0	0	0	0	0	0	0	0
10131	-0.6637309504776223	0	0	0	0	0	0	0	0	0	0	0
10146	0	0	0	0	0	0	0	0	0	0	0	0
10150	-1.317161926856026	0	0	0	0	0	0	0	0	0	0	0
10153	0	0	0	0	0	0	0	0	0	0	0	0
10165	-0.4954555358600608	0	0	0	0	0	0	0	0	0	0	0
1017	-3.361903898396071	0	0	0	0	0	0	0	0	0	0	0
10174	0	0	0	0	0	0	0	0	0	0	0	0
10180	0	0	0	0	0	0	0	-1.029058139892292	0	0	0	0
1019	0	0	0	0	0	0	0	0	0	0	0	0
10190	0	0	0	0	0	0	0	-1.029058139892292	0	0	0	0
102	-0.5356659732696878	-1.6092259903056945	0	0	0	0	0	0	0	0	-0.9248385021308724	0
10206	0	0	0	0	0	0	0	-1.029058139892292	0	0	0	0
1021	0	0	0	0	0	0	0	0	0	0	0	0
1022	-0.2623639086154699	-0.2022201174655476	0	0	0	0	0	0	0	0	0	0
10221	0	0	0	0	0	0	0	0	0	0	0	0
10227	0	0	0	0	0	0	0	0	0	0	-0.4852316430676176	0
10237	0	0	0	0	0	0	0	0	0	0	0	0
10245	0	-0.22781377141172243	0	0	0	0	0	0	0	0	0	0
1026	-0.1578918100660842	0	0	0	0	0	0	0	0	0	0	0
1027	0	0	0	0	0	0	0	0	0	0	0	0
10270	0	0	0	0	0	0	0	0	0	0	0	0
10273	-0.5839975050912677	0	0	0	0	0	0	0	0	0	0	0
10276	-0.027054340525468512	0	0	0	0	0	0	0	0	0	0	0
10285	0	0	0	0	0	0	0	0	-0.41266462884647925	-0.41266462884647925	0	0
1029	0	0	0	0	0	0	0	0	0	0	0	0
10298	0	-1.2289745519574162	0	0	0	0	0	0	-0.5326032032565561	-0.5326032032565561	0	0
10318	0	0	0	0	0	0	0	0	0	0	0	0
10320	0	0	0	0	0	0	0	0	0	0	0	0
10329	0	0	0	0	0	0	0	0	0	0	0	0
10362	-0.21700852857798325	0	0	0	0	0	0	0	0	0	0	0
10398	-0.2476960013015037	0	0	0	0	0	0	0	-0.3901970428067436	-0.3901970428067436	0	0
10434	-1.002587277736119	0	0	0	0	0	0	0	0	0	0	0
10450	0	0	0	0	0	0	0	0	0	0	0	0
10451	0	0	0	0	0	0	0	0	0	0	0	0
10489	0	0	0	0	0	0	0	0	0	0	0	0
10491	0	0	0	0	0	0	0	0	0	0	0	0
10493	0	0	0	0	0	0	0	0	0	0	0	0
10494	0	0	0	0	0	0	0	0	0	0	0	0
1050	0	-0.6577496335874962	0	0	0	0	0	0	0	0	0	0
10513	0	0	0	0	0	0	0	0	0	0	0	0
1052	0	0	0	0	0	0	0	0	0	0	0	0
10523	-0.3779107434336592	0	0	0	0	0	0	0	0	0	0	0
10525	0	0	0	0	0	0	0	0	-0.6544763404416281	-0.6544763404416281	0	0
10557	-0.049066843801122834	0	0	0	0	0	0	-0.6741259563293349	0	0	-0.5195927830561555	0
10559	0	-0.34198190137858364	0	0	0	0	0	0	0	0	0	0
10589	-0.9360616275524484	0	0	0	0	0	0	0	0	0	0	0
10606	0	0	0	0	0	0	0	0	0	0	0	0
10610	0	0	0	0	0	0	0	0	0	0	0	0
10617	-0.7894113043500619	0	0	0	0	0	0	-0.5022246552924221	0	0	0	0
1062	-0.8036239234309783	0	0	0	0	0	0	0	0	0	0	0
10641	0	0	0	0	0	0	0	0	0	0	0	0
10644	-0.06938033157957957	0	0	0	0	0	0	0	0	0	0	0
10652	0	0	0	0	0	0	0	0	0	0	0	0
10668	0	-1.7566723799468895	0	0	0	0	0	-2.43810549779497	-0.4108349222979181	-0.4108349222979181	0	0
10670	0	0	0	0	0	0	0	0	0	0	-0.21276221711710108	-0.14478195080457912
10681	0	0	0	0	0	0	0	0	0	0	0	0
10682	0	0	0	0	0	0	0	-0.12339770745477674	0	0	0	0
10695	0	0	0	0	0	0	0	0	0	0	0	0
1070	0	0	0	-1.8241776576572504	0	0	0	0	0	0	0	0
10730	0	0	0	0	0	0	0	0	0	0	0	0
10732	-0.17442825967407494	0	0	0	0	0	0	0	0	0	0	0
10765	0	0	0	0	0	0	0	0	0	0	0	-2.1690958450882736
10775	0	0	0	0	0	0	0	0	0	0	-0.5757980502030899	-0.5322985100629674
10776	0	0	0	0	0	0	0	0	0	0	0	0
10782	0	0	0	0	0	0	0	0	0	0	0	0
10797	0	0	0	0	0	0	0	0	0	0	0	0
10810	0	0	0	0	0	0	0	0	0	0	0	0
10813	0	0	0	0	0	0	0	-0.045000770549689983	0	0	0	0
10818	0	0	0	0	0	0	0	0	0	0	0	0
10845	0	0	0	0	0	0	0	0	0	0	0	0
10857	-0.5476169932943109	0	0	0	0	0	0	0	0	0	0	0
10892	0	-0.4473294779133985	0	0	0	0	0	0	0	0	0	0
10898	0	0	0	0	0	0	0	0	0	0	0	0
