names	GSE119143_GPL17586_MTB_control_blood_pbmc_up.tsv	GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv	GSE16250_GPL570_MTB_control_blood_pmbc_up.tsv	GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_up.tsv	GSE19491_GPL6947_PTB_control_blood_whole_blood_up.tsv	GSE34151_GPL10558_MTB_control_blood_dcs_up.tsv	GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_up.tsv	GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_up.tsv	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_up.tsv	GSE83456_GPL10558_EPTB_control_blood_up.tsv	GSE83456_GPL10558_PTB_control_blood_up.tsv
GSE119143_GPL17586_MTB_control_blood_pbmc_up.tsv	1	0.009900990099009901	0.014598540145985401	0.07432432432432433	0.06060606060606061	0.03759398496240601	0	0	0.0641025641025641	0.02097902097902098	0.02097902097902098
GSE139871_GPL10558_MTB_control_blood_monocyte_up.tsv	0.009900990099009901	1	0.03076923076923077	0	0.014925373134328358	0.03125	0	0	0	0.0136986301369863	0.0136986301369863
GSE16250_GPL570_MTB_control_blood_pmbc_up.tsv	0.014598540145985401	0.03076923076923077	1	0.03333333333333333	0.06060606060606061	0.07291666666666667	0	0	0.03968253968253968	0.037383177570093455	0.037383177570093455
GSE18794_GPL6244_MTB_Cpn60.1_control_2h_blood_monocytes_up.tsv	0.07432432432432433	0	0.03333333333333333	1	0.059322033898305086	0.07894736842105263	0	0	0.04861111111111111	0.048	0.048
GSE19491_GPL6947_PTB_control_blood_whole_blood_up.tsv	0.06060606060606061	0.014925373134328358	0.06060606060606061	0.059322033898305086	1	0.08333333333333333	0.017857142857142856	0.017857142857142856	0.047619047619047616	0.01818181818181818	0.01818181818181818
GSE34151_GPL10558_MTB_control_blood_dcs_up.tsv	0.03759398496240601	0.03125	0.07291666666666667	0.07894736842105263	0.08333333333333333	1	0.018518518518518517	0.018518518518518517	0.015625	0.03773584905660377	0.03773584905660377
GSE39941_GPL10558_MTB_HIVneg_control_blood_whole_blood_up.tsv	0	0	0	0	0.017857142857142856	0.018518518518518517	1	1	0	0.016129032258064516	0.016129032258064516
GSE39941_GPL10558_MTB_HIVpos_control_blood_whole_blood_up.tsv	0	0	0	0	0.017857142857142856	0.018518518518518517	1	1	0	0.016129032258064516	0.016129032258064516
GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode_up.tsv	0.0641025641025641	0	0.03968253968253968	0.04861111111111111	0.047619047619047616	0.015625	0	0	1	0.06976744186046512	0.06976744186046512
GSE83456_GPL10558_EPTB_control_blood_up.tsv	0.02097902097902098	0.0136986301369863	0.037383177570093455	0.048	0.01818181818181818	0.03773584905660377	0.016129032258064516	0.016129032258064516	0.06976744186046512	1	1
GSE83456_GPL10558_PTB_control_blood_up.tsv	0.02097902097902098	0.0136986301369863	0.037383177570093455	0.048	0.01818181818181818	0.03773584905660377	0.016129032258064516	0.016129032258064516	0.06976744186046512	1	1
