node,type
DNM1L,LINCS
KIF20A,LINCS
ARL4C,LINCS
TXNDC9,LINCS
CDK6,LINCS
CDKN1A,in-path
STUB1,LINCS
IKZF1,LINCS
HMG20B,LINCS
LYPLA1,LINCS
VAT1,LINCS
CNPY3,LINCS
YME1L1,LINCS
TCFL5,LINCS
MTHFD2,LINCS
PRSS23,LINCS
SLC2A6,LINCS
CHEK2,LINCS
CLTC,LINCS
CANT1,LINCS
CRK,LINCS
CSRP1,LINCS
CTSL,LINCS
ADRB2,source
DCTD,LINCS
GADD45A,LINCS
DLD,LINCS
AGL,LINCS
TSC22D3,LINCS
DUSP3,LINCS
DUSP4,LINCS
E2F2,LINCS
EGR1,source
EIF4EBP1,LINCS
EIF5,LINCS
EPHB2,LINCS
ERBB3,LINCS
ALAS1,source
COG2,LINCS
PUF60,LINCS
RAB11FIP2,LINCS
RPIA,LINCS
ALDOC,LINCS
RBM34,LINCS
GPATCH8,LINCS
RRS1,LINCS
RRP12,LINCS
WASHC4,LINCS
SIRT3,LINCS
FOS,LINCS
LSM5,LINCS
PLA2G15,LINCS
SLC37A4,LINCS
EML3,LINCS
TIPARP,LINCS
PHGDH,LINCS
TIMM9,LINCS
TNFRSF21,LINCS
SESN1,LINCS
GNA11,LINCS
GNAS,LINCS
GRB7,LINCS
GRB10,source
CHMP4A,LINCS
GTPBP8,LINCS
CXCL2,LINCS
HLA-DMA,LINCS
HMGCR,LINCS
HMGCS1,source
HMOX1,LINCS
HSPA8,LINCS
BIRC5,LINCS
HSPD1,LINCS
IGFBP3,LINCS
APP,LINCS
INPP1,LINCS
INSIG1,LINCS
ITGAE,LINCS
ITGB5,LINCS
KIF5C,LINCS
KIT,LINCS
RHOA,LINCS
DIPK1A,LINCS
ACAT2,LINCS
LAMA3,LINCS
LGALS8,LINCS
FOXO4,LINCS
MUC1,LINCS
NFKB2,LINCS
NFKBIA,LINCS
PNP,LINCS
NPC1,LINCS
SLC11A2,LINCS
NVL,LINCS
OXA1L,LINCS
PAK1,LINCS
COPS7A,LINCS
PCBD1,LINCS
MTERF3,LINCS
GOLT1B,LINCS
PCNA,LINCS
ATP6V1D,LINCS
DHRS7,LINCS
PLK1,LINCS
PMAIP1,LINCS
PMM2,LINCS
CYCS,LINCS
POLE2,LINCS
POLR2I,LINCS
KCTD5,LINCS
DDIT4,LINCS
HERC6,LINCS
PPP2R3C,LINCS
FKBP14,LINCS
FAIM,LINCS
PPP2R5E,LINCS
STAP2,LINCS
MINDY1,LINCS
KDM3A,LINCS
PRKCH,LINCS
EAPP,LINCS
ZNF395,LINCS
PSMB8,LINCS
COQ8A,LINCS
MCOLN1,LINCS
BAD,LINCS
PTK2,LINCS
TRIB3,LINCS
PTPN6,LINCS
POLD4,LINCS
PXN,LINCS
SQOR,LINCS
RAC2,LINCS
RAP1GAP,LINCS
RELB,LINCS
RGS2,LINCS
MRPL12,LINCS
SATB1,LINCS
SCP2,LINCS
ABHD4,LINCS
RBKS,LINCS
SGCB,LINCS
SHB,LINCS
NT5DC2,LINCS
SLC1A4,LINCS
SMARCD2,LINCS
SNAP25,LINCS
BNIP3,LINCS
BNIP3L,LINCS
SPAG4,LINCS
SPR,LINCS
BPHL,LINCS
AURKA,LINCS
STK10,LINCS
STXBP2,LINCS
SUPV3L1,LINCS
SUV39H1,source
TBX2,LINCS
TGFBR2,LINCS
TIAM1,LINCS
TLE1,LINCS
TLR4,LINCS
TOP2A,LINCS
TP53BP2,LINCS
TPM1,LINCS
UGDH,LINCS
GET1,LINCS
IFRD2,LINCS
TMEM109,LINCS
CCDC86,LINCS
CHAC1,LINCS
MBOAT7,LINCS
CHMP6,LINCS
FBXO11,LINCS
FOSL1,LINCS
NRIP1,LINCS
SMC1A,LINCS
CDC45,LINCS
CASP2,LINCS
TUBB6,LINCS
MICALL1,LINCS
AKR7A2,LINCS
PEX11A,LINCS
INPP4B,LINCS
ST3GAL5,LINCS
IER3,LINCS
CCNB1,LINCS
TIMELESS,LINCS
MAP7,LINCS
DNAJA3,LINCS
PRPF4,LINCS
SYNGR3,LINCS
VAPB,LINCS
ITGB1BP1,LINCS
PIGB,LINCS
SPAG7,LINCS
CD44,LINCS
IKBKE,LINCS
CD58,source
EDEM1,source
USP6NL,LINCS
ADGRE5,LINCS
KEAP1,LINCS
CDK1,LINCS
KLHL21,LINCS
CDC20,LINCS
CDC25A,LINCS
MVP,LINCS
EIF4E,DGIdb
FKBP4,DGIdb
RBL2,DGIdb
FKBP1A,DGIdb
SCN5A,DGIdb
SCAP,DGIdb
FOXA3,DGIdb
COQ2,DGIdb
HNF1A,DGIdb
USP24,DGIdb
LPA,DGIdb
ACTR2,DGIdb
PAPOLA,DGIdb
SLIT1,DGIdb
TBP,DGIdb
PLA2G6,DGIdb
YAP1,DGIdb
DYNC2H1,DGIdb
EWSR1,DGIdb
MKI67,DGIdb
KDM5C,DGIdb
PDGFA,DGIdb
PDGFC,DGIdb
PDGFD,DGIdb
NR1I2,DGIdb
ADRA2A,DGIdb
GFER,DGIdb
GABPA,DGIdb
APOB,DGIdb
HSF1,DGIdb
PON1,DGIdb
CD34,DGIdb
MBP,DGIdb
CDC25C,DGIdb
PKN1,DGIdb
PKN3,DGIdb
CYP2A13,DGIdb
CTSB,DGIdb
CAMK2A,DGIdb
