GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	0	0.13769087925556842	52.5	0.35252845502823543	0.28532608695652173	-0.42934782608695654
'de novo' CTP biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' GDP-L-fucose biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' IMP biosynthetic process	0	0.091610235572892	51	0.2704510945794456	0.27717391304347827	-0.44565217391304346
'de novo' L-methionine biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' NAD biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' NAD biosynthetic process from tryptophan	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' UMP biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' XMP biosynthetic process	0	0.091610235572892	51	0.2704510945794456	0.27717391304347827	-0.44565217391304346
'de novo' actin filament nucleation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' cotranslational protein folding	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
'de novo' post-translational protein folding	-0.9602151518674056	6.448108644952767e-6	1	0.0016735353983884146	0.005434782608695652	-0.9891304347826086
'de novo' protein folding	-1.2186333575122292	8.596594617587277e-6	2	0.0020716475875406874	0.010869565217391304	-0.9782608695652174
'de novo' pyrimidine nucleobase biosynthetic process	-2.8204979224782374	0.03726233533335336	42	0.14841392356008107	0.22826086956521738	-0.5434782608695652
(R)-carnitine transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
(R)-carnitine transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
(R)-mevalonic acid biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
(R)-mevalonic acid metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
10-formyltetrahydrofolate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
10-formyltetrahydrofolate catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
10-formyltetrahydrofolate metabolic process	-1.286825363767278	0.011396369317929651	37	0.07154651685023565	0.20108695652173914	-0.5978260869565217
2'-deoxyribonucleotide biosynthetic process	0	0.6129889014677764	65	0.7453471466052313	0.3532608695652174	-0.2934782608695652
2'-deoxyribonucleotide metabolic process	-0.16549199459158337	0.06762715770256907	37	0.22139999926847878	0.20108695652173914	-0.5978260869565217
2-oxobutyrate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
2-oxobutyrate catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
2-oxobutyrate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
2-oxoglutarate metabolic process	-0.8304153800189954	0.81946317106615	70	0.8707939793459485	0.3804347826086957	-0.23913043478260865
3'-UTR-mediated mRNA destabilization	0	0.17703144244611943	97.5	0.4045107384996452	0.529891304347826	0.059782608695652106
3'-UTR-mediated mRNA stabilization	0	0.8892399917295025	72	0.9245515614109535	0.391304347826087	-0.21739130434782605
3'-phospho-5'-adenylyl sulfate transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
3'-phosphoadenosine 5'-phosphosulfate metabolic process	-0.43011354215954967	0.11039657294024176	42	0.309487435427225	0.22826086956521738	-0.5434782608695652
3'-phosphoadenosine 5'-phosphosulfate transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
3-keto-sphinganine metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
4-hydroxyproline catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
4-hydroxyproline metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
4-nitrophenol metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5'-adenylyl sulfate transmembrane transport	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5-aminolevulinic acid import across plasma membrane	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5-methylcytosine catabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5-methylcytosine metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5-phosphoribose 1-diphosphate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5-phosphoribose 1-diphosphate metabolic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
5S class rRNA transcription by RNA polymerase III	-1.1343745379292065	9.936712409573476e-4	32	0.019965376486220616	0.17391304347826086	-0.6521739130434783
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
7-methylguanosine RNA capping	0	0.14105939958849992	55.5	0.358832508930534	0.3016304347826087	-0.3967391304347826
7-methylguanosine cap hypermethylation	0	NA	75	NA	0.4076086956521739	-0.18478260869565222
7-methylguanosine mRNA capping	0	0.14105939958849992	55.5	0.358832508930534	0.3016304347826087	-0.3967391304347826
