GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	0	0.7613170189437497	71	0.911981946078921	0.6826923076923077	0.3653846153846154
'de novo' post-translational protein folding	0	0.6398083494057512	59.5	0.8549128353264863	0.5721153846153846	0.14423076923076916
'de novo' protein folding	0.2653029055685229	0.18223542701212414	85.5	0.5279393327192997	0.8221153846153846	0.6442307692307692
10-formyltetrahydrofolate metabolic process	0	0.8767011847215835	63	0.9643699350634019	0.6057692307692307	0.21153846153846145
2'-deoxyribonucleotide biosynthetic process	0.6471565112153594	0.4974161339814821	78	0.7766063250488177	0.75	0.5
2'-deoxyribonucleotide metabolic process	0.008386914916627575	0.9774933524287545	67	0.9969972839950593	0.6442307692307693	0.28846153846153855
2-oxoglutarate metabolic process	-0.6101038671532721	0.06307438623766491	34	0.35490937032914127	0.3269230769230769	-0.34615384615384615
3'-UTR-mediated mRNA destabilization	0.05484734245987005	1	66.5	1	0.6394230769230769	0.27884615384615374
3'-UTR-mediated mRNA stabilization	-0.12164438307208192	0.6924768485429725	59	0.8825459455171011	0.5673076923076923	0.13461538461538458
3'-phosphoadenosine 5'-phosphosulfate metabolic process	-0.46804495514796024	0.23188403037672572	45	0.5688902355491218	0.4326923076923077	-0.13461538461538458
4-hydroxyproline metabolic process	0	0.8191763044987593	70	0.9365257985561386	0.6730769230769231	0.34615384615384626
5S class rRNA transcription by RNA polymerase III	0	0.9665667924228458	67	0.9969972839950593	0.6442307692307693	0.28846153846153855
7-methylguanosine RNA capping	0.42734574687451715	0.36049718718873514	80.5	0.6907598172113854	0.7740384615384616	0.5480769230769231
7-methylguanosine mRNA capping	0.42734574687451715	0.36049718718873514	80.5	0.6907598172113854	0.7740384615384616	0.5480769230769231
ADP catabolic process	0.6217727673953928	3.733430142596905e-4	129	0.10828544281133864	1.2403846153846154	1.4807692307692308
ADP metabolic process	0.5068766872037596	3.733430142596905e-4	129	0.10828544281133864	1.2403846153846154	1.4807692307692308
AMP biosynthetic process	0	0.9193515399036879	68	0.9840710681143827	0.6538461538461539	0.3076923076923077
AMP metabolic process	0.26775116394445836	0.5461492540996051	76	0.8033457075524362	0.7307692307692307	0.46153846153846145
ATF6-mediated unfolded protein response	0	0.1291097806379655	83	0.4714677006021136	0.7980769230769231	0.5961538461538463
ATP biosynthetic process	1.3118846082493845	8.968099599957207e-4	122	0.10828544281133864	1.1730769230769231	1.3461538461538463
ATP export	-0.922893953017481	0.1937775051882713	43	0.5325171880003841	0.41346153846153844	-0.17307692307692313
ATP metabolic process	0.6847455247028353	5.402767955094232e-4	128	0.10828544281133864	1.2307692307692308	1.4615384615384617
ATP synthesis coupled electron transport	0.5700658668074154	0.26828740701345805	85	0.6096717643276167	0.8173076923076923	0.6346153846153846
ATP transport	-0.5039610132182295	0.26692491694238346	46	0.608380080561837	0.4423076923076923	-0.11538461538461542
AV node cell action potential	0.5816255092276924	0.1507342611849756	88.5	0.4915142718968261	0.8509615384615384	0.7019230769230769
AV node cell to bundle of His cell communication	0.6376466640820266	0.1507342611849756	88.5	0.4915142718968261	0.8509615384615384	0.7019230769230769
AV node cell to bundle of His cell signaling	0.5816255092276924	0.1507342611849756	88.5	0.4915142718968261	0.8509615384615384	0.7019230769230769
Arp2/3 complex-mediated actin nucleation	0.541518637512314	0.052661993813479614	97	0.3313113136596803	0.9326923076923077	0.8653846153846154
B cell activation	-0.008019633163960815	0.757483477675926	72	0.9100399420792752	0.6923076923076923	0.3846153846153846
B cell differentiation	-0.04899086335285596	0.7553881239802575	60	0.9100399420792752	0.5769230769230769	0.15384615384615374
B cell mediated immunity	0.45709568783442855	0.2922309640834394	85	0.6334015051570028	0.8173076923076923	0.6346153846153846
B cell proliferation	0.3352832633666804	0.5764698365108785	75.5	0.8220174775878334	0.7259615384615384	0.45192307692307687
B cell receptor signaling pathway	0.09654659584404962	0.6721678619384192	74	0.8699750277300958	0.7115384615384616	0.42307692307692313
BMP signaling pathway	0.0245946388807039	0.6332080074627057	75	0.8499734826609566	0.7211538461538461	0.4423076923076923
C-X-C chemokine receptor CXCR4 signaling pathway	0.31397951200685503	0.4311100831831836	80	0.7439007001645475	0.7692307692307693	0.5384615384615385
C-terminal protein amino acid modification	-0.7427942214520677	0.26828740701345805	47	0.6096717643276167	0.4519230769230769	-0.09615384615384615
C21-steroid hormone biosynthetic process	0.30214491005177585	0.2960001970162892	82.5	0.6334015051570028	0.7932692307692307	0.5865384615384615
C21-steroid hormone metabolic process	0.3338116814642684	0.24015228281686393	87	0.5772912114508477	0.8365384615384616	0.6730769230769231
C4-dicarboxylate transport	-0.08196694114753555	0.8860969565130495	63	0.9643699350634019	0.6057692307692307	0.21153846153846145
CD27 signaling pathway	0.27474838683412045	0.5891902579458531	75	0.8300979463152853	0.7211538461538461	0.4423076923076923
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	0.5594250912510249	0.34562672523363763	82	0.6847418276424081	0.7884615384615384	0.5769230769230769
CD4-positive, alpha-beta T cell activation	-0.12850246389361558	0.6284418458535772	57	0.8499734826609566	0.5480769230769231	0.09615384615384626
CD4-positive, alpha-beta T cell differentiation	-0.1211034952487825	0.7978013981493226	61	0.9256713619313073	0.5865384615384616	0.17307692307692313
CD4-positive, alpha-beta T cell differentiation involved in immune response	-0.1265556264331369	0.7978013981493226	61	0.9256713619313073	0.5865384615384616	0.17307692307692313
CD4-positive, alpha-beta T cell lineage commitment	0.20083130003461255	0.6337329825671214	74	0.8499734826609566	0.7115384615384616	0.42307692307692313
CD40 signaling pathway	0.6528479859248442	0.08062162284951188	94	0.3912884736126083	0.9038461538461539	0.8076923076923077
COPII vesicle coating	0.9741343838266507	0.01374864894982041	103	0.21434303580781064	0.9903846153846154	0.9807692307692308
COPII-coated vesicle budding	0.9034561877727088	0.005226320721096153	111.5	0.16201594235398073	1.0721153846153846	1.1442307692307692
