GO_term	median_diff	p_value	statistic	p_adj	auroc	norm_auroc
'de novo' AMP biosynthetic process	0.2771841908470276	0.171517465623939	111.5	0.5129901694020378	0.6059782608695652	0.21195652173913038
'de novo' CTP biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' GDP-L-fucose biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' IMP biosynthetic process	0	0.7815969243977948	91	0.9049366339582607	0.4945652173913043	-0.010869565217391353
'de novo' L-methionine biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' NAD biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' NAD biosynthetic process from tryptophan	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
'de novo' UMP biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' XMP biosynthetic process	0	0.7815969243977948	91	0.9049366339582607	0.4945652173913043	-0.010869565217391353
'de novo' actin filament nucleation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' cotranslational protein folding	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
'de novo' post-translational protein folding	-0.03519099980582041	0.7980518409218914	81	0.9166764791859143	0.44021739130434784	-0.11956521739130432
'de novo' protein folding	-0.19638714233651372	0.7126999014598541	78.5	0.8643788780208758	0.4266304347826087	-0.1467391304347826
'de novo' pyrimidine nucleobase biosynthetic process	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
(R)-carnitine transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
(R)-carnitine transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
(R)-mevalonic acid biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
(R)-mevalonic acid metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
10-formyltetrahydrofolate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
10-formyltetrahydrofolate catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
10-formyltetrahydrofolate metabolic process	0	0.36233397859303107	75	0.6704921801962644	0.4076086956521739	-0.18478260869565222
2'-deoxyribonucleotide biosynthetic process	0.30418798422614535	0.39500706814054415	103.5	0.6978836069521954	0.5625	0.125
2'-deoxyribonucleotide metabolic process	-0.018063210664340856	1	86.5	1	0.4701086956521739	-0.05978260869565222
2-oxobutyrate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
2-oxobutyrate catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
2-oxobutyrate metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
2-oxoglutarate metabolic process	0	0.4589088751161485	73.5	0.7361754569264417	0.39945652173913043	-0.20108695652173914
3'-UTR-mediated mRNA destabilization	-0.5071013875814034	0.08017022111918153	47	0.38609404104906137	0.2554347826086957	-0.48913043478260865
3'-UTR-mediated mRNA stabilization	-1.0081724961269847	0.02238162219012163	34.5	0.25069559862656954	0.1875	-0.625
3'-phospho-5'-adenylyl sulfate transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
3'-phosphoadenosine 5'-phosphosulfate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
3'-phosphoadenosine 5'-phosphosulfate metabolic process	0.4847759691671906	0.04066783613941923	126	0.2865791741271041	0.6847826086956522	0.36956521739130443
3'-phosphoadenosine 5'-phosphosulfate transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
3-keto-sphinganine metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
4-hydroxyproline catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
4-hydroxyproline metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
4-nitrophenol metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5'-adenylyl sulfate transmembrane transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5-aminolevulinic acid import across plasma membrane	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5-methylcytosine catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5-methylcytosine metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5-phosphoribose 1-diphosphate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5-phosphoribose 1-diphosphate metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
5S class rRNA transcription by RNA polymerase III	0.23432860500582875	0.02149934272951474	122	0.24365477953456374	0.6630434782608695	0.326086956521739
7,8-dihydroneopterin 3'-triphosphate biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
7-methylguanosine RNA capping	-0.6046076544903802	0.5807094676951783	74.5	0.8098713862975341	0.4048913043478261	-0.19021739130434778
7-methylguanosine cap hypermethylation	0	0.19903717060244072	66	0.5384649021111927	0.358695652173913	-0.28260869565217395
7-methylguanosine mRNA capping	-0.6046076544903802	0.5807094676951783	74.5	0.8098713862975341	0.4048913043478261	-0.19021739130434778
9-cis-retinoic acid biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
9-cis-retinoic acid metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
90S preribosome assembly	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ADP biosynthetic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ADP catabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ADP metabolic process	-0.16961110176230415	0.6453588141941666	76.5	0.8527551004337359	0.4157608695652174	-0.1684782608695652
ADP transport	0	0.03378113542110888	101.5	0.26525235302531486	0.5516304347826086	0.1032608695652173
AMP biosynthetic process	0.20268960610401632	0.171517465623939	111.5	0.5129901694020378	0.6059782608695652	0.21195652173913038
AMP catabolic process	0	0.30455560087302685	65	0.6277308305385969	0.3532608695652174	-0.2934782608695652
AMP metabolic process	0.4681856161482042	0.8706656945054356	91	0.9533201929050825	0.4945652173913043	-0.010869565217391353
AMP phosphorylation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
AMP salvage	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
AMP transport	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
AMPA glutamate receptor clustering	0	0.021551862513467763	113	0.24365477953456374	0.6141304347826086	0.2282608695652173
AMPA selective glutamate receptor signaling pathway	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ARF protein signal transduction	0	1	87.5	1	0.47554347826086957	-0.048913043478260865
ATF6-mediated unfolded protein response	0	0.6692013614308912	95	0.8605577196935639	0.5163043478260869	0.032608695652173836
ATP biosynthetic process	0.4439683923555904	0.04407716346342537	132	0.3055174523790344	0.717391304347826	0.4347826086956521
ATP export	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ATP generation from ADP	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ATP generation from poly-ADP-D-ribose	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ATP metabolic process	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
ATP synthesis coupled electron transport	1.0361612718725115	0.0052247736466637645	144	0.13345383313958484	0.782608695652174	0.5652173913043479
ATP transport	0	0.602055952600794	97	0.8248276170367341	0.5271739130434783	0.05434782608695654
AV node cell action potential	0	0.29707652974658233	72	0.6188256719298232	0.391304347826087	-0.21739130434782605
AV node cell to bundle of His cell communication	0	0.8676837348529983	84	0.9528059433151458	0.45652173913043476	-0.08695652173913049
AV node cell to bundle of His cell communication by electrical coupling	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
AV node cell to bundle of His cell signaling	0	0.29707652974658233	72	0.6188256719298232	0.391304347826087	-0.21739130434782605
AV node cell-bundle of His cell adhesion involved in cell communication	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
Arp2/3 complex-mediated actin nucleation	0.5526314573093424	0.644752435384407	97	0.8527551004337359	0.5271739130434783	0.05434782608695654
B cell activation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell activation involved in immune response	1.1703518560128254	0.0015574395972111099	138	0.06683419063107068	0.75	0.5
B cell adhesion	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell affinity maturation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell antigen processing and presentation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell apoptotic process	0	0.7046514611141652	84	0.8605577196935639	0.45652173913043476	-0.08695652173913049
B cell chemotaxis	0	0.8676624478018324	84	0.9528059433151458	0.45652173913043476	-0.08695652173913049
B cell costimulation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell cytokine production	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell differentiation	0.2933843274649529	0.1076851910816983	123.5	0.42017170234510487	0.6711956521739131	0.34239130434782616
B cell homeostasis	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell homeostatic proliferation	0	NA	87	NA	0.47282608695652173	-0.05434782608695654
B cell lineage commitment	0	0.25339048125895375	98	0.5806972382692503	0.532608695652174	0.0652173913043479
