Source,Target,Interaction
ADRB2,UBC,ppi
UBC,RHOA,ppi
ADRB2,UBC,ppi
UBC,PCNA,ppi
ADRB2,UBC,ppi
UBC,CXCR4,ppi
ADRB2,UBC,ppi
UBC,CDKN1A,ppi
ADRB2,UBC,ppi
UBC,HMGCR,ppi
BIRC2,UBC,ppi
UBC,RHOA,ppi
BIRC2,UBC,ppi
UBC,PCNA,ppi
BIRC2,UBC,ppi
UBC,CXCR4,ppi
BIRC2,UBC,ppi
UBC,CDKN1A,ppi
BIRC2,UBC,ppi
UBC,HMGCR,ppi
ALDH7A1,DDA1,ppi
DDA1,DDB1,ppi
DDB1,CUL4A,ppi
CUL4A,NEDD8,ppi
NEDD8,UBC,ppi
UBC,RHOA,ppi
ALDH7A1,DDA1,ppi
DDA1,DDB1,ppi
DDB1,CUL4A,ppi
CUL4A,NEDD8,ppi
NEDD8,UBC,ppi
UBC,PCNA,ppi
ALDH7A1,DDA1,ppi
DDA1,DDB1,ppi
DDB1,CUL4A,ppi
CUL4A,NEDD8,ppi
NEDD8,UBC,ppi
UBC,CXCR4,ppi
ALDH7A1,DDA1,ppi
DDA1,DDB1,ppi
DDB1,CUL4A,ppi
CUL4A,NEDD8,ppi
NEDD8,UBC,ppi
UBC,CDKN1A,ppi
ALDH7A1,DDA1,ppi
DDA1,DDB1,ppi
DDB1,CUL4A,ppi
CUL4A,NEDD8,ppi
NEDD8,UBC,ppi
UBC,HMGCR,ppi
BCL2,BAX,ppi
BAX,MCL1,ppi
MCL1,UBC,ppi
UBC,RHOA,ppi
BCL2,BAX,ppi
BAX,MCL1,ppi
MCL1,UBC,ppi
UBC,PCNA,ppi
BCL2,BAX,ppi
BAX,MCL1,ppi
MCL1,UBC,ppi
UBC,CXCR4,ppi
BCL2,BAX,ppi
BAX,MCL1,ppi
MCL1,UBC,ppi
UBC,CDKN1A,ppi
BCL2,BAX,ppi
BAX,MCL1,ppi
MCL1,UBC,ppi
UBC,HMGCR,ppi
CBR3,USP3,ppi
USP3,EIF3B,ppi
EIF3B,EIF3A,ppi
EIF3A,UBC,ppi
UBC,RHOA,ppi
