Description	GSE139871_GPL10558_s5_d4	GSE16250_GPL570_s3_d2	GSE34151_GPL10558_s4_d3	GSE63548_GPL10558_s6_d5	GSE83456_GPL10558_s1_d1	GSE83456_GPL10558_s2_d1	GSE132283_s20_d17	GSE132283_s21_d17	GSE141656_s8_d7	GSE143627_s17_d14	GSE143731_s23_d19	GSE148171_s14_d11	GSE148731_s11_d10	GSE148731_s12_d10	GSE148731_s13_d10	GSE164287_s24_d20	GSE165708_s28_d23	GSE174566_s15_d12	GSE183912_s22_d18	GSE193777_s9_d8	GSE198557_s16_d13	GSE211974_s7_d6	GSE236156_s25_d21	GSE256184_s26_d22	GSE256184_s27_d22	GSE64179_s18_d15	GSE64182_s19_d16	GSE84076_s10_d9	aggregated_microarray	circulating_aggregated_microarray	aggregated_RNAseq	circulating_aggregated_RNAseq
'de novo' AMP biosynthetic process	0	1.9362968552577284	0	1.702769221599648	0	0	0	0.6457507169043947	1.6880582041534984	0	0	0.9679805625585896	0	0.8206017019501793	0.7783780213927717	0	0	2.17182490692601	0	0	1.1505722633660311	0	0	0.9537915945560717	1.0378321493149838	1.2960772597163	0.8474586712762363	0	1.5464342636960176	1.3631061864825122	0.9020234857950488	0.9046789589929608
'de novo' post-translational protein folding	0	1.391353930761155	0.7311916609564116	0	0	0	0.5403638836722494	1.5723695874856627	1.4141130323052442	0.6250819672149639	0	1.3873814179173305	0	1.663459514389304	1.4025363166352212	0	0	0.7341362118108526	0	0.6717446062978406	2.082358822925546	0.6909336995856615	1.4186034154990974	0.5807582961523738	1.121359538853528	0.8377637115299601	0.9221045429102828	0.8827442223310323	1.0444125104632862	1.0589194292223665	0.9020234857950488	0.9046789589929608
'de novo' protein folding	0	1.6877111024039535	0.5277027661316342	0	1.031209967098861	0	0.38312923895522005	1.4994230008968268	1.2877612819618438	0.4465013208968136	0	1.3173836933840883	0	1.3314656933655369	1.276577052505844	0	0	0.5299864930713147	0	0.8825424084561159	1.9037532623326725	0.4966463156357536	1.3480387280838846	0.4131910901372994	1.1520525877417138	0.6114384591443618	0.6793074131705173	0.647456924335628	1.0201978516794938	1.0345266859311424	0.9020234857950488	0.9046789589929608
10-formyltetrahydrofolate metabolic process	0	0	0	0	0	0	0	1.1281487707571969	0.7869152710792537	0	0	0	0	1.3657326635445066	0.7783780213927717	0	0	1.7820187729769312	0	1.079761098373628	0	0	0	0	0.5835323044288689	0.7676766404315911	0	0	0.4343797424765271	0.4420210616776207	0.9020234857950488	0.9046789589929608
2'-deoxyribonucleotide biosynthetic process	0	0	0.7311916609564116	0.6827760581916335	0	1.1282125839532973	0	0	0	0	0	0.5907968434363788	0	0.4890737734072209	0.4609437446340167	0	0	2.2747402763318667	0	0.6717446062978406	1.2382003222372866	0	0.609727754025973	1.630703981847785	1.121359538853528	0.8377637115299601	0.9221045429102828	0.8827442223310323	1.3223603469260432	1.3384784580921545	0.9020234857950488	0.9046789589929608
2'-deoxyribonucleotide metabolic process	0	0	0.5097135136246075	0.47349231135327746	0	0.4461383350105981	0.18790808497335687	0.6031130116100804	0.31713204183889604	0.4309319461136834	0	0.4059391374907095	0	0.6348874292855197	0.4609437446340167	0.19420870581247557	0.4130964567396668	1.7993739610536827	0	0.856087061886133	0.9184716704007768	0.4795624804270751	0.7820854995397166	0.8977298938897817	0.978961452042316	0.7191138594115111	0.7954575173746965	0.6262205324606911	0.878494163985409	0.8916382377435895	0.8752027068728774	0.8778091294422624
2-oxoglutarate metabolic process	0	0	0.38915772325800624	0.6827760581916335	0	0	0	0.9852872891177552	0	0	0	0	0	0.4890737734072209	0.4609437446340167	0	0	0.7341362118108526	0	1.1649050145571649	0	0.6909336995856615	0	1.033724679373397	1.121359538853528	0.8377637115299601	0.9221045429102828	0	0.878494163985409	0.8916382377435895	0.8200034797104812	0.8225029577908579
3'-UTR-mediated mRNA destabilization	0	0.923683834667479	0.6307432231907084	0	0	0	0.6010751724526117	1.07643909082902	1.2660980368377943	0.6930788731492988	0.5879190245405139	0.9204138724870196	0.9357813776936464	1.3095178207306162	1.104280668298842	0.3240880336744683	1.775984039532409	1.110460135042587	1.0645598853231892	1.2635668078912758	0.4308497715626847	0.7640887032724818	1.171512325371706	1.127128676779508	1.318892484117721	1.241005165031122	0.8037035541782419	0	0.8674251574391818	0.7758348842905495	0.9020234857950488	0.9046789589929608
3'-UTR-mediated mRNA stabilization	0	0	0	0.8438820298821752	0	0.8008458898934908	1.6662678944047509	0.8728371930579252	1.6426389810449296	1.0696208751041545	0	1.4487242335519497	1.036632132343922	0.6147243713154066	1.3704464155004363	0.3685070608736714	0.7478530851089952	1.2202745410992824	0.6769971666512709	1.7499684584608464	1.207633849661797	0.8533316340585803	1.6473280556477554	0.7243513531762704	1.218404372859993	1.493199122986908	1.1150207437389632	1.0712406158676364	1.161324260910067	1.0811591068075896	0.9020234857950488	0.9046789589929608
3'-phosphoadenosine 5'-phosphosulfate metabolic process	0	1.496686996288493	0.9652926240572828	0.7553158499531182	0	1.2255199881637846	0	0.21446918293322045	0.5203710635594214	0	0	0.9204138724870196	0	0	0.7370984317431656	0	0	0	0	0.743441819165221	1.0983593290405744	0	0.3569903252601353	0.33883162690039104	0.5504237026577433	0.9208796859944672	0.29345828034066346	0	1.2909603872892328	1.3069320200704695	0.8564646131409334	0.8590356458178601
