drug_target1	drug_name	drug_gene	moa	enriched_pathway	drug_target2	tg_int_weight	disease_target1	disease_target2	drug_gene1	drug_gene2
ADRA2A	dopamine	RBM34	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	HMOX1	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	RBM34	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	SUV39H1	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	STUB1	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	STUB1	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
ADRA2A	dopamine	HMOX1	Dopamine receptor agonist	negative regulation of cholesterol biosynthetic process	NA	NA	0	0	0	0
ADRA2A	dopamine	SUV39H1	Dopamine receptor agonist	negative regulation of cholesterol metabolic process	NA	NA	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	LAMA3	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	SIRT3	Polar auxin transport inhibitor	cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	positive regulation of cholesterol transport	UBC	0.979	0	0	0	0
APOB	quercetin	ATP6V1D	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
APOB	quercetin	MVP	Polar auxin transport inhibitor	positive regulation of cholesterol efflux	UBC	0.979	0	0	0	0
