Description	GSE139871_GPL10558_MTB_control_blood_monocyte	GSE16250_GPL570_MTB_control_blood_pmbc	GSE34151_GPL10558_MTB_control_blood_dcs	GSE63548_GPL10558_LNTB_control_lymphnode_lymphnode	GSE83456_GPL10558_EPTB_control_blood	GSE83456_GPL10558_PTB_control_blood	GSE100897_MTB_control_24h_THP-1	GSE100897_MTB_control_6h_THP-1	GSE110564_MTB_control_blood_lymphatic_endothelial_cell	GSE112482_MTB_control_lung_ILC1	GSE112482_MTB_control_lung_ILC2	GSE112482_MTB_control_lung_ILC3neg	GSE112482_MTB_control_lung_ILC3pos	GSE112482_MTB_control_lung_NK	GSE112482_MTB_control_lung_susp	GSE132283_MTB_control_blood_macrophage	GSE141656_MTB_control_blood_blood	GSE143627_MTB_control_PBMC_macrophage	GSE143731_MTB_control_blood_monocyte_derived_macrophages	GSE148171_MTB_control_blood_PBMC	GSE148731_MTB_control_blood_monocytes	GSE164287_MTB_control_blood_monocyte_derived_macrophages	GSE165708_MTB_control_BAL_bronchoalveolar_lavage	GSE174566_MTB_control_blood_PBMC	GSE183912_MTB_control_blood_marcophages	GSE193777_MTB_control_blood	GSE198557_MTB_control_blood_PBMC	GSE211974_MTB_control_48h_blood_THP-1	GSE211974_MTB_control_blood_THP-1	GSE236156_MTB_control_BALF_alveolar_macrophage	GSE236156_MTB_control_blood_monocyte_derived_macrophage	GSE256184_MTB_control_HEPG2_HepG2	GSE64179_MTB_control_blood_dendritic_cells	GSE64182_MTB_control_blood_dendritic_cells	GSE84076_MTB_control_blood	aggregated_microarray	aggregated_RNAseq
cell surface pattern recognition receptor signaling pathway	0	0	0.7289758845722977	0.5070347424518347	0.7682417765706724	0.7682417765706724	1.5377696787172157	1.5377696787172157	1.1496297625879075	3.2324255697416455	3.2324255697416455	3.2324255697416455	3.2324255697416455	3.2324255697416455	3.2324255697416455	1.7455921339616256	1.0588494390951044	1.7090150004370732	0.40825859710169743	1.7336653768446522	1.6511590981957585	0.9025781809079466	1.0002041410204283	1.395135705637865	2.5629103733237595	1.8570268108866963	1.6074879030016294	1.1808749454358975	1.1808749454358975	2.1349384073768163	2.1349384073768163	1.3436187298228477	1.3766376566729777	1.166052074488009	0	1.0225672482615986	2.1504494022198655
cell surface toll-like receptor signaling pathway	0	0	0.7818712200158396	0.6083759684522907	0.9052733699489336	0.9052733699489336	1.723532889318024	1.723532889318024	1.1879546667422949	3.4325818848011105	3.4325818848011105	3.4325818848011105	3.4325818848011105	3.4325818848011105	3.4325818848011105	1.859822893902742	1.2221268981787208	1.8082914469461129	0.49277348706090046	1.7271210859898771	1.74970859960837	1.0532972003270888	1.159153963494161	1.4690708790052047	2.761622869647302	1.753318747182159	1.6505607242472802	1.351852045818588	1.351852045818588	2.3310190039844345	2.3310190039844345	1.444071515024172	1.4895385520952595	1.336180509282042	0	1.183219048778689	2.2740076810637766
cellular response to interleukin-6	2.496969404341016	1.291904983859641	1.0336467432381269	1.6286110432182992	0.6809000074665992	0.6809000074665992	1.7835366506941084	1.7835366506941084	1.1434666687817747	0	0	0	0	0	0	1.8084478641939776	1.331831006442324	1.6585528969319323	0.6762165625042241	1.711809788810938	2.1786319944530095	1.345242583784778	1.4621241252251749	1.6686952284816678	1.5460515234224916	1.7844007326091282	1.600527349710804	1.6700242082007002	1.6700242082007002	2.1002399713257485	2.1002399713257485	1.0738674460422637	1.6586301834421535	1.3649793498787248	0	2.1431055550193587	2.1431055550193587
innate immune response activating cell surface receptor signaling pathway	0	0	0.7716217553741458	0.3561391849301582	0.553047640876131	0.553047640876131	1.4014992073229229	1.4014992073229229	1.1349415290191016	2.859462324812673	2.859462324812673	2.859462324812673	2.859462324812673	2.859462324812673	2.859462324812673	1.5900687028296134	0.913654690907908	1.5173348538741664	0.28467923480003016	1.6810087150473525	1.591475896781125	0.9248222830950744	1.0237925357480369	1.1648291785557556	2.194742590744826	1.9073861057705697	1.5908830916222891	1.0267873214484076	1.0267873214484076	2.128163233217765	2.128163233217765	1.213934300749778	1.1707622137089913	1.001289378764063	0	1.0464363066316646	1.9174773142229329
interleukin-6-mediated signaling pathway	3.0390064787200273	0	1.2439662002723062	1.6998487267020692	0.5982281721668501	0.5982281721668501	2.1332443781298327	2.1332443781298327	1.3629442809461187	0	0	0	0	0	0	1.8812538918316055	1.2067503384281966	1.7909191729129648	1.05325502573263	1.6732701756076132	2.2710035248331426	1.2196434215025056	1.9729884929864785	1.6565307871048418	2.062423745116264	1.6470127447642735	1.6714683106625443	2.1930177471773247	2.1930177471773247	2.1349384073768163	2.1349384073768163	1.1023043068665073	1.7471067557888833	1.432718001781679	0	2.3964378636413937	2.0010942861605536
positive regulation of I-kappaB kinase/NF-kappaB signaling	1.0491371410065966	0.3835645916939315	0.704990005229736	0.4171036746260397	0.6416269178699747	0.6416269178699747	1.5507705654354589	1.5507705654354589	1.0887941570943185	1.9440505667671033	1.9440505667671033	1.9440505667671033	1.9440505667671033	1.9440505667671033	1.9440505667671033	1.4277940342439692	0.8027794520795325	1.3375112370336857	0.11328150263991506	1.3543709993174355	1.7031824140712537	1.0058993781733887	1.4731114705694075	1.245661538272142	1.9625236743403929	1.5516061782938786	1.418046767563753	1.3286819365970488	1.3286819365970488	1.6494714797077383	1.6494714797077383	1.2111840674266146	1.1775017680456448	1.1108588574569538	0.13762594639411158	1.1329612115129473	1.877471113041193
positive regulation of T cell migration	0	0	0.4053792122080326	0.2736870651797355	1.0963354217168026	1.0963354217168026	1.3229299445430276	1.3229299445430276	1.063253416516144	3.683484236897314	3.683484236897314	3.683484236897314	3.683484236897314	3.683484236897314	3.683484236897314	1.450039252735332	1.2458953089637876	1.4017304908343773	0	1.1066050827059564	1.3471738259294384	1.45415630148552	0.8263206787661282	1.0922140620125709	2.5048066648059524	1.5667351610416604	1.1050531975575897	1.7470321084971578	1.7470321084971578	1.5229503476532251	1.5229503476532251	1.1398877916192591	1.2831052372382208	1.3805428485083344	0	1.770877701416634	1.9174773142229329
positive regulation of glial cell proliferation	3.420772393568928	1.8788842845921907	1.5832837185759898	1.5812990901521098	1.750547681703167	1.750547681703167	1.365506212061436	1.365506212061436	1.1019983032575886	0	0	0	0	0	0	2.1490732183954075	2.600122408025707	2.274117819462478	2.4131838589359726	0	2.49595184896811	1.93779720957956	2.7460518967599334	2.134322036609167	3.528591802691821	1.1231744453689887	0	1.4197429459766229	1.4197429459766229	1.8364330792600496	1.8364330792600496	2.077393399452512	1.6919277668787198	1.959449898732204	0	2.490318307497672	2.490318307497672
positive regulation of inflammatory response	1.188271639350015	0.404072326644866	0.6990619080230639	0.8689480520919681	0.9421201490500914	0.9421201490500914	1.504715253566016	1.504715253566016	1.2762219484823931	2.39196746508994	2.39196746508994	2.39196746508994	2.39196746508994	2.39196746508994	2.39196746508994	1.5659020875809848	1.3204804711352998	1.756587824612435	0.668549267739529	1.332304559921954	1.765483609108415	1.386982551572603	1.450399492531229	1.5879890486603667	2.1922057145421077	1.7421414735154497	1.2165309204049022	1.5085374113341536	1.5085374113341536	1.8728261422163175	1.8728261422163175	1.1763552436761016	1.3024282977537087	1.2975011470075604	0.6164463449112673	1.3579385856749295	2.272049670762566
positive regulation of leukocyte migration	1.0620956748928183	0.6611509663045778	0.5261838337266884	0.8599345861241253	0.5192467674093456	0.5192467674093456	1.2091118281688489	1.2091118281688489	1.0566789082495622	2.238986411819314	2.238986411819314	2.238986411819314	2.238986411819314	2.238986411819314	2.238986411819314	1.351282272479012	1.0796178783639705	1.2023392114487244	0.30311310460887575	0.8852813425204054	1.3702298903806418	0.9725204179483912	0.780387926323915	1.2995323607405789	2.0406814404194957	1.4371967695136447	1.010690548564802	1.3163280892074902	1.3163280892074902	1.533006543048218	1.533006543048218	1.016347666866752	1.114519705019856	1.2197081676380988	0.3660674290491565	1.2825253347519858	1.8850559740839563
