GO_term	median_diff	p_value	statistic	p_adj	auroc
'de novo' IMP biosynthetic process	NA	NA	NA	NA	NA
'de novo' NAD biosynthetic process	NA	NA	NA	NA	NA
'de novo' NAD biosynthetic process from tryptophan	NA	NA	NA	NA	NA
'de novo' XMP biosynthetic process	NA	NA	NA	NA	NA
'de novo' post-translational protein folding	NA	NA	NA	NA	NA
'de novo' protein folding	NA	NA	NA	NA	NA
2'-deoxyribonucleotide metabolic process	NA	NA	NA	NA	NA
3'-UTR-mediated mRNA destabilization	NA	NA	NA	NA	NA
7-methylguanosine cap hypermethylation	NA	NA	NA	NA	NA
ADP metabolic process	0	0.41729653601905065	96.5	0.8017867405900627	0.5244565217391305
AMP catabolic process	NA	NA	NA	NA	NA
ATP biosynthetic process	NA	NA	NA	NA	NA
ATP generation from ADP	0	NA	87	NA	0.47282608695652173
Arp2/3 complex-mediated actin nucleation	NA	NA	NA	NA	NA
B cell activation involved in immune response	0	0.24345324950847624	69	0.6953116763374968	0.375
B cell apoptotic process	NA	NA	NA	NA	NA
B cell differentiation	0	0.8817415715479566	84	0.9655078529484519	0.45652173913043476
B cell homeostasis	NA	NA	NA	NA	NA
B cell mediated immunity	0	0.24352978516566992	69	0.6953116763374968	0.375
B cell proliferation	0	0.1608307948496607	107	0.62571222592143	0.5815217391304348
B cell receptor signaling pathway	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
BMP signaling pathway	NA	NA	NA	NA	NA
CAMKK-AMPK signaling cascade	NA	NA	NA	NA	NA
CD4-positive or CD8-positive, alpha-beta T cell lineage commitment	NA	NA	NA	NA	NA
CD4-positive, alpha-beta T cell activation	-1.0832389956477992	0.01740134686547751	36	0.2715825492407569	0.1956521739130435
CD4-positive, alpha-beta T cell cytokine production	0	NA	87	NA	0.47282608695652173
CD4-positive, alpha-beta T cell differentiation	-1.140117329837432	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
CD4-positive, alpha-beta T cell differentiation involved in immune response	-1.038319336108571	0.08857868197364342	49.5	0.5759218536363759	0.26902173913043476
CD4-positive, alpha-beta T cell lineage commitment	NA	NA	NA	NA	NA
CD4-positive, alpha-beta T cell proliferation	NA	NA	NA	NA	NA
CD40 signaling pathway	NA	NA	NA	NA	NA
CD8-positive, alpha-beta T cell activation	NA	NA	NA	NA	NA
CD8-positive, alpha-beta T cell differentiation	NA	NA	NA	NA	NA
CENP-A containing chromatin assembly	NA	NA	NA	NA	NA
COPII-coated vesicle budding	NA	NA	NA	NA	NA
COPII-coated vesicle cargo loading	NA	NA	NA	NA	NA
DNA biosynthetic process	NA	NA	NA	NA	NA
DNA catabolic process, endonucleolytic	NA	NA	NA	NA	NA
DNA conformation change	NA	NA	NA	NA	NA
DNA cytosine deamination	NA	NA	NA	NA	NA
DNA damage checkpoint signaling	NA	NA	NA	NA	NA
DNA damage response, signal transduction by p53 class mediator	NA	NA	NA	NA	NA
DNA deamination	NA	NA	NA	NA	NA
DNA duplex unwinding	NA	NA	NA	NA	NA
DNA endoreduplication	NA	NA	NA	NA	NA
DNA geometric change	NA	NA	NA	NA	NA
DNA integrity checkpoint signaling	NA	NA	NA	NA	NA
DNA modification	NA	NA	NA	NA	NA
DNA replication checkpoint signaling	NA	NA	NA	NA	NA
DNA replication initiation	NA	NA	NA	NA	NA
DNA replication-dependent chromatin assembly	NA	NA	NA	NA	NA
DNA strand elongation	NA	NA	NA	NA	NA
DNA strand elongation involved in DNA replication	NA	NA	NA	NA	NA
DNA synthesis involved in DNA repair	NA	NA	NA	NA	NA
DNA topological change	NA	NA	NA	NA	NA
DNA unwinding involved in DNA replication	NA	NA	NA	NA	NA
DNA-templated DNA replication	NA	NA	NA	NA	NA
DNA-templated DNA replication maintenance of fidelity	NA	NA	NA	NA	NA
DNA-templated transcription elongation	NA	NA	NA	NA	NA
DNA-templated transcription initiation	NA	NA	NA	NA	NA
ER overload response	NA	NA	NA	NA	NA
ER-nucleus signaling pathway	0	0.9203625545416256	89	0.9662360726649782	0.483695652173913
ERAD pathway	NA	NA	NA	NA	NA
ERBB signaling pathway	NA	NA	NA	NA	NA
ERBB2 signaling pathway	NA	NA	NA	NA	NA
ERBB2-EGFR signaling pathway	NA	NA	NA	NA	NA
ESCRT III complex disassembly	NA	NA	NA	NA	NA
ESCRT complex disassembly	NA	NA	NA	NA	NA
Fas signaling pathway	NA	NA	NA	NA	NA
Fc receptor mediated inhibitory signaling pathway	NA	NA	NA	NA	NA
Fc receptor mediated stimulatory signaling pathway	NA	NA	NA	NA	NA
Fc receptor signaling pathway	NA	NA	NA	NA	NA
Fc-gamma receptor signaling pathway	NA	NA	NA	NA	NA
Fc-gamma receptor signaling pathway involved in phagocytosis	NA	NA	NA	NA	NA
G protein-coupled glutamate receptor signaling pathway	NA	NA	NA	NA	NA
G2/M transition of mitotic cell cycle	NA	NA	NA	NA	NA
G2/MI transition of meiotic cell cycle	NA	NA	NA	NA	NA
GTP metabolic process	NA	NA	NA	NA	NA
Golgi inheritance	NA	NA	NA	NA	NA
Golgi lumen acidification	NA	NA	NA	NA	NA
Golgi organization	NA	NA	NA	NA	NA
Golgi to plasma membrane protein transport	NA	NA	NA	NA	NA
Golgi to plasma membrane transport	NA	NA	NA	NA	NA
Golgi to vacuole transport	NA	NA	NA	NA	NA
Golgi vesicle fusion to target membrane	NA	NA	NA	NA	NA
I-kappaB phosphorylation	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
IRE1-mediated unfolded protein response	0	0.21096025947596497	99	0.62571222592143	0.5380434782608695
IRES-dependent viral translational initiation	NA	NA	NA	NA	NA
ISG15-protein conjugation	NA	NA	NA	NA	NA
JNK cascade	0	0.5949597567500151	76.5	0.8540523159096338	0.4157608695652174
L-glutamate import across plasma membrane	NA	NA	NA	NA	NA
L-glutamate transmembrane transport	NA	NA	NA	NA	NA
L-leucine import across plasma membrane	NA	NA	NA	NA	NA
MDA-5 signaling pathway	NA	NA	NA	NA	NA
MHC class II biosynthetic process	NA	NA	NA	NA	NA
MHC class II protein complex assembly	NA	NA	NA	NA	NA
MHC protein complex assembly	NA	NA	NA	NA	NA
MyD88-dependent toll-like receptor signaling pathway	0	1	86.5	1	0.4701086956521739
MyD88-independent toll-like receptor signaling pathway	NA	NA	NA	NA	NA
N-acetylneuraminate catabolic process	NA	NA	NA	NA	NA
NAD biosynthetic process	NA	NA	NA	NA	NA
NAD metabolic process	NA	NA	NA	NA	NA
NADH regeneration	NA	NA	NA	NA	NA
NIK/NF-kappaB signaling	-1.4589414944557462	0.16738416523102229	56.5	0.62571222592143	0.3070652173913043
NK T cell activation	NA	NA	NA	NA	NA
NK T cell proliferation	NA	NA	NA	NA	NA
NLRP3 inflammasome complex assembly	NA	NA	NA	NA	NA
NLS-bearing protein import into nucleus	NA	NA	NA	NA	NA
Notch receptor processing	NA	NA	NA	NA	NA
Notch signaling pathway	0	0.03378113542110888	101.5	0.2715825492407569	0.5516304347826086
PERK-mediated unfolded protein response	0	0.6989185256984283	80	0.8822582843048257	0.43478260869565216
RIG-I signaling pathway	NA	NA	NA	NA	NA
RISC complex assembly	NA	NA	NA	NA	NA
