pert	cell	NCS
albendazole	VCAP	-1.5921978945862816
quercetin	VCAP	-1.5756753691373664
fenbendazole	VCAP	-1.53913433382921
methoxsalen	PC3	-1.5133116807286184
mebendazole	VCAP	-1.491990574266153
rosuvastatin	HA1E	-1.4529166718355604
rilmenidine	MCF7	-1.4484079156608372
verapamil	MCF7	-1.4424725269298837
panobinostat	SKB	-1.4388536540339605
NECA	VCAP	-1.4355089443094675
ephedrine	VCAP	-1.4273262984649553
atorvastatin	HA1E	-1.4251214384449715
forskolin	A549	-1.4208498975082544
itraconazole	HA1E	-1.414513629127775
tamoxifen	HA1E	-1.410138559227312
formoterol	VCAP	-1.4022107977739564
resveratrol	FIBRNPC	-1.3865857609740264
tofacitinib	ASC	-1.385105146797028
chloroquine	MCF7	-1.372087072572077
oxibendazole	VCAP	-1.3611586773019528
icosapent	A549	-1.3610409705947497
norepinephrine	NPC	-1.3604584079148314
azaperone	PHH	-1.3593716203124429
disopyramide	HCC515	-1.3587573921481833
estrone	FIBRNPC	-1.3539325427656272
dopamine	A549	-1.352354564053647
granisetron	PC3	-1.3514343888615263
lovastatin	HA1E	-1.3495503459775924
vinburnine	VCAP	-1.348704046480998
propranolol	PC3	-1.3471484380150356
treprostinil	A549	-1.340237414265974
bumetanide	PHH	-1.338252716208424
valsartan	HCC515	-1.3380464833665116
minoxidil	MCF7	-1.3364867706607255
fostamatinib	HCC515	-1.3308379502981342
thalidomide	MCF7	-1.330452881260383
resveratrol	MCF7	-1.327983544079787
pancuronium	MCF7	-1.3225171118597416
lypressin	VCAP	-1.3214957488597543
thalidomide	A375	-1.3191797376480778
mometasone	PC3	-1.3137615965453435
coumarin	HCC515	-1.3110950423353471
niacin	PHH	-1.3090201294530148
ephedrine	NPC	-1.3088454280657376
raltitrexed	NEU	-1.3085906268387368
mefenamic-acid	NPC	-1.303164527234273
estradiol-valerate	SKB	-1.3026974505540647
hexylcaine	A549	-1.3005034335415435
benzthiazide	HCC515	-1.299438911981836
nimodipine	A375	-1.298681316775845
NECA	PHH	-1.2972395572567523
diflunisal	MCF7	-1.2944135895167823
moexipril	MCF7	-1.294028369256119
benzbromarone	MCF7	-1.2933307787479071
ethinyl-estradiol	A549	-1.292672577861506
benazepril	A549	-1.2901091640641007
tubocurarine	PHH	-1.2890574239895862
minoxidil	HT29	-1.2884905280197143
noscapine	VCAP	-1.2873773381710965
trapidil	A549	-1.287241706411458
phenazopyridine	HA1E	-1.2858095520268598
trazodone	HCC515	-1.2838066281641316
mitotane	ASC	-1.2790591891577168
benzydamine	PC3	-1.2770281710956206
diethylcarbamazine	MCF7	-1.2759843202623506
iloperidone	PC3	-1.2681732856829144
nemonapride	NEU	-1.266418683406952
tianeptine	PC3	-1.2663730871202166
halcinonide	PC3	-1.2657537973603186
resveratrol	HT29	-1.265328475381139
nifedipine	VCAP	-1.264648472252597
tivozanib	PC3	-1.2630227294097445
cefdinir	MCF7	-1.2572151396541291
lapatinib	SKB	-1.2565358319822406
pindolol	PHH	-1.2562831540792778
sirolimus	A375	-1.2537802989524829
formoterol	NEU	-1.2530135874721895
dobutamine	VCAP	-1.252904511042113
rosmarinic-acid	PHH	-1.2527647057841678
phenoxybenzamine	HA1E	-1.2519364286771597
nicotinamide	PC3	-1.249355178787772
bezafibrate	MCF7	-1.2475322044639288
cilostazol	MCF7	-1.246971998760915
itraconazole	A375	-1.245493787716335
norgestrel	MCF7	-1.244303166642496
tolazamide	A375	-1.243857873086938
pinacidil	NPC	-1.2423474087570014
pimozide	HA1E	-1.2422351115582169
tolbutamide	PC3	-1.242035378715885
fenoldopam	VCAP	-1.2406125992166814
aniracetam	FIBRNPC	-1.240509274336509
palmitoylethanolamide	HCC515	-1.2400583394239788
treprostinil	MCF7	-1.239383044653488
dactinomycin	SKB	-1.238781828378194
levocabastine	A549	-1.2384795622799354
etilefrine	VCAP	-1.2367666514708189
nifedipine	A549	-1.2366325508709284
trapidil	SKB	-1.2364213100000017
ropinirole	MCF7	-1.2363069660040924
flavoxate	NPC	-1.2355251259999405
norepinephrine	VCAP	-1.2344073500163335
tianeptine	HA1E	-1.2330735109274686
nafcillin	MCF7	-1.2328166115701598
stiripentol	MCF7	-1.2296741607883328
ketorolac	A549	-1.2287486575687423
oxyphenonium	PC3	-1.2270811939421489
estradiol	A549	-1.2246870824823135
hydrocortisone	VCAP	-1.2242569926183269
estradiol-cypionate	ASC	-1.2235891470453857
tofacitinib	SKB	-1.2235859936272464
temozolomide	HT29	-1.2235551382018963
olmesartan	VCAP	-1.2225690068893975
temsirolimus	MCF7	-1.2222581676630786
olaparib	VCAP	-1.220643383117705
carbetocin	PC3	-1.2193427423700878
salmeterol	HA1E	-1.2191778633685422
hyoscyamine	A549	-1.2189812694029265
nemonapride	FIBRNPC	-1.2187944960101325
ketanserin	NEU	-1.2185428834809358
sirolimus	HT29	-1.215457570072524
citalopram	PC3	-1.21535632586653
cilostazol	VCAP	-1.2150664322104974
dopamine	VCAP	-1.215050506108356
methylergometrine	HCC515	-1.2145914603506298
cilastatin	PC3	-1.2140347550108022
levocabastine	NEU	-1.2129171138834496
ketanserin	ASC	-1.2126364524770568
topotecan	SKB	-1.2114749874346866
dexamethasone	MCF7	-1.2114370728912645
tranylcypromine	A549	-1.2109938041487662
curcumin	MCF7	-1.2067293665721466
palmitoylethanolamide	VCAP	-1.202590780853743
methylprednisolone	PC3	-1.2006843848886553
scopolamine	NEU	-1.200464487609658
