pert	cell	WTCS
albendazole	VCAP	-0.4782130161170496
quercetin	VCAP	-0.473250513179656
methoxsalen	PC3	-0.4662293805905513
fenbendazole	VCAP	-0.4622754963389926
rosuvastatin	HA1E	-0.4495505902110426
mebendazole	VCAP	-0.4481159753847179
atorvastatin	HA1E	-0.4409503973589593
panobinostat	SKB	-0.4382222335737028
itraconazole	HA1E	-0.4376682084820381
tamoxifen	HA1E	-0.4363145071348832
rilmenidine	MCF7	-0.4346646676565248
verapamil	MCF7	-0.4328834679390576
resveratrol	FIBRNPC	-0.4315235536129246
NECA	VCAP	-0.43115184629710096
ephedrine	VCAP	-0.4286942072294783
tofacitinib	ASC	-0.42542920496879766
disopyramide	HCC515	-0.4253849542293328
estrone	FIBRNPC	-0.4213614466919012
formoterol	VCAP	-0.421150823723213
valsartan	HCC515	-0.41890100865152025
lovastatin	HA1E	-0.41756775616544656
forskolin	A549	-0.4170813998611218
fostamatinib	HCC515	-0.41664423968962017
granisetron	PC3	-0.4163573347456844
propranolol	PC3	-0.415036895450959
chloroquine	MCF7	-0.4117609168983649
thalidomide	A375	-0.4106690557331068
coumarin	HCC515	-0.4104633452572253
oxibendazole	VCAP	-0.4088209127142436
benzthiazide	HCC515	-0.4068141710149565
vinburnine	VCAP	-0.40508019267575823
mometasone	PC3	-0.404750893818569
nimodipine	A375	-0.40428776673709177
trazodone	HCC515	-0.4019201859851632
minoxidil	MCF7	-0.4010773289177584
icosapent	A549	-0.3995248718949922
thalidomide	MCF7	-0.399266569322676
resveratrol	MCF7	-0.398525525578486
phenazopyridine	HA1E	-0.3978455572971033
dopamine	A549	-0.3969750328118635
lypressin	VCAP	-0.3969082423716498
pancuronium	MCF7	-0.3968850588850208
estradiol-valerate	SKB	-0.3967540304408863
norepinephrine	NPC	-0.3963914335797208
benzydamine	PC3	-0.39343385819894855
treprostinil	A549	-0.3934181209912465
mitotane	ASC	-0.3928576362666145
iloperidone	PC3	-0.3907057964296912
sirolimus	A375	-0.39030979386142384
tianeptine	PC3	-0.39015118136161575
halcinonide	PC3	-0.38996038716843
minoxidil	HT29	-0.3892387685499282
tivozanib	PC3	-0.3891189847427685
diflunisal	MCF7	-0.3884512412656199
moexipril	MCF7	-0.3883356373430196
