drug_name	rank_score
rosuvastatin	2.01389082543013
tofacitinib	1.8731823081624104
ethinyl-estradiol	1.8602949020633996
atorvastatin	1.8501445439673938
fluvastatin	1.7421544779620541
fostamatinib	1.5174773818773646
clonidine	1.3463251553865794
lovastatin	1.319932217349754
albendazole	1.3156367494096866
mometasone	1.2923564673650256
nabumetone	1.246741352435745
panobinostat	1.1631314630121112
mepacrine	1.097218739637359
ketotifen	1.0644581723868478
icosapent	1.0384185998625337
clarithromycin	0.9540885656620727
lapatinib	0.9539526227744243
iloperidone	0.8976942947924804
chlorprothixene	0.8865189183966292
temsirolimus	0.8837821083444953
naftopidil	0.8818285396440605
alprenolol	0.858005912046698
NECA	0.7811553733008266
zolmitriptan	0.7384884950587294
methylergometrine	0.7265430847799079
bumetanide	0.7213753276793996
dexamethasone	0.7206564447920437
pioglitazone	0.7111355505712553
labetalol	0.6898040770229832
oxybenzone	0.6842911762597137
tamoxifen	0.6782645646164958
dasatinib	0.6670650729797477
lofexidine	0.640576511992944
quercetin	0.635322268075477
diltiazem	0.5812166772907651
vemurafenib	0.5753127439473732
methoxsalen	0.574502986885482
itraconazole	0.563878971907027
stiripentol	0.5104411613256455
naltrexone	0.48891443655444106
carbamazepine	0.4829287677390217
tubocurarine	0.4755251258390224
felbamate	0.470047723749578
chlorphenamine	0.43639753525666036
nitrendipine	0.4229550697393288
benzonatate	0.39732829624540456
trapidil	0.39318121504832004
dopamine	0.3618142972716764
rifabutin	0.3612082832546185
piperidolate	0.35280130631141393
phenoxybenzamine	0.34619526779682774
escitalopram	0.3208865238239658
curcumin	0.3179037291200097
lisuride	0.3068428632449411
mitotane	0.30566322233291454
toremifene	0.2959426144306032
diclofenac	0.29224011893816315
trifluoperazine	0.28716405396762673
tolbutamide	0.25199600446304465
levomepromazine	0.24471174043230356
diethylcarbamazine	0.22525318770459413
fulvestrant	0.2079929232855688
salmeterol	0.20797774210037842
clopidogrel	0.2049082038032049
vorinostat	0.20344252407142452
norepinephrine	0.1849131166314317
nizatidine	0.17885876591376645
resveratrol	0.16915377793930794
fenoldopam	0.16789012096369418
gemfibrozil	0.16670522494192364
forskolin	0.15636996396218947
sertraline	0.14921942809694158
amantadine	0.14725039997381098
ipratropium	0.12749936984707347
granisetron	0.12688991770458483
rilmenidine	0.11537569394322886
estradiol	0.10283435660957765
vecuronium	0.0997183421426541
nelfinavir	0.09457878748550164
ephedrine	0.08626093466250576
levocabastine	0.05392464254183847
triclosan	0.052604269714584526
dantrolene	0.04749142276811733
raltitrexed	0.04428591562840104
ozagrel	0.043627679251904944
bendroflumethiazide	0.04207317174072769
flutamide	0.04067306577291654
brompheniramine	0.03920951591196321
docetaxel	0.017866255178648878
treprostinil	0.010288130271721992
sorafenib	-0.007208738792417915
disopyramide	-0.013305835504557264
protriptyline	-0.01701973276595999
haloperidol	-0.038489544296739495
celecoxib	-0.045861929607262826
hesperidin	-0.06771421028201877
hexylresorcinol	-0.11808526034142527
verapamil	-0.12122557505147144
cabergoline	-0.13291260192322263
simvastatin	-0.1430285025263355
tianeptine	-0.1440710052348333
mosapride	-0.1519862787158875
amiodarone	-0.15682343845311095
varenicline	-0.16951404703481368
ropinirole	-0.18450311856727747
anastrozole	-0.18869684715253773
isradipine	-0.21097760777997582
chloroquine	-0.22231070418302754
thiocolchicoside	-0.22541172047301325
amcinonide	-0.22659695937359844
thalidomide	-0.23137500250299392
oxyphenonium	-0.2319144280940858
deferiprone	-0.24145973919566913
ketanserin	-0.2640339861115121
halcinonide	-0.27184676684151565
promazine	-0.27596045253196283
pizotifen	-0.2769002767740158
dydrogesterone	-0.2771364301282006
moexipril	-0.27949894597610386
fasudil	-0.2818553434090735
molsidomine	-0.30853588188433995
clomipramine	-0.3336897754264926
ketorolac	-0.3399735573451482
yohimbine	-0.3454529727092712
maraviroc	-0.3512069233247909
minoxidil	-0.3546529394140932
dilazep	-0.3699762936190459
carbetocin	-0.3968800040900062
phenazopyridine	-0.4105893243607135
ibuprofen	-0.4227206266385414
tolazamide	-0.4533896974842567
methylprednisolone	-0.5087269784929316
dienestrol	-0.5115875986266886
pimozide	-0.5127770009067245
carbinoxamine	-0.5172182130057311
bifemelane	-0.523571422747704
xylazine	-0.5276731589872977
cilastatin	-0.5308669741854107
scopolamine	-0.5494739505295595
procaterol	-0.5607610364116783
calcitriol	-0.5685735369269562
indapamide	-0.5776687092072165
hyoscyamine	-0.5821048552753645
quinidine	-0.5828980825559642
piroxicam	-0.5994254149425988
terguride	-0.6284808453262248
tacrolimus	-0.6778896728590454
ramipril	-0.7120880041447337
meloxicam	-0.7879190507851638
ziprasidone	-0.8253155129010799
clomifene	-0.8283992814406455
medetomidine	-0.8441787055222681
acetyl-farnesyl-cysteine	-0.928010712364599
olaparib	-0.9629810656354245
hydrocortisone	-1.0910940528764588
atovaquone	-1.159199422488037
lonidamine	-1.1905805706752393
benzthiazide	-1.2122360899490079
bezafibrate	-1.3729181759902198
deoxycholic-acid	-1.435004017734961
pancuronium	-1.5039871138141492
methantheline	-1.7949265431003696
formestane	-1.8447034905505946
warfarin	-1.970676261454777
urapidil	-2.126913703310992
felodipine	-2.300995704164065
