pert	cell	type	trend	WTCS	WTCS_Pval	WTCS_FDR	NCS	Tau	TauRefSize	NCSct	N_upset	N_downset	t_gn_sym	MOAss	PCIDss	clinical_phase
17-hydroxyprogesterone-caproate	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	0	256	67	CYP1A2; CYP2B6; CYP3A5; PGR	progesterone receptor agonist	5702072	Launched
17-hydroxyprogesterone-caproate	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	0	256	67	CYP1A2; CYP2B6; CYP3A5; PGR	progesterone receptor agonist	5702072	Launched
17-hydroxyprogesterone-caproate	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	0	256	67	CYP1A2; CYP2B6; CYP3A5; PGR	progesterone receptor agonist	5702072	Launched
17-hydroxyprogesterone-caproate	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0	256	67	CYP1A2; CYP2B6; CYP3A5; PGR	progesterone receptor agonist	5702072	Launched
abiraterone	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	0	256	67	CYP11B1; CYP17A1	17,20 lyase inhibitor; Androgen biosynthesis inhibitor; Cytochrome P450 inhibitor; Steroid sulfatase inhibitor	73707387	Launched
abiraterone	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0	256	67	CYP11B1; CYP17A1	17,20 lyase inhibitor; Androgen biosynthesis inhibitor; Cytochrome P450 inhibitor; Steroid sulfatase inhibitor	73707387	Launched
abiraterone	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	0	256	67	CYP11B1; CYP17A1	17,20 lyase inhibitor; Androgen biosynthesis inhibitor; Cytochrome P450 inhibitor; Steroid sulfatase inhibitor	73707387	Launched
acamprosate	PHH	trt_cp	down	-0.3035737254972547	3.476908164147665e-4	0.0014629627503348296	-1.0610482267221322	-61.136107986501685	1778	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acamprosate	NPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	3328	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acamprosate	ASC	trt_cp	down	-0.3234924319711871	7.195779021738738e-5	4.1465733006021996e-4	-1.0367771533389654	-83.19829424307036	2345	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acamprosate	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acamprosate	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acamprosate	MCF7	trt_cp	down	-0.3638198763031927	2.772126541788676e-5	2.7083961250379084e-4	-1.147453317945058	-62.18905472636816	6231	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acamprosate	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	-1.0372625748066286	256	67	GABRA2; GABRA3; GABRA4; GABRA5; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRE; GABRG1; GABRG2; GABRG3; GABRP; GABRQ; GRIN1; GRIN2A; GRIN2B; GRIN2C; GRIN2D; GRIN3A; GRIN3B; GRM5	Glutamate receptor antagonist	73707392	Launched
acarbose	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	MCF7	trt_cp	up	0.2736660329656121	0.004681303581844251	0.013697567006700268	0.9061773461940457	67.4370085058578	6231	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	NPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	3328	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	VCAP	trt_cp	down	-0.3185796912229627	9.604526338661866e-5	5.169055069909178e-4	-1.0312869843015369	-73.3268037871368	6126	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acarbose	PHH	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	1778	0	256	67	AMY2A; GAA; HBA1; MGAM; SI	Glucosidase inhibitor	41774	Launched
acebutolol	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	-0.30414154791029974	256	67	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acebutolol	VCAP	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6126	-0.30414154791029974	256	67	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acebutolol	MCF7	trt_cp	down	-0.28362743059138323	0.002071022230148386	0.00671482274648647	-0.8945339644420585	-43.34777724281817	6231	-0.30414154791029974	256	67	ADRB1; ADRB2	Adrenergic receptor antagonist	441307	Launched
acepromazine	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	A549	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	4920	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	SKB	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2338	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	PC3	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6724	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	NPC	trt_cp	up	0.2374146821126212	0.05326253835663552	0.1255440946154558	0.8101733309544217	47.08533653846154	3328	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	PHH	trt_cp	down	-0.241476496012448	0.04298691369142855	0.10265038220853678	-0.8440065340615225	-48.706411698537686	1778	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acepromazine	MCF7	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	6231	0	256	67	ADRA1A; ADRA1B; DRD1	Dopamine receptor antagonist	20832455	Launched
acetyl-farnesyl-cysteine	VCAP	trt_cp	up	0.21964737576751708	0.11502932557381605	0.2601519530546403	0.794129498193924	28.468821416911524	6126	-0.027342102640150436	256	67	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	ASC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	2345	-0.027342102640150436	256	67	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	NPC	trt_cp	down	-0.29340283046373006	9.442420037748791e-4	0.0034015509544154856	-0.9114034213383538	-43.29927884615385	3328	-0.027342102640150436	256	67	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
acetyl-farnesyl-cysteine	FIBRNPC	trt_cp	down	0	0.3144514089953287	0.3144514089953287	0	0	597	-0.027342102640150436	256	67	PPARG	Inhibitor of methylation of endogenous isoprenylated proteins	6438381	Launched
