drug_name	rank_score
loperamide	1.1040044406827572
triflupromazine	0.9794841614574133
fludroxycortide	0.9542740738847736
nilotinib	0.9439228550513545
cilastatin	0.8980601143254752
paclitaxel	0.8518861254513134
terguride	0.8427952191579768
niclosamide	0.7860692439687728
menadione	0.7792669125859468
mycophenolic-acid	0.7192683602749236
simvastatin	0.69430198336953
dicycloverine	0.6774467200090295
raloxifene	0.6512505167246515
fenbendazole	0.6234523493738858
meclofenamic-acid	0.6226502214923514
amlodipine	0.5896144604026411
mometasone	0.5724088424238488
vincristine	0.5358435446900044
mycophenolate-mofetil	0.49593689127882007
triamcinolone	0.4763033455662626
thalidomide	0.4551293412810918
topotecan	0.4434577966203645
phenazopyridine	0.4414363560839818
rizatriptan	0.43657480965824513
thiothixene	0.37795663634939813
oxibendazole	0.3622391630821871
ranolazine	0.3601257776680435
dexamethasone	0.35614615664257954
dextromethorphan	0.35330690809006093
tamoxifen	0.33903664159841934
fluvastatin	0.3182008520201642
ramipril	0.30357903121295543
irinotecan	0.3024573868530383
nilutamide	0.2955026616480016
floxuridine	0.29193494213517673
prochlorperazine	0.24179386313869855
homoharringtonine	0.23559092169300014
ouabain	0.232715068788204
salmeterol	0.23192329990343258
progesterone	0.2204091626723233
podophyllotoxin	0.20386716899154847
mitotane	0.18737318738270284
reserpine	0.17702955325212746
timolol	0.1755067815483654
naltrexone	0.17532461912758715
trapidil	0.16950256183719614
vorinostat	0.1368289917738313
rimexolone	0.12887684541192904
quercetin	0.12150545707572159
amsacrine	0.11288140590333307
lovastatin	0.10592987842188192
anagrelide	0.08978916833553868
rifabutin	0.08415087536852298
chlorpromazine	0.08162723795177633
thiocolchicoside	0.062177462186648755
danazol	0.05539238795446128
amiodarone	0.046530136924044056
panobinostat	0.04569896056200238
mosapride	0.026798943250893856
dydrogesterone	0.022811158592169808
cimetidine	0.0011907381020287142
aniracetam	-0.00906130319792968
trifluoperazine	-0.0219269525810731
cabergoline	-0.03463065720760204
mebendazole	-0.04930234319103027
calcitriol	-0.06072070127848014
hydrocortisone	-0.0632720832041367
talipexole	-0.06758953545507342
sunitinib	-0.07205022295023628
butoconazole	-0.07378264035418503
econazole	-0.08230120249915023
amoxapine	-0.10975731508629132
quinapril	-0.13861241063927943
risperidone	-0.1547554845416954
perphenazine	-0.1575210456552674
ethotoin	-0.17550551098454417
meloxicam	-0.19105018128259535
chlorprothixene	-0.19546849108461967
noscapine	-0.20829833076689894
leflunomide	-0.21032360862367866
forskolin	-0.22235634345054936
betamethasone	-0.24066210422410103
riluzole	-0.24408283161934757
phenoxybenzamine	-0.25123385779576285
clomifene	-0.27102492821673024
irbesartan	-0.282021078596709
caffeine	-0.2843664516787724
ticlopidine	-0.28895548704770424
methocarbamol	-0.29933864389960013
amitriptyline	-0.3069944604323084
varenicline	-0.3234378777336412
benazepril	-0.3235319049158589
pioglitazone	-0.33161074823306
dipyridamole	-0.3460947523301587
saquinavir	-0.37476104992208153
GR-235	-0.3889858247078224
atorvastatin	-0.40019189061413535
rilmenidine	-0.4009320059672197
felodipine	-0.40568351175216555
levonorgestrel	-0.40728364425156754
bromocriptine	-0.414026219221137
curcumin	-0.4226851970493858
etoposide	-0.426454740217646
raclopride	-0.43015775197937356
ziprasidone	-0.4349187350100971
desipramine	-0.4447086601219439
nalbuphine	-0.45556565673285615
pyrvinium-pamoate	-0.5087100452136967
vinblastine	-0.5248820759509166
dasatinib	-0.5406673151053943
quinine	-0.5534018248112158
ethisterone	-0.5637013672386576
isocarboxazid	-0.58582144793053
piperidolate	-0.5886750660004755
isotretinoin	-0.6681611038316256
quinidine	-0.6947137897521759
torasemide	-0.704748016035899
amisulpride	-0.7862627519353892
terconazole	-0.8072578694652364
diazoxide	-0.8890560005706625
racecadotril	-1.2001570810539175
teniposide	-1.2087746328994795
midostaurin	-1.2476904632593497
tranilast	-1.5187865487766918
