drug_name	rank_score
albendazole	1.2465966393418972
methoxsalen	1.193601329787858
quercetin	1.087181908903572
fenbendazole	1.049384942970701
rosuvastatin	0.9833795488808789
resveratrol	0.8813292847829011
ephedrine	0.8281730533984385
NECA	0.8149325633479463
verapamil	0.7770322252489792
rilmenidine	0.7743657984704525
mebendazole	0.7595019170807092
mometasone	0.6321718562369161
atorvastatin	0.6272546671666653
itraconazole	0.5907670078792246
forskolin	0.577293659642097
tamoxifen	0.562383640430664
tofacitinib	0.5500694787210567
panobinostat	0.5299539286665887
valsartan	0.4672830832869137
oxibendazole	0.4657355924632741
formoterol	0.4626404320815893
chloroquine	0.4596876577856762
granisetron	0.43824213241624177
propranolol	0.4302313018034747
thalidomide	0.4272601301707727
fostamatinib	0.4021768519506303
trazodone	0.39594082259878793
coumarin	0.39527848846366725
azaperone	0.3891519333868739
norepinephrine	0.3556605595606699
moexipril	0.3540553110454854
benzthiazide	0.35259541701357966
minoxidil	0.35106020055831716
disopyramide	0.34941669736408204
nimodipine	0.34816908394740104
pancuronium	0.31142755078039447
lypressin	0.2725985885073717
halcinonide	0.2645028963121768
benazepril	0.2532447993486269
phenazopyridine	0.23443275064067878
dopamine	0.23107265983136843
lovastatin	0.2009289677260142
sirolimus	0.18910222012547956
mitotane	0.18429641633730878
tianeptine	0.18429479009963265
benzbromarone	0.17524570454805488
diflunisal	0.17202403195205535
niacin	0.15633111536760486
mefenamic-acid	0.15129706471204277
aniracetam	0.14317155178986968
iloperidone	0.1336317915316326
treprostinil	0.11278554404050498
tolazamide	0.09533082079658377
diethylcarbamazine	0.09345066170218268
nifedipine	0.08141155221562467
nicotinamide	0.0793449825684204
tolbutamide	0.07790946367868314
dobutamine	0.04052957804537412
stiripentol	0.037177181643259755
bezafibrate	0.031720791755278144
hydrocortisone	0.0025647094696196514
methylergometrine	-0.044891185081664384
levocabastine	-0.05328944408726323
estradiol	-0.053679396035272574
cefdinir	-0.0638827686312931
methylprednisolone	-0.08121179645666035
triamterene	-0.08381764768427731
norgestrel	-0.08388760017989833
pinacidil	-0.08688719103539397
temsirolimus	-0.08735686229891267
nafcillin	-0.10145217759585733
temozolomide	-0.10423115804758991
palmitoylethanolamide	-0.10639449989135834
fluconazole	-0.12041682052148622
dexamethasone	-0.13262858898895966
fenoldopam	-0.13349585629466443
olaparib	-0.1402129389933651
ketanserin	-0.14521145656859535
cilostazol	-0.1486161837937147
rosmarinic-acid	-0.1662621036904821
curcumin	-0.16688024229215098
carbetocin	-0.16910072976507579
sorafenib	-0.20566171978471362
triamcinolone	-0.21228831694501665
olmesartan	-0.21739610762947956
bucladesine	-0.23697785437870073
vecuronium	-0.25038390430755286
tubocurarine	-0.2526590781293441
chenodeoxycholic-acid	-0.2571138593053002
ibudilast	-0.2647162375513396
salmeterol	-0.26619685484021205
dydrogesterone	-0.2693201091128692
valproic-acid	-0.2698052026209239
deferiprone	-0.27155472030846484
flavoxate	-0.28033278127487876
mephentermine	-0.3054928528729217
carbamazepine	-0.3078072209964557
ramipril	-0.3280493463727923
nitrendipine	-0.3457180848561638
dantrolene	-0.358901815614516
ketorolac	-0.3593359564881232
sulindac	-0.3817351312177922
naltrexone	-0.4162791121023222
maraviroc	-0.4488900246185641
toremifene	-0.5565092850241548
montelukast	-0.6030620460999248
cabergoline	-0.6590527069358174
varenicline	-0.7146327949825025
molsidomine	-0.7453471578742199
clofibrate	-0.7792736366404459
clarithromycin	-0.8532112256410063
resorcinol	-0.8928612968324476
quinine	-0.9564073595890329
ranitidine	-0.9641283087378661
ubenimex	-1.025199783447345
ozagrel	-1.121982525344446
diclofenac	-1.360143197276294
deoxycholic-acid	-1.531311437828419
