pert	cell	scaled_score
pyrvinium-pamoate	MCF7	-0.9205695171003868
etoposide	MCF7	-0.9161009788377368
quinapril	NPC	-0.8219831828524587
thiocolchicoside	NPC	-0.7608430093643092
buflomedil	MCF7	-0.7320475209423171
fludroxycortide	HCC515	-0.7187289350511252
atorvastatin	PC3	-0.7169440514957892
triamcinolone	HCC515	-0.7012440385205719
vorinostat	FIBRNPC	-0.7010952982242937
metergoline	MCF7	-0.69681347650378
pitavastatin	A549	-0.6809045941763424
hydrocortisone	HCC515	-0.6789140059559409
sunitinib	NPC	-0.6757904597341026
ivermectin	MCF7	-0.6667647719684668
SN-38	A549	-0.6663945035713492
fludarabine	NPC	-0.6595967555627286
nilotinib	HT29	-0.65925180466285
paclitaxel	SKB	-0.6556361495884324
formoterol	MCF7	-0.6549573241937166
fasudil	VCAP	-0.6448936190412894
mitotane	HA1E	-0.6416403206461024
homoharringtonine	ASC	-0.638542091921503
ibudilast	NPC	-0.6376053445236669
menadione	SKB	-0.6363489637231909
ranolazine	VCAP	-0.6303882754670285
lisuride	HCC515	-0.6298170494355779
thiothixene	HA1E	-0.6267504675825272
clofarabine	MCF7	-0.620303999848095
vemurafenib	MCF7	-0.6173260292353797
irinotecan	HA1E	-0.6168038558548293
formestane	NPC	-0.6155917806745214
fostamatinib	SKBR3	-0.6153734172608365
dextromethorphan	HA1E	-0.6153480997635979
reserpine	MCF7	-0.6139208258567597
mosapride	A549	-0.6123669644637276
methylene-blue	NKDBA	-0.6118875143597676
chlorpromazine	HA1E	-0.6109871608642126
fluvastatin	FIBRNPC	-0.6090092313924307
moxonidine	PC3	-0.6068952203729899
ethinyl-estradiol	VCAP	-0.6062812710649488
raloxifene	HEPG2	-0.6057179567513852
sunitinib	MCF7	-0.6041830834812822
tretinoin	ASC	-0.6037748388383064
tamibarotene	ASC	-0.5921730957286216
vinburnine	MCF7	-0.5896983103735277
rimexolone	HCC515	-0.5884893998803746
penfluridol	ASC	-0.5875241702981451
latanoprost	MCF7	-0.5865494466544507
