pert	cell	pearson
atovaquone	HA1E	-0.2899222420980626
dantrolene	A549	-0.2581948565224169
picotamide	PC3	-0.2484586837499422
dipyridamole	HA1E	-0.24207649041013043
orphenadrine	A549	-0.23265891911039235
niclosamide	NEU	-0.22982057948309112
digitoxin	PHH	-0.22636187147001385
esmolol	VCAP	-0.2158156152411365
metformin	A375	-0.21485932815361988
loperamide	ASC	-0.2079047502520107
tetrabenazine	PC3	-0.2051409607181862
prazosin	PC3	-0.20144227021830877
ezetimibe	MCF7	-0.19892920704193945
quetiapine	HCC515	-0.19860913191691543
zileuton	PC3	-0.1980807649046778
edaravone	MCF7	-0.195078092593654
donepezil	PHH	-0.19496028956727213
gabexate	A549	-0.19420735585520896
carteolol	PC3	-0.1940564576713366
liothyronine	HT29	-0.19229486283534317
pheniramine	HCC515	-0.1911522716476104
dipyridamole	SKB	-0.18995887060238573
hyoscyamine	ASC	-0.18858516252209293
etomidate	PC3	-0.1864844005757085
tolbutamide	HCC515	-0.18644512658044585
imiquimod	HT29	-0.1851449151204115
alfuzosin	SKB	-0.18331551363759865
mercaptopurine	MCF7	-0.1831524929279812
brinzolamide	HCC515	-0.18273073254347352
memantine	A549	-0.18068273703816437
norepinephrine	NPC	-0.17917304855876534
ciprofibrate	ASC	-0.17705879458365878
thiostrepton	A549	-0.1765556377810198
pregnenolone	HCC515	-0.1762104402035967
cholic-acid	PHH	-0.17597426706181793
ranolazine	VCAP	-0.1757353230654091
dydrogesterone	ASC	-0.17513729325268976
lansoprazole	MCF7	-0.17487324460211603
resorcinol	PC3	-0.17419940233248254
mupirocin	VCAP	-0.17393952324978995
iloprost	MCF7	-0.17386233753158645
amlexanox	PC3	-0.1736778018688946
scopolamine	PC3	-0.1731695035811898
abiraterone	VCAP	-0.1728903281596693
desoximetasone	PC3	-0.17176987162357651
amlexanox	MCF7	-0.1701527104234675
diclofenac	HA1E	-0.16961527418846614
bosutinib	PHH	-0.1687999175771441
palmitoylethanolamide	PC3	-0.1687844117342867
ropinirole	VCAP	-0.16738677078413317
olmesartan	A549	-0.167128879218497
bosentan	MCF7	-0.16687433377679858
imipramine	PC3	-0.1665627793775432
ondansetron	HT29	-0.16641509852741956
flupentixol	NEU	-0.1662414099369475
brompheniramine	A549	-0.1661291282099811
brinzolamide	VCAP	-0.1654656357957539
moxonidine	MCF7	-0.1647087546840447
thiostrepton	NEU	-0.16440281374224455
iloprost	A549	-0.16386242642384016
nadolol	PC3	-0.16285584847264314
sildenafil	PHH	-0.16256819691539423
perospirone	VCAP	-0.16256543519438835
fludroxycortide	NPC	-0.16202788418760963
alfuzosin	A549	-0.16172638220389027
flutamide	ASC	-0.1616311202279576
bupropion	PHH	-0.16081493555721235
stiripentol	VCAP	-0.1607778439298808
proxymetacaine	A549	-0.16066928272498568
bromocriptine	A549	-0.16028165102642244
