pert	cell	spearman
donepezil	PHH	-0.24130831678660347
thiostrepton	A549	-0.2379111546258076
niclosamide	NEU	-0.23347856594874988
quinethazone	HT29	-0.2212797968059997
bosutinib	NPC	-0.21785181264658027
picotamide	PC3	-0.21771600321514495
ezetimibe	MCF7	-0.2114803276186061
ezetimibe	PHH	-0.20873235380382005
dantrolene	A549	-0.20571083475124935
loperamide	ASC	-0.2051271431523148
olaparib	MDAMB231	-0.19781462397886365
hyoscyamine	ASC	-0.1974881034309448
eplerenone	ASC	-0.19609822393051143
equol	HCC515	-0.19449066406479884
ethisterone	ASC	-0.194088051707778
capecitabine	PC3	-0.19407071433355216
orphenadrine	A549	-0.1887212620843965
ropinirole	VCAP	-0.188335896214647
zileuton	PC3	-0.18592696438472056
procarbazine	PC3	-0.1839408718484118
azathioprine	A549	-0.18354403861613283
esmolol	VCAP	-0.1820183496842642
flecainide	ASC	-0.18188254025282893
lamotrigine	ASC	-0.18178333194475915
indapamide	A375	-0.1813027014037223
norepinephrine	NPC	-0.18103782485305067
liothyronine	HT29	-0.18085289286130896
digoxin	A549	-0.17697221059710525
brompheniramine	A549	-0.17679113135519153
etomidate	PC3	-0.17668229117255194
gabexate	A549	-0.17603310282654216
pinacidil	PHH	-0.1755524722855053
lansoprazole	MCF7	-0.17534731335716688
pantoprazole	PC3	-0.17532034410837125
terconazole	A549	-0.17446407045910908
ticlopidine	PHH	-0.17442851652685995
fluvastatin	PHH	-0.17433115059004478
dihydroergocristine	MCF7	-0.17397862398078726
nalbuphine	VCAP	-0.17393720692013678
metformin	A375	-0.1736309133088147
mosapride	SKB	-0.17300098871194466
dydrogesterone	MCF7	-0.17217361068639217
perospirone	VCAP	-0.17164000483522096
pindolol	MCF7	-0.17150323221632868
alfuzosin	SKB	-0.1706594800040074
moxonidine	MCF7	-0.17035134205788954
quetiapine	HCC515	-0.17030502701983588
ciprofibrate	ASC	-0.1682023888012316
cholic-acid	PHH	-0.16803961012100066
abiraterone	VCAP	-0.16792980675090405
argatroban	PC3	-0.16764085051380773
tolbutamide	HCC515	-0.1671380666612601
estrone	VCAP	-0.16590237705146987
brimonidine	NPC	-0.1654688627983003
felodipine	MCF7	-0.16487361294988187
dipyridamole	HA1E	-0.1643419334736246
mestranol	A549	-0.16354441425923874
iloprost	ASC	-0.16344135320134104
dydrogesterone	ASC	-0.1631523969642447
fludroxycortide	NPC	-0.1622315897553644
nortriptyline	HCC515	-0.16165945640591364
pipamperone	SKB	-0.1613088561715701
glimepiride	A549	-0.16103145818395764
bicalutamide	HCC515	-0.1609023910647213
calcifediol	NPC	-0.16061247164016795
ifenprodil	PC3	-0.1599478722948464
ranolazine	SKB	-0.1595597077496803
betaxolol	SKB	-0.15888836609215984
dipyridamole	SKB	-0.15854161860764424
safinamide	ASC	-0.15810722106454275
resorcinol	PC3	-0.15801282869375796
montelukast	MCF7	-0.15763918787847264
nitrendipine	MCF7	-0.15750811846629637
calcipotriol	A549	-0.15734919253589338
ipratropium	SKB	-0.1572663584145924
mestranol	SKB	-0.15718448748074848
toremifene	PC3	-0.15578979204303017
gestrinone	MCF7	-0.15507607013740224
diclofenac	HA1E	-0.1542660294860755
vorinostat	THP1	-0.1541658579905488
carteolol	PC3	-0.1541340728044682
vorinostat	NEU	-0.1536303257644636
piroxicam	ASC	-0.15322482384507174
ranolazine	VCAP	-0.1529040824218948
clozapine	HCC515	-0.15251591787672872
estradiol-valerate	ASC	-0.15243886288016972
lapatinib	A549	-0.1521576121427293
digitoxin	PHH	-0.15202283911197925
exemestane	A549	-0.15139091492696702
fasudil	VCAP	-0.15095362782149457
varenicline	PHH	-0.15094688550929566
levomepromazine	MCF7	-0.15087753601239254
voriconazole	PHH	-0.15076676945483894
caffeine	ASC	-0.15060591714952198
granisetron	PC3	-0.15050670884145226
physostigmine	VCAP	-0.1503217768497106
levonorgestrel	NPC	-0.15015129266982374
aprepitant	PHH	-0.15004245248718415
proxymetacaine	NPC	-0.14956182194614723
