significant_drug	CMAP	WCS	NCS	Tau	Cor_pearson	Cor_spearman
fostamatinib	1	0	0	0	0	0
irinotecan	1	1	0	1	0	0
vorinostat	1	1	0	0	0	0
desipramine	1	0	0	0	0	1
homoharringtonine	1	1	1	1	0	0
isotretinoin	1	0	0	0	1	1
lovastatin	1	0	1	0	1	0
methylene-blue	1	0	0	0	0	0
midostaurin	1	0	0	0	0	1
mitotane	1	0	1	0	1	1
mosapride	1	0	1	0	0	1
pyrvinium-pamoate	1	1	0	0	0	0
racecadotril	1	0	0	0	0	1
riluzole	1	1	0	0	0	0
simvastatin	1	0	1	1	1	1
amitriptyline	1	0	1	1	0	0
amlodipine	1	1	1	1	1	1
cabergoline	1	0	0	0	1	1
chlorprothixene	1	0	0	0	1	1
clomifene	1	0	0	0	1	1
clonidine	1	0	0	0	0	0
dexamethasone	1	0	1	1	1	0
dicycloverine	1	1	1	1	1	1
estrone	1	0	0	0	0	0
etoposide	1	0	0	0	0	1
fenbendazole	1	1	1	1	0	0
formoterol	1	0	0	0	0	0
forskolin	1	0	0	0	0	1
menadione	1	0	1	0	1	1
mycophenolate-mofetil	1	0	1	1	1	1
niclosamide	1	1	1	1	1	1
nilotinib	1	1	1	1	1	1
oxibendazole	1	1	1	1	0	0
panobinostat	1	1	0	0	0	0
perphenazine	1	0	0	0	1	1
thiothixene	1	1	1	1	1	1
topotecan	1	0	1	1	1	1
triflupromazine	1	1	1	1	1	1
vinblastine	1	1	0	0	0	1
fexofenadine	0	1	1	1	0	0
loperamide	0	1	1	1	1	0
raloxifene	0	1	1	1	0	1
cilastatin	0	1	1	1	1	1
cladribine	0	1	0	0	0	0
fludroxycortide	0	1	1	1	1	0
ingenol	0	1	0	1	0	0
ivermectin	0	1	1	1	0	0
meclofenamic-acid	0	1	1	1	0	1
mycophenolic-acid	0	1	1	1	1	1
reserpine	0	1	1	0	0	1
rizatriptan	0	1	1	0	1	1
albendazole	0	1	0	1	0	0
alfacalcidol	0	1	0	0	0	0
anagrelide	0	1	0	1	0	1
betamethasone	0	1	0	0	1	0
betaxolol	0	1	0	0	0	0
caffeine	0	1	0	0	1	0
chlorpromazine	0	1	0	1	0	1
clozapine	0	1	1	0	0	0
dasatinib	0	1	0	0	1	0
diltiazem	0	1	0	0	0	0
econazole	0	1	0	0	1	1
estradiol-cypionate	0	1	0	0	0	0
estradiol-valerate	0	1	0	0	0	0
ethotoin	0	1	0	1	0	1
everolimus	0	1	0	0	0	0
fenofibrate	0	1	1	1	0	0
fluoxetine	0	1	0	0	0	0
flupentixol	0	1	1	1	0	0
flupirtine	0	1	0	0	0	0
fulvestrant	0	1	0	0	0	0
glipizide	0	1	0	0	0	0
isocarboxazid	0	1	0	0	1	0
lobeline	0	1	0	0	0	0
meloxicam	0	1	0	0	1	0
molindone	0	1	0	0	0	0
mometasone	0	1	1	1	1	0
naltrexone	0	1	1	1	0	1
paclitaxel	0	1	1	1	1	1
pitavastatin	0	1	0	0	0	0
podophyllotoxin	0	1	1	1	0	1
prednisone	0	1	1	0	0	0
quinapril	0	1	0	0	0	1
raclopride	0	1	0	0	1	0
rifabutin	0	1	0	1	1	1
rilmenidine	0	1	0	0	1	0
sertraline	0	1	1	1	0	0
tamoxifen	0	1	1	1	1	0
temsirolimus	0	1	0	0	0	0
teniposide	0	1	0	0	1	1
terconazole	0	1	0	0	0	1
terguride	0	1	1	1	1	1
tofacitinib	0	1	0	0	0	0
tranilast	0	1	0	0	1	0
trapidil	0	1	0	0	0	1
trifluoperazine	0	1	0	0	1	1
trimipramine	0	1	1	1	0	0
varenicline	0	1	0	0	1	0
cimetidine	0	0	1	1	0	1
clofarabine	0	0	1	1	0	0
quercetin	0	0	1	1	1	1
amiodarone	0	0	1	1	1	1
auranofin	0	0	1	0	0	0
curcumin	0	0	1	0	1	1
digitoxin	0	0	1	0	0	0
digoxin	0	0	1	1	0	0
felodipine	0	0	1	1	1	0
fluvastatin	0	0	1	1	1	0
phenazopyridine	0	0	1	1	1	0
pimozide	0	0	1	1	0	0
ranitidine	0	0	1	1	0	0
salmeterol	0	0	1	1	0	1
saquinavir	0	0	1	0	1	1
triamcinolone	0	0	1	1	1	1
voriconazole	0	0	1	0	0	0
acetyl-farnesyl-cysteine	0	0	1	1	0	0
amsacrine	0	0	1	1	1	1
aniracetam	0	0	1	1	1	1
bromocriptine	0	0	1	0	1	0
butoconazole	0	0	1	1	0	1
calcitriol	0	0	1	0	1	1
danazol	0	0	1	1	1	0
dextromethorphan	0	0	1	0	1	1
ethisterone	0	0	1	0	0	1
floxuridine	0	0	1	0	0	1
fluorometholone	0	0	1	1	0	0
itraconazole	0	0	1	1	0	0
leflunomide	0	0	1	0	0	1
linezolid	0	0	1	0	0	0
medetomidine	0	0	1	1	0	1
naproxen	0	0	1	1	0	0
nilutamide	0	0	1	1	1	1
ouabain	0	0	1	1	0	1
perhexiline	0	0	1	0	0	0
perindopril	0	0	1	1	0	0
phenoxybenzamine	0	0	1	1	0	1
piperidolate	0	0	1	0	0	1
prochlorperazine	0	0	1	1	1	1
progesterone	0	0	1	1	1	1
ramipril	0	0	1	1	0	1
ranolazine	0	0	1	1	0	1
repaglinide	0	0	1	0	0	0
risperidone	0	0	1	0	1	0
sunitinib	0	0	1	0	0	1
talipexole	0	0	1	1	1	0
thalidomide	0	0	1	1	1	0
thiocolchicoside	0	0	1	0	0	1
timolol	0	0	1	1	1	1
vincristine	0	0	1	1	0	1
ziprasidone	0	0	1	0	1	1
zuclopenthixol	0	0	1	1	0	0
dipyridamole	0	0	0	1	1	0
dydrogesterone	0	0	0	1	1	1
mebendazole	0	0	0	1	1	1
methocarbamol	0	0	0	1	1	1
nalbuphine	0	0	0	1	0	1
nemonapride	0	0	0	1	0	0
nizatidine	0	0	0	1	0	0
noscapine	0	0	0	1	1	0
quinine	0	0	0	1	0	1
warfarin	0	0	0	1	0	0
amisulpride	0	0	0	1	1	1
amodiaquine	0	0	0	1	0	0
amoxapine	0	0	0	1	0	1
atorvastatin	0	0	0	1	1	0
benazepril	0	0	0	1	1	0
ciprofibrate	0	0	0	1	0	0
dantrolene	0	0	0	1	0	0
diazoxide	0	0	0	1	1	0
dienestrol	0	0	0	1	0	0
GR-235	0	0	0	1	1	1
hydrocortisone	0	0	0	1	1	1
irbesartan	0	0	0	1	1	0
levonorgestrel	0	0	0	1	1	0
lidoflazine	0	0	0	1	0	0
loxapine	0	0	0	1	0	0
nadolol	0	0	0	1	0	0
palonosetron	0	0	0	1	0	0
picotamide	0	0	0	1	0	0
pioglitazone	0	0	0	1	1	1
proguanil	0	0	0	1	0	0
quinidine	0	0	0	1	1	0
rimexolone	0	0	0	1	1	1
thioproperazine	0	0	0	1	0	0
ticlopidine	0	0	0	1	1	1
torasemide	0	0	0	1	1	0
tropicamide	0	0	0	1	0	0
benzonatate	0	0	0	0	1	1
coumarin	0	0	0	0	1	0
crizotinib	0	0	0	0	1	0
deoxycholic-acid	0	0	0	0	1	0
dobutamine	0	0	0	0	1	1
doconexent	0	0	0	0	1	1
dopamine	0	0	0	0	1	0
duloxetine	0	0	0	0	1	0
fenoldopam	0	0	0	0	1	1
fluconazole	0	0	0	0	1	0
gefitinib	0	0	0	0	1	1
methylergometrine	0	0	0	0	1	0
